Number of labels,Accuracy,Accuracy with class priors,Class priors error
20,36.82,37.47,0.00098
30,39.36,39.41,0.00098
20,32.82,32.19,0.00097
10,26.58,30.51,0.00098
20,35.61,37.38,0.00098
10,34.80,33.08,0.00098
40,36.91,37.14,0.00095
10,30.33,32.78,0.00098
30,40.70,39.56,0.00098
50,41.48,41.54,0.00095
40,40.04,39.18,0.00097
50,42.05,41.27,0.00098
40,38.93,39.84,0.00097
20,32.64,35.14,0.00098
50,38.01,38.49,0.00098
10,36.36,38.79,0.00098
30,41.81,42.22,0.00097
50,46.35,46.44,0.00098
10,32.35,34.51,0.00097
20,37.96,38.57,0.00095
40,42.37,43.77,0.00095
30,42.89,43.19,0.00098
30,35.24,37.42,0.00097
20,27.51,29.67,0.00098
40,39.12,39.94,0.00092
50,37.22,37.08,0.00093
10,32.52,34.76,0.00095
50,40.08,40.16,0.00097
10,20.36,23.44,0.00098
30,37.35,38.52,0.00098
40,41.06,41.75,0.00097
10,25.26,29.68,0.00098
40,38.78,39.20,0.00097
30,39.75,38.66,0.00097
20,34.19,32.76,0.00097
50,41.06,41.80,0.00097
20,40.20,45.27,0.00098
10,24.84,24.17,0.00097
30,37.88,39.10,0.00095
30,38.96,38.31,0.00098
40,40.32,40.34,0.00097
50,38.26,39.39,0.00097
50,44.46,44.53,0.00098
30,35.22,35.69,0.00097
10,27.58,24.04,0.00098
20,34.55,33.95,0.00097
20,39.21,40.27,0.00095
50,37.08,37.62,0.00097
40,43.17,44.13,0.00098
30,34.41,35.84,0.00095
10,36.92,38.23,0.00097
40,36.58,35.57,0.00097
20,34.10,39.75,0.00098
10,29.34,31.41,0.00095
40,40.27,40.14,0.00098
50,38.84,39.54,0.00097
30,32.83,35.03,0.00098
40,37.74,36.20,0.00098
50,42.82,42.60,0.00098
20,28.97,32.78,0.00153
