Number of labels,Accuracy,Accuracy with class priors,Class priors error
50,73.64,84.59,0.00097
20,72.93,87.08,0.00093
10,56.76,80.35,0.00099
30,72.30,85.59,0.00097
10,42.79,62.08,0.00099
10,55.36,80.35,0.00099
20,67.72,81.66,0.00099
40,69.62,86.40,0.00099
50,71.14,86.85,0.00099
20,68.31,87.91,0.00099
40,69.62,86.43,0.00097
50,75.79,88.54,0.00099
30,66.88,86.32,0.00099
10,55.82,86.44,0.00099
30,65.07,86.14,0.00097
10,58.88,76.76,0.00099
20,53.19,82.00,0.00097
20,63.12,81.81,0.00099
40,69.39,85.40,0.00099
50,74.51,85.92,0.00099
40,76.07,87.18,0.00099
30,71.65,84.97,0.00099
10,53.27,84.62,0.00099
20,67.16,88.41,0.00099
50,74.65,88.25,0.00099
30,63.34,81.51,0.00099
10,44.74,69.46,0.00097
20,56.77,77.42,0.00099
40,72.35,87.94,0.00099
30,72.67,88.25,0.00099
10,61.59,80.33,0.00099
30,66.85,87.27,0.00099
30,66.79,87.77,0.00099
10,42.63,74.47,0.00097
40,67.87,83.65,0.00099
40,71.20,80.61,0.00096
40,67.98,89.09,0.00099
50,76.59,88.65,0.00099
50,74.29,89.05,0.00099
20,61.83,80.96,0.00099
30,60.58,82.40,0.00099
50,72.04,86.93,0.00099
20,62.87,79.39,0.00099
20,61.34,85.36,0.00099
40,72.27,86.59,0.00099
20,60.86,76.39,0.00099
10,40.07,76.24,0.00099
50,73.82,88.94,0.00099
10,43.93,67.92,0.00099
50,74.67,87.09,0.00099
20,60.40,80.46,0.00099
50,74.38,87.38,0.00099
10,53.49,74.70,0.00099
30,63.70,83.93,0.00099
40,73.15,87.28,0.00099
40,72.43,88.52,0.00099
30,64.83,87.48,0.00099
30,69.71,87.74,0.00099
40,64.26,84.81,0.00099
50,73.10,87.81,0.00099
