Number of labels,Accuracy,Accuracy with class priors,Class priors error
20,63.83,64.66,0.00087
10,63.01,66.36,0.00099
20,59.60,60.91,0.00099
10,58.98,59.07,0.00099
10,47.12,49.24,0.00091
10,62.10,63.56,0.00100
30,69.24,69.69,0.00096
40,70.06,70.37,0.00099
40,72.36,73.44,0.00097
20,69.63,71.23,0.00099
50,73.09,74.08,0.00096
30,72.95,73.12,0.00100
30,72.39,72.65,0.00099
30,68.81,69.44,0.00096
40,72.36,74.28,0.00099
40,67.57,69.49,0.00097
50,73.10,74.16,0.00097
20,69.76,71.63,0.00091
50,71.44,72.47,0.00097
50,76.89,78.23,0.00099
10,55.35,59.08,0.00097
40,68.95,71.38,0.00096
20,60.17,62.28,0.00097
20,64.67,65.04,0.00093
30,63.79,64.97,0.00097
10,48.35,51.90,0.00100
10,62.96,65.74,0.00100
50,73.61,74.90,0.00100
40,69.37,70.88,0.00094
30,72.90,73.53,0.00096
20,73.13,73.88,0.00097
40,70.47,71.02,0.00094
40,74.59,75.04,0.00099
10,54.31,56.21,0.00099
20,67.97,69.89,0.00099
30,72.26,73.94,0.00099
50,69.39,70.21,0.00099
50,73.92,75.77,0.00100
30,72.78,74.09,0.00094
30,63.33,64.39,0.00097
50,74.05,75.65,0.00099
50,71.69,72.76,0.00099
10,50.87,54.32,0.00097
20,61.92,62.25,0.00096
10,56.50,59.96,0.00099
20,62.81,65.05,0.00097
40,67.28,68.59,0.00099
40,73.28,73.98,0.00097
10,51.75,53.44,0.00100
10,48.12,49.65,0.00093
30,71.94,73.27,0.00100
40,69.40,71.14,0.00097
20,62.85,64.03,0.00096
50,72.04,73.83,0.00100
30,65.28,67.63,0.00094
20,67.66,69.71,0.00097
50,73.50,74.37,0.00099
40,66.79,68.91,0.00097
10,55.06,55.94,0.00099
10,41.98,41.28,0.00099
30,70.17,71.80,0.00100
20,58.07,58.74,0.00099
40,69.36,69.88,0.00099
30,68.49,69.77,0.00093
50,71.02,72.20,0.00099
50,73.26,75.10,0.00099
30,63.82,64.92,0.00100
20,63.50,64.98,0.00096
20,59.67,60.71,0.00099
40,74.64,76.14,0.00096
40,69.92,70.89,0.00096
10,60.07,61.64,0.00094
50,79.70,80.73,0.00097
10,58.94,60.59,0.00096
30,62.20,64.36,0.00097
20,64.89,65.06,0.00099
30,67.49,69.80,0.00099
50,71.77,73.56,0.00099
50,76.78,77.88,0.00096
40,71.42,73.76,0.00100
10,67.83,68.82,0.00097
50,75.53,76.63,0.00100
10,54.98,56.93,0.00099
20,64.41,65.13,0.00096
20,67.94,68.93,0.00097
40,74.94,76.97,0.00099
30,64.40,67.97,0.00096
20,57.01,58.29,0.00097
30,65.72,68.45,0.00096
10,57.44,58.21,0.00096
40,72.87,74.78,0.00097
30,67.04,67.28,0.00094
50,70.80,71.10,0.00097
40,73.16,74.15,0.00097
10,52.73,55.57,0.00099
50,73.09,74.73,0.00099
20,63.91,66.93,0.00100
30,69.86,71.64,0.00099
10,58.99,60.33,0.00097
40,71.18,71.86,0.00099
20,65.54,67.99,0.00100
50,71.79,72.73,0.00099
30,64.87,66.28,0.00093
40,69.93,71.98,0.00097
50,69.67,70.18,0.00097
10,52.17,55.25,0.00099
20,61.19,64.35,0.00099
10,54.35,55.08,0.00097
30,68.53,67.07,0.00097
20,58.50,59.41,0.00096
40,72.09,73.50,0.00100
20,59.38,60.56,0.00097
10,55.23,56.93,0.00091
30,69.29,71.94,0.00100
50,75.33,76.67,0.00099
50,71.97,73.18,0.00100
10,55.31,55.86,0.00099
20,64.12,65.65,0.00097
30,72.47,73.55,0.00099
40,67.89,68.47,0.00094
50,70.04,71.24,0.00099
30,69.84,70.09,0.00097
40,68.22,69.80,0.00100
10,54.77,56.15,0.00097
30,68.18,69.50,0.00096
50,70.14,71.61,0.00099
20,61.95,63.11,0.00099
10,53.48,54.71,0.00099
40,74.12,75.06,0.00097
20,59.82,61.71,0.00100
30,67.44,67.64,0.00094
40,74.17,75.19,0.00096
10,53.33,57.35,0.00099
50,72.93,73.29,0.00099
50,78.83,79.23,0.00096
40,74.54,75.33,0.00093
30,68.86,70.92,0.00099
20,63.09,64.78,0.00096
40,70.07,72.53,0.00097
50,64.72,66.05,0.00093
10,54.11,55.83,0.00097
20,66.07,67.04,0.00096
50,71.10,71.67,0.00099
20,62.13,65.35,0.00097
10,58.41,60.84,0.00099
40,70.10,71.86,0.00099
40,70.63,72.06,0.00097
30,62.44,64.39,0.00099
30,66.90,68.75,0.00099
10,54.76,57.92,0.00099
20,70.39,72.22,0.00099
20,70.49,71.72,0.00099
50,73.83,74.93,0.00099
10,50.29,54.74,0.00093
40,70.16,72.26,0.00099
10,54.05,55.61,0.00097
50,72.83,74.69,0.00099
30,68.96,70.88,0.00100
20,61.67,62.70,0.00097
50,69.71,70.46,0.00099
20,56.53,56.88,0.00097
30,70.06,71.95,0.00100
10,53.68,55.71,0.00094
30,65.50,65.76,0.00099
40,71.19,73.34,0.00097
30,72.73,74.17,0.00099
40,68.52,69.24,0.00097
50,74.74,76.43,0.00100
10,47.73,49.39,0.00097
50,72.57,73.33,0.00097
30,72.88,73.15,0.00099
20,61.07,63.31,0.00097
10,59.68,62.97,0.00099
50,72.47,74.97,0.00100
40,72.50,74.05,0.00100
10,52.97,55.22,0.00090
30,67.68,69.58,0.00091
40,72.69,73.14,0.00099
40,74.31,75.43,0.00099
20,68.58,70.28,0.00097
50,73.76,74.85,0.00100
20,66.46,67.64,0.00099
10,54.63,59.74,0.00093
30,60.41,60.84,0.00099
10,64.05,64.21,0.00094
40,68.68,69.61,0.00099
50,67.91,69.14,0.00099
30,67.37,70.30,0.00097
20,60.78,62.74,0.00099
10,58.80,59.34,0.00097
20,65.76,67.35,0.00094
30,65.73,65.68,0.00096
30,76.07,76.83,0.00099
40,69.69,70.86,0.00097
10,51.21,54.28,0.00096
50,76.23,78.16,0.00096
50,72.76,74.05,0.00096
20,65.51,65.97,0.00090
40,69.97,70.59,0.00097
40,73.67,75.28,0.00100
20,62.78,62.61,0.00099
10,55.70,57.81,0.00096
30,62.66,64.35,0.00097
50,70.72,71.62,0.00094
20,63.16,63.74,0.00097
50,75.65,75.96,0.00099
10,51.87,53.71,0.00097
50,76.38,78.23,0.00096
50,69.68,69.78,0.00097
40,68.69,69.94,0.00097
40,77.18,78.06,0.00100
30,67.18,68.31,0.00100
30,66.74,68.54,0.00099
20,62.08,62.91,0.00099
20,65.56,66.91,0.00094
10,49.62,49.43,0.00099
40,62.55,64.91,0.00099
10,58.75,60.26,0.00097
30,73.03,74.46,0.00094
10,59.35,61.81,0.00089
30,65.91,67.68,0.00100
50,75.29,75.96,0.00100
50,73.52,74.75,0.00099
30,66.41,68.45,0.00089
20,66.15,66.90,0.00091
20,68.66,69.67,0.00100
40,69.49,71.84,0.00097
50,74.11,75.79,0.00096
10,57.42,58.41,0.00097
20,62.62,65.13,0.00090
40,69.15,70.71,0.00097
30,66.76,67.98,0.00100
10,54.78,54.81,0.00097
20,61.30,62.32,0.00093
40,77.08,77.96,0.00100
50,73.81,73.70,0.00097
40,73.49,74.47,0.00096
30,70.83,71.91,0.00100
10,49.58,51.40,0.00097
20,63.94,65.07,0.00097
40,67.50,69.25,0.00094
30,69.22,70.81,0.00100
10,51.49,51.50,0.00094
20,60.00,60.12,0.00094
40,73.17,75.03,0.00099
50,74.79,76.82,0.00100
30,69.35,70.33,0.00097
10,38.15,40.73,0.00099
30,69.55,70.66,0.00097
40,71.37,72.62,0.00096
10,48.27,49.33,0.00099
50,71.56,72.59,0.00100
50,75.02,75.34,0.00099
40,72.99,73.53,0.00096
20,66.77,68.81,0.00099
30,62.74,64.23,0.00099
50,76.58,78.56,0.00099
10,44.98,47.78,0.00097
20,60.95,62.57,0.00097
40,68.17,68.85,0.00099
20,66.54,67.24,0.00099
30,68.16,70.35,0.00100
50,76.04,77.23,0.00099
40,76.14,76.75,0.00100
10,56.78,60.34,0.00099
50,70.52,71.49,0.00097
20,64.48,66.64,0.00099
40,71.95,73.93,0.00097
30,72.46,73.88,0.00100
30,66.27,69.18,0.00094
10,52.16,52.91,0.00096
50,74.00,74.56,0.00097
50,73.25,73.75,0.00097
20,61.27,63.30,0.00097
50,69.99,71.20,0.00100
10,53.38,54.58,0.00099
20,62.75,65.37,0.00100
10,47.76,48.99,0.00099
40,72.13,73.25,0.00096
10,50.16,54.56,0.00091
40,69.65,69.96,0.00097
30,64.55,64.88,0.00097
20,71.55,72.88,0.00096
40,70.37,72.61,0.00096
20,66.80,68.16,0.00097
30,68.98,71.36,0.00099
30,73.21,74.62,0.00099
50,69.89,70.35,0.00093
10,49.59,51.31,0.00099
50,74.62,75.39,0.00099
20,65.01,66.62,0.00094
40,71.56,71.80,0.00099
20,65.73,67.73,0.00097
10,53.80,55.54,0.00094
30,71.64,73.53,0.00100
10,59.37,61.32,0.00093
10,58.13,58.98,0.00093
50,73.48,73.93,0.00099
50,76.22,76.86,0.00096
30,69.23,70.88,0.00093
20,60.61,61.38,0.00099
50,80.25,80.80,0.00094
40,72.88,74.91,0.00094
20,63.86,64.18,0.00096
40,71.81,72.64,0.00099
30,68.66,70.01,0.00099
40,73.16,75.07,0.00099
30,72.60,73.15,0.00094
50,71.43,72.04,0.00100
10,57.37,59.59,0.00097
30,65.83,68.01,0.00099
20,65.04,66.86,0.00100
10,49.56,53.80,0.00097
40,77.48,79.15,0.00097
40,71.24,73.47,0.00100
40,69.64,69.48,0.00099
50,74.40,76.68,0.00097
10,56.25,57.15,0.00087
20,66.32,66.69,0.00096
10,57.50,59.55,0.00093
50,69.24,70.82,0.00099
30,68.08,69.88,0.00097
50,73.42,74.01,0.00099
40,70.99,72.14,0.00099
20,65.74,67.27,0.00097
30,67.34,68.69,0.00100
20,65.82,68.19,0.00100
30,71.23,73.67,0.00099
10,55.94,58.72,0.00099
10,58.30,57.92,0.00099
50,74.01,75.32,0.00097
30,63.55,65.23,0.00094
40,71.72,72.58,0.00100
20,70.02,71.45,0.00100
50,74.64,75.33,0.00096
30,68.85,70.75,0.00096
20,64.77,67.67,0.00099
40,67.64,69.94,0.00096
10,54.04,54.21,0.00091
20,66.32,68.46,0.00099
40,69.14,69.16,0.00099
10,52.18,52.37,0.00096
40,70.19,71.32,0.00100
40,71.17,71.69,0.00100
50,75.76,76.17,0.00097
10,59.55,60.70,0.00089
50,70.00,70.22,0.00099
30,68.73,71.57,0.00097
20,62.00,63.82,0.00099
10,53.69,57.22,0.00097
30,68.51,69.04,0.00099
40,76.57,78.06,0.00097
30,66.11,67.61,0.00097
20,63.31,64.04,0.00096
50,68.94,69.66,0.00099
20,67.78,68.69,0.00099
10,58.59,58.25,0.00094
10,49.57,50.64,0.00094
30,68.98,70.33,0.00097
20,72.65,74.04,0.00097
50,73.07,73.76,0.00099
30,65.58,66.28,0.00096
40,65.71,68.05,0.00097
50,67.98,68.26,0.00097
50,71.63,72.38,0.00096
30,74.02,74.52,0.00097
40,68.99,69.98,0.00097
40,66.47,69.34,0.00099
20,64.05,65.48,0.00093
20,65.81,67.72,0.00086
10,55.18,59.07,0.00096
30,64.69,66.24,0.00100
50,71.39,73.04,0.00100
10,52.00,53.44,0.00094
50,71.58,73.62,0.00099
40,71.96,73.98,0.00097
20,65.66,68.66,0.00096
40,71.80,73.80,0.00099
10,54.62,56.69,0.00099
10,61.03,62.37,0.00097
20,64.99,66.85,0.00094
30,64.34,66.26,0.00097
30,72.63,73.87,0.00100
50,74.21,74.97,0.00099
20,57.39,60.02,0.00099
40,67.63,68.27,0.00093
30,65.94,68.73,0.00100
40,72.73,73.68,0.00099
50,69.25,71.98,0.00099
10,59.44,61.05,0.00097
20,63.86,63.50,0.00096
20,65.31,66.58,0.00099
50,71.86,73.41,0.00099
10,50.19,52.82,0.00097
30,71.27,72.27,0.00099
50,74.33,75.84,0.00099
10,55.44,57.73,0.00097
30,70.41,72.26,0.00094
40,70.65,72.39,0.00097
20,57.72,60.27,0.00100
30,71.95,74.76,0.00096
50,68.74,71.42,0.00100
40,76.25,77.53,0.00100
50,74.90,75.84,0.00100
10,61.15,63.09,0.00091
20,65.18,65.52,0.00097
30,65.91,67.17,0.00099
40,74.78,76.54,0.00096
10,58.69,60.97,0.00099
50,76.31,77.40,0.00093
20,64.46,66.45,0.00097
30,68.99,70.04,0.00099
20,68.06,69.85,0.00097
10,56.84,61.03,0.00097
40,72.32,75.51,0.00100
30,69.73,70.03,0.00093
40,69.37,69.68,0.00097
40,72.74,74.85,0.00099
10,63.55,64.31,0.00097
20,71.38,72.45,0.00099
50,77.25,78.70,0.00099
40,72.95,74.24,0.00099
50,68.85,70.09,0.00097
10,50.69,54.28,0.00087
50,75.21,76.18,0.00100
10,49.21,52.89,0.00099
30,66.52,67.57,0.00100
50,74.85,75.38,0.00099
30,65.69,67.07,0.00099
30,66.82,69.27,0.00096
40,71.04,72.61,0.00096
20,67.40,69.84,0.00099
50,73.01,74.04,0.00099
40,73.41,74.91,0.00099
20,66.98,70.21,0.00099
50,72.81,73.52,0.00097
10,54.17,55.55,0.00097
20,61.80,64.38,0.00097
10,55.32,59.22,0.00100
30,68.48,69.97,0.00097
20,63.53,64.93,0.00099
40,66.96,70.17,0.00099
40,76.27,77.05,0.00099
30,69.46,71.00,0.00097
40,69.37,70.71,0.00097
20,66.62,67.71,0.00099
10,53.83,55.21,0.00099
50,74.23,74.73,0.00100
10,53.09,56.44,0.00099
30,64.87,66.10,0.00100
30,67.63,69.65,0.00099
20,64.31,65.23,0.00097
40,67.84,69.57,0.00097
50,72.26,73.93,0.00100
10,57.66,58.05,0.00094
50,71.46,72.99,0.00100
10,48.45,49.39,0.00090
40,63.24,64.94,0.00097
10,53.17,54.53,0.00100
20,61.17,62.41,0.00096
40,77.37,77.62,0.00096
20,66.87,67.04,0.00097
50,74.99,76.04,0.00096
20,61.22,64.13,0.00094
30,66.82,68.82,0.00099
30,68.07,69.34,0.00096
10,53.08,53.54,0.00097
50,73.48,74.54,0.00096
20,58.92,59.96,0.00099
50,73.44,74.07,0.00096
30,69.51,71.00,0.00097
40,70.66,71.61,0.00096
30,66.53,67.57,0.00096
20,54.62,57.11,0.00091
10,54.80,56.33,0.00096
40,67.28,69.79,0.00100
30,68.77,69.59,0.00097
50,70.77,71.61,0.00096
50,71.19,73.25,0.00099
10,52.77,55.03,0.00099
30,71.39,71.65,0.00097
10,46.68,48.25,0.00097
30,66.69,68.15,0.00100
20,65.21,67.85,0.00100
10,47.86,48.43,0.00097
20,60.40,62.72,0.00099
40,71.49,72.94,0.00099
20,65.64,69.52,0.00097
30,70.00,71.56,0.00094
40,69.71,70.33,0.00099
50,75.12,76.00,0.00099
40,71.29,72.58,0.00099
10,52.64,54.83,0.00096
50,74.82,76.28,0.00100
40,67.12,68.63,0.00099
30,68.84,69.46,0.00099
20,64.26,66.45,0.00096
50,71.95,73.43,0.00099
40,73.99,75.56,0.00097
50,74.91,75.45,0.00094
