Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,43.11,43.70,0.00097
40,59.69,59.90,0.00099
10,53.62,54.78,0.00099
20,49.34,49.72,0.00097
20,46.65,47.53,0.00099
30,49.20,50.91,0.00099
40,56.08,57.69,0.00099
10,48.12,50.01,0.00097
30,56.02,57.25,0.00099
20,51.81,52.20,0.00099
40,54.69,55.76,0.00097
10,42.46,44.37,0.00099
30,54.08,57.23,0.00097
10,47.80,46.57,0.00099
20,49.18,49.92,0.00091
50,55.72,55.76,0.00099
50,56.03,56.31,0.00097
50,56.94,57.70,0.00099
30,55.26,56.16,0.00097
40,54.60,55.68,0.00099
20,48.05,49.10,0.00097
10,48.47,49.50,0.00093
20,48.93,49.77,0.00097
10,44.77,45.57,0.00096
40,56.20,57.68,0.00097
40,53.84,55.23,0.00099
30,57.36,57.99,0.00099
50,56.47,57.46,0.00093
10,43.40,42.44,0.00099
10,45.59,46.14,0.00093
30,56.99,57.26,0.00091
50,57.74,58.95,0.00099
50,57.58,58.02,0.00099
50,58.27,59.31,0.00099
40,54.55,54.89,0.00099
40,58.08,59.30,0.00097
30,50.65,50.05,0.00099
30,53.43,54.08,0.00096
20,39.19,41.95,0.00096
20,50.90,52.17,0.00096
40,57.80,57.99,0.00099
20,55.05,54.06,0.00096
50,55.48,56.27,0.00096
10,37.33,39.24,0.00096
40,53.13,52.29,0.00094
10,39.77,43.13,0.00099
10,46.87,47.13,0.00096
30,51.38,52.01,0.00097
20,48.96,50.90,0.00097
30,55.47,55.64,0.00099
20,53.09,53.16,0.00099
50,58.83,59.22,0.00099
50,58.85,59.16,0.00097
40,59.90,59.48,0.00097
10,42.62,45.91,0.00097
40,52.74,53.81,0.00099
30,54.35,53.30,0.00097
50,58.49,58.33,0.00097
20,54.78,55.49,0.00099
20,46.14,47.58,0.00099
30,53.19,56.22,0.00097
30,54.18,54.72,0.00099
50,59.02,59.25,0.00099
50,59.70,59.70,0.00099
30,46.77,46.71,0.00097
20,49.37,51.47,0.00099
10,37.75,41.05,0.00099
40,53.63,53.85,0.00097
20,55.12,57.41,0.00096
50,57.25,57.55,0.00099
10,48.75,49.67,0.00094
40,54.09,54.56,0.00099
40,57.64,58.17,0.00096
20,54.50,54.88,0.00099
50,54.58,56.46,0.00099
30,52.83,54.05,0.00097
30,49.10,49.51,0.00099
10,42.47,44.89,0.00099
50,53.51,54.93,0.00099
10,38.68,40.50,0.00094
40,53.51,54.35,0.00097
20,45.36,46.69,0.00099
10,44.57,46.48,0.00094
20,52.13,52.79,0.00099
30,53.59,53.69,0.00097
30,53.38,52.52,0.00096
40,54.50,55.83,0.00099
40,55.18,54.52,0.00097
30,56.86,58.91,0.00099
40,55.81,57.46,0.00099
20,52.82,54.61,0.00093
50,56.43,57.36,0.00096
20,51.55,52.92,0.00099
50,54.26,54.82,0.00099
50,52.77,52.03,0.00099
50,56.60,56.81,0.00099
40,56.61,57.29,0.00099
10,46.09,48.65,0.00099
10,47.51,53.14,0.00096
10,43.64,46.46,0.00097
30,53.02,54.48,0.00096
10,36.33,38.96,0.00099
30,48.97,50.17,0.00099
40,53.78,54.37,0.00097
20,44.56,45.96,0.00099
30,52.86,53.51,0.00096
20,47.24,48.40,0.00099
20,43.79,44.36,0.00099
10,43.95,44.78,0.00093
20,50.20,51.11,0.00096
50,61.42,62.11,0.00097
40,58.90,59.93,0.00097
10,39.01,41.79,0.00099
20,51.70,54.94,0.00093
30,53.49,55.24,0.00099
50,59.06,59.61,0.00096
10,42.81,44.31,0.00099
30,51.92,52.66,0.00099
50,55.52,55.78,0.00099
10,42.20,45.99,0.00099
30,51.63,52.41,0.00099
40,55.96,56.48,0.00099
30,53.39,55.16,0.00099
50,53.55,53.41,0.00099
50,59.37,60.05,0.00097
20,46.31,46.41,0.00097
40,54.70,55.10,0.00099
40,55.39,56.65,0.00097
50,56.02,56.97,0.00096
30,55.56,54.04,0.00099
40,53.12,54.07,0.00099
40,53.73,54.58,0.00099
50,56.73,56.62,0.00099
10,42.44,44.07,0.00099
10,34.40,38.63,0.00097
20,44.64,45.81,0.00099
30,49.95,52.56,0.00096
10,43.84,45.82,0.00096
10,40.13,38.48,0.00094
40,51.90,52.21,0.00096
40,53.66,53.76,0.00097
50,54.54,55.26,0.00097
20,52.42,53.38,0.00097
20,52.83,54.26,0.00097
30,51.51,53.10,0.00096
30,55.35,54.62,0.00093
50,59.02,59.61,0.00099
30,53.48,53.88,0.00099
50,53.92,54.51,0.00099
20,52.96,53.85,0.00096
10,43.65,49.37,0.00096
40,54.83,55.08,0.00099
20,50.78,51.80,0.00093
30,55.78,56.32,0.00099
20,52.78,51.98,0.00099
10,41.12,46.67,0.00084
10,42.22,45.03,0.00099
20,48.71,49.25,0.00096
40,57.22,58.26,0.00099
40,54.19,56.47,0.00096
50,57.37,58.24,0.00099
50,56.51,57.42,0.00096
30,50.18,50.19,0.00097
50,57.58,58.96,0.00099
20,47.84,47.29,0.00097
