Number of labels,Accuracy,Accuracy with class priors,Class priors error
30,50.28,57.16,0.00097
20,39.72,55.69,0.00097
10,30.93,48.43,0.00099
50,54.24,62.14,0.00099
20,48.43,56.58,0.00099
30,51.04,59.07,0.00097
30,57.09,62.14,0.00099
10,41.66,51.24,0.00097
30,50.12,60.86,0.00099
20,46.51,49.73,0.00099
50,57.16,61.45,0.00099
40,54.71,60.48,0.00099
20,43.47,53.68,0.00099
10,48.79,62.82,0.00099
10,52.71,54.82,0.00099
50,59.81,62.72,0.00099
40,60.49,67.26,0.00099
50,57.51,64.58,0.00099
10,44.90,57.70,0.00097
40,57.90,64.23,0.00099
40,54.26,64.21,0.00097
40,59.38,63.22,0.00099
20,52.44,58.53,0.00099
20,51.39,56.77,0.00099
10,45.52,50.16,0.00097
30,57.25,61.92,0.00097
30,54.31,59.55,0.00097
10,40.73,48.26,0.00099
30,48.93,56.57,0.00099
30,51.57,57.02,0.00099
50,55.57,62.51,0.00099
50,51.65,59.25,0.00099
40,51.06,63.39,0.00099
30,53.25,62.64,0.00097
10,42.51,52.74,0.00097
20,42.66,47.78,0.00099
40,54.25,62.46,0.00099
10,43.04,55.82,0.00097
40,56.04,64.87,0.00099
10,49.43,56.52,0.00099
20,51.38,58.84,0.00099
50,58.51,63.73,0.00099
20,47.78,58.58,0.00099
40,58.98,62.39,0.00099
10,37.86,53.13,0.00097
20,60.14,62.49,0.00099
50,58.48,65.37,0.00097
10,38.01,44.76,0.00094
50,56.13,63.88,0.00099
40,52.62,59.88,0.00099
50,57.95,63.10,0.00099
30,49.75,60.35,0.00099
20,46.51,50.07,0.00099
30,47.51,54.97,0.00099
40,50.58,63.64,0.00099
50,61.05,65.23,0.00099
50,54.78,64.18,0.00099
30,53.00,60.24,0.00097
40,52.95,61.51,0.00099
20,44.46,49.04,0.00099
20,38.78,53.51,0.00099
20,49.30,59.35,0.00099
30,58.84,63.21,0.00099
50,57.49,61.96,0.00099
40,55.01,62.56,0.00097
10,40.06,55.18,0.00097
40,51.04,57.63,0.00099
