Number of labels,Accuracy
10,10.34
20,10.15
40,12.75
30,10.21
50,10.27
50,13.11
30,10.48
20,10.67
20,13.24
10,10.00
40,10.36
20,10.20
30,10.39
40,18.48
50,17.19
50,10.85
10,10.01
30,10.29
50,10.61
10,10.38
10,10.00
40,10.69
20,10.12
40,10.67
10,10.00
30,10.08
40,17.13
30,11.12
10,13.56
50,12.04
20,10.17
40,10.76
20,10.04
30,10.33
10,10.05
20,10.20
50,13.29
20,15.69
50,15.81
50,17.93
30,10.54
40,13.08
20,10.47
40,13.97
10,10.75
30,10.05
50,19.50
20,10.04
40,10.40
40,18.10
30,10.28
10,10.06
20,10.05
10,10.00
30,10.41
30,10.06
10,10.12
40,19.59
10,10.17
50,15.98
50,10.82
40,10.54
30,10.48
10,10.00
50,18.59
20,10.04
40,10.95
50,10.31
30,11.21
40,10.32
30,10.11
50,16.60
20,10.03
10,10.00
10,10.06
30,12.48
40,16.58
20,10.03
10,12.32
20,17.48
10,10.02
20,10.06
50,10.79
30,10.49
20,10.06
10,10.00
50,22.44
30,12.51
20,10.01
50,10.24
50,10.11
40,10.61
40,10.45
30,10.31
40,10.07
10,10.02
40,10.03
50,11.16
10,11.93
30,10.04
20,18.90
50,10.11
30,11.43
50,10.98
20,12.88
10,10.10
30,15.83
40,17.03
20,12.66
20,10.17
40,22.71
10,11.64
30,21.32
20,10.21
40,11.02
10,10.03
30,10.54
50,10.17
40,10.20
10,13.26
50,10.08
50,26.06
30,10.34
40,10.17
20,9.20
50,10.50
30,10.04
20,10.73
10,10.01
20,10.16
40,16.14
20,10.04
40,10.52
30,10.86
10,16.17
10,10.02
50,21.71
30,10.23
40,10.13
50,13.51
10,10.00
10,10.01
30,10.94
20,10.03
20,10.16
50,10.45
50,10.81
30,10.51
40,11.85
10,10.00
30,10.04
40,10.19
20,10.72
10,10.43
20,10.70
40,16.89
10,9.73
50,15.45
40,10.31
30,10.11
30,10.11
20,10.07
50,11.02
20,10.02
10,10.03
50,18.21
10,8.58
40,10.28
50,21.28
40,14.78
30,10.55
50,11.54
30,10.26
40,10.23
20,10.13
20,10.02
30,11.31
10,10.00
10,10.20
40,10.71
20,10.01
10,10.04
30,10.26
40,10.30
20,10.05
50,20.96
50,16.52
50,10.10
10,10.59
10,11.88
30,10.28
40,17.26
30,10.05
20,10.30
20,10.10
40,10.27
30,10.09
10,12.80
30,10.21
40,10.49
50,19.67
50,14.07
40,11.96
30,10.94
20,10.02
10,10.00
50,11.32
40,11.84
50,10.75
20,10.30
20,10.10
10,10.00
20,10.01
30,10.34
50,11.25
30,10.42
50,10.99
40,10.30
40,10.51
40,10.90
10,10.01
30,10.02
20,10.11
20,10.39
50,10.56
40,13.49
10,10.00
30,11.24
10,10.00
10,10.01
10,10.01
40,20.29
30,10.07
50,10.66
50,10.81
10,10.09
30,17.86
20,10.28
40,10.52
50,10.11
20,13.08
30,14.10
40,16.19
50,24.37
50,10.42
20,10.06
30,13.45
10,12.69
10,10.00
10,10.31
40,10.54
30,10.15
20,10.04
50,10.50
20,10.12
40,10.60
20,10.33
10,10.00
40,14.02
20,10.08
40,11.57
50,18.64
30,11.78
30,14.02
50,11.49
30,15.87
20,10.18
10,10.05
10,10.01
40,15.89
20,10.00
30,16.07
40,10.49
20,10.02
10,10.01
10,10.00
50,14.59
30,11.22
50,18.11
40,10.10
50,12.51
40,10.26
10,10.33
40,13.75
20,10.16
30,11.43
50,11.39
20,10.31
30,10.15
10,10.06
50,11.27
30,11.24
50,10.52
20,10.78
10,10.17
20,10.10
30,10.13
30,10.23
40,13.13
10,10.08
10,10.02
40,11.16
40,12.81
50,23.55
20,10.54
40,10.71
20,10.18
50,10.61
20,10.18
10,10.84
10,9.75
50,10.91
30,10.26
40,10.17
10,10.09
30,10.16
40,11.25
50,18.03
10,10.07
20,10.42
30,10.15
20,11.00
50,10.19
40,10.48
30,10.05
50,30.54
40,10.93
50,28.86
20,10.10
30,12.57
40,10.50
40,17.46
10,10.06
50,10.74
30,10.46
10,10.00
20,10.88
10,10.17
10,10.00
30,10.45
20,13.42
30,10.35
50,19.53
10,10.01
20,10.22
20,10.09
30,10.88
40,10.04
20,10.12
50,10.24
50,10.63
50,14.16
40,14.28
20,13.09
30,10.09
40,17.73
20,10.15
30,10.02
10,10.05
10,16.65
50,10.68
20,10.17
10,10.02
40,10.72
40,10.09
30,13.71
50,10.85
50,28.51
20,10.08
40,10.15
30,10.22
40,10.27
10,10.02
50,16.79
20,12.80
10,17.16
20,12.82
50,10.32
10,10.01
30,11.28
30,10.42
10,10.01
50,10.51
30,10.69
40,27.20
40,12.32
50,10.52
20,10.00
40,10.78
10,10.05
50,10.23
10,10.13
30,17.70
30,10.38
40,10.38
50,23.93
40,11.10
20,10.52
30,10.17
20,10.18
40,10.36
30,10.10
30,10.25
10,10.30
10,10.01
40,10.21
20,10.70
10,10.10
20,10.09
50,11.55
50,12.71
50,10.92
20,10.99
10,10.00
10,10.01
40,13.27
30,10.47
20,10.21
30,10.32
50,10.14
20,10.34
40,10.28
30,11.72
40,10.12
30,10.05
50,11.36
20,13.20
40,15.27
40,10.35
50,10.14
50,19.76
10,10.12
10,10.04
20,10.46
10,10.05
30,10.16
40,10.68
20,13.81
10,10.05
20,18.89
30,10.22
40,19.44
50,10.34
50,16.35
30,10.44
40,10.32
10,10.01
10,10.00
30,10.14
50,21.29
20,10.43
50,10.21
40,10.18
30,12.72
30,10.02
40,10.57
20,10.01
10,10.02
20,10.01
20,10.36
50,10.56
10,10.02
30,19.64
40,11.25
50,10.58
20,10.10
50,10.54
10,10.06
10,10.00
10,10.10
20,10.28
40,13.50
50,19.16
30,11.00
40,18.00
30,10.27
50,10.05
10,10.00
20,10.15
30,11.01
20,10.16
10,10.08
30,11.21
40,11.02
50,18.92
50,10.99
30,10.06
10,10.11
20,10.44
40,11.26
30,10.08
40,20.10
20,11.12
30,10.38
10,10.07
20,10.09
40,18.29
50,17.42
40,13.10
50,11.98
