Number of labels,Accuracy,Accuracy with class priors,Class priors error
40,61.24,66.99,0.00094
20,54.09,58.88,0.00099
30,58.73,66.46,0.00096
30,62.46,65.54,0.00099
50,58.11,69.43,0.00099
50,64.23,65.64,0.00097
30,57.12,64.65,0.00097
10,36.05,55.73,0.00097
20,50.92,62.52,0.00099
40,65.42,71.79,0.00097
50,66.43,70.31,0.00099
50,63.36,69.22,0.00099
20,55.90,61.07,0.00097
40,69.03,70.71,0.00099
10,61.32,62.34,0.00099
30,56.79,63.19,0.00097
10,52.69,68.73,0.00099
40,65.80,66.86,0.00097
10,50.27,53.86,0.00099
20,51.57,59.28,0.00099
20,54.03,62.00,0.00097
10,57.50,61.64,0.00097
40,63.77,70.36,0.00097
10,52.57,62.20,0.00099
30,63.78,69.63,0.00099
20,56.24,64.88,0.00099
10,49.37,55.30,0.00099
10,44.56,54.22,0.00097
20,58.83,63.55,0.00099
30,63.40,68.59,0.00099
40,59.44,70.07,0.00099
50,56.28,65.39,0.00097
20,52.41,60.68,0.00097
30,55.93,67.06,0.00097
30,56.20,60.89,0.00099
50,63.51,66.60,0.00097
40,58.79,68.18,0.00097
40,64.79,70.55,0.00099
50,64.08,70.16,0.00097
50,62.66,68.40,0.00097
40,54.73,65.58,0.00099
20,46.99,54.92,0.00099
10,48.82,58.96,0.00099
50,62.15,67.19,0.00099
10,51.18,63.10,0.00097
30,61.84,68.58,0.00097
10,54.70,59.90,0.00099
20,62.22,70.00,0.00099
50,66.05,67.85,0.00097
30,59.78,67.29,0.00099
10,44.49,48.96,0.00099
40,61.59,67.69,0.00099
50,68.40,70.17,0.00099
40,62.77,66.87,0.00099
20,53.63,62.24,0.00099
30,52.76,64.47,0.00099
20,57.08,64.53,0.00099
50,61.68,68.99,0.00097
40,60.97,67.93,0.00099
30,63.95,67.76,0.00099
20,51.72,60.81,0.00099
30,60.19,66.55,0.00099
40,60.69,66.24,0.00099
10,45.59,62.14,0.00097
50,62.46,67.49,0.00097
20,53.19,64.06,0.00097
10,48.95,56.34,0.00099
20,54.27,62.50,0.00097
30,61.03,65.74,0.00099
10,41.32,61.17,0.00099
40,65.37,67.76,0.00099
50,64.60,67.17,0.00099
30,53.60,57.35,0.00099
10,51.92,55.46,0.00099
40,59.29,64.44,0.00099
50,62.52,70.88,0.00099
30,60.43,68.15,0.00099
20,60.05,66.72,0.00099
40,64.49,71.03,0.00099
50,59.83,68.92,0.00099
30,54.01,58.00,0.00099
10,47.69,64.30,0.00099
10,45.47,54.70,0.00097
50,66.57,70.03,0.00097
20,59.05,59.20,0.00099
30,65.55,71.70,0.00099
20,52.92,60.99,0.00099
50,66.14,70.88,0.00099
10,51.95,63.85,0.00099
30,60.89,68.74,0.00099
50,60.55,64.73,0.00097
40,51.94,59.01,0.00099
20,51.25,61.79,0.00096
40,65.94,70.39,0.00099
10,49.38,59.92,0.00099
40,64.50,63.19,0.00099
20,58.45,63.66,0.00096
