Number of labels,Accuracy,Accuracy with class priors,Class priors error
40,63.13,64.93,0.00096
20,54.39,60.57,0.00099
20,57.38,58.82,0.00099
50,63.47,64.31,0.00099
40,70.25,72.39,0.00096
10,44.99,54.75,0.00099
30,64.19,65.64,0.00099
20,54.08,56.85,0.00099
30,60.67,64.29,0.00099
30,60.89,65.35,0.00099
10,62.31,60.01,0.00099
10,56.77,66.71,0.00099
40,68.06,69.80,0.00096
40,65.63,64.68,0.00099
30,60.40,63.44,0.00097
50,65.13,67.35,0.00099
50,66.87,68.65,0.00099
50,66.50,68.83,0.00099
10,53.74,55.49,0.00099
20,53.67,57.28,0.00097
20,59.11,62.17,0.00099
40,63.79,68.65,0.00099
10,58.96,58.15,0.00099
40,67.67,68.84,0.00097
10,55.70,61.90,0.00099
30,66.12,68.44,0.00099
10,54.63,56.64,0.00099
20,55.51,60.44,0.00099
30,64.79,68.73,0.00099
40,61.78,66.57,0.00099
30,59.09,64.88,0.00099
10,47.89,52.13,0.00099
20,56.69,61.03,0.00099
50,63.78,65.71,0.00099
50,65.02,68.67,0.00099
50,61.69,64.51,0.00096
30,58.20,60.26,0.00099
40,67.16,69.66,0.00097
20,59.33,62.94,0.00099
40,60.96,67.50,0.00099
50,63.85,66.03,0.00096
50,64.61,67.17,0.00099
20,48.51,51.39,0.00094
10,53.23,57.23,0.00099
50,66.93,67.10,0.00099
30,63.12,65.33,0.00096
10,58.54,62.68,0.00097
40,63.00,64.79,0.00094
30,66.31,67.32,0.00099
10,53.92,58.19,0.00099
20,60.43,64.37,0.00099
10,46.59,46.77,0.00099
40,67.06,68.04,0.00099
30,57.62,62.57,0.00099
20,54.64,61.60,0.00099
50,68.71,70.05,0.00099
20,65.24,68.90,0.00096
30,61.90,65.97,0.00099
40,63.03,67.77,0.00097
30,64.48,65.35,0.00099
10,51.60,60.34,0.00096
50,65.32,67.15,0.00099
50,64.71,66.37,0.00099
20,56.29,57.71,0.00099
30,59.84,60.93,0.00097
20,58.31,62.16,0.00099
10,51.05,56.42,0.00097
10,46.72,57.41,0.00099
40,63.25,64.92,0.00099
50,65.05,65.76,0.00099
20,55.55,60.13,0.00099
40,65.00,65.30,0.00099
30,58.02,58.90,0.00096
30,63.25,65.51,0.00099
40,60.45,62.56,0.00097
10,51.81,54.51,0.00099
50,67.66,70.32,0.00096
50,64.03,67.49,0.00094
20,66.18,66.65,0.00099
40,68.38,71.20,0.00097
30,56.90,58.28,0.00099
20,57.18,60.42,0.00099
10,51.21,61.94,0.00097
10,49.78,51.25,0.00097
50,67.49,68.92,0.00099
50,69.37,70.73,0.00099
20,60.20,60.28,0.00099
20,56.85,60.77,0.00096
30,68.25,72.16,0.00099
10,57.35,64.37,0.00099
40,57.93,62.39,0.00099
40,62.76,61.69,0.00099
50,67.92,70.12,0.00097
40,66.38,69.43,0.00099
30,65.05,68.07,0.00099
20,58.62,61.50,0.00099
30,62.87,65.81,0.00099
50,63.49,64.54,0.00099
40,66.12,68.40,0.00099
10,54.07,58.53,0.00099
50,55.26,55.76,0.00097
30,56.85,59.95,0.00099
20,52.06,59.48,0.00099
10,54.31,60.64,0.00099
40,64.27,67.30,0.00099
10,44.44,48.84,0.00097
40,67.97,71.17,0.00097
30,62.88,63.21,0.00099
10,51.94,57.78,0.00097
50,67.65,70.42,0.00099
20,55.67,57.73,0.00099
40,67.88,69.55,0.00099
20,60.27,63.56,0.00099
50,63.04,65.71,0.00097
10,54.61,61.21,0.00097
30,64.07,65.42,0.00099
30,60.34,61.21,0.00099
30,65.29,66.55,0.00099
40,58.45,63.42,0.00096
40,60.05,63.83,0.00097
10,49.69,53.72,0.00099
20,60.90,64.16,0.00099
50,63.57,65.67,0.00099
50,69.35,70.89,0.00097
20,52.41,58.34,0.00099
10,42.21,50.48,0.00097
50,59.91,64.93,0.00099
20,54.50,54.07,0.00099
40,68.74,70.92,0.00099
30,61.26,62.05,0.00097
30,62.41,64.61,0.00097
10,51.57,56.50,0.00099
50,66.65,68.58,0.00099
20,54.75,60.93,0.00099
20,61.13,63.53,0.00099
40,62.93,65.75,0.00099
10,50.41,55.78,0.00099
10,50.95,58.48,0.00097
50,67.18,68.13,0.00099
40,61.15,63.38,0.00099
30,56.97,60.46,0.00099
20,60.59,60.42,0.00099
40,61.27,62.11,0.00097
10,47.79,57.14,0.00096
10,50.48,50.71,0.00099
20,65.56,64.33,0.00099
20,61.03,65.51,0.00099
30,63.76,66.06,0.00099
30,68.50,68.13,0.00093
40,64.05,67.37,0.00099
