Number of labels,Accuracy,Accuracy with class priors,Class priors error
30,77.70,80.58,0.00097
10,66.78,72.43,0.00099
20,78.44,83.49,0.00097
40,76.99,81.85,0.00099
10,50.72,56.63,0.00099
10,68.73,74.18,0.00099
40,78.65,81.99,0.00099
20,70.97,76.16,0.00099
20,79.30,80.75,0.00099
30,75.03,81.39,0.00097
50,80.62,84.51,0.00099
30,74.03,80.69,0.00099
10,70.78,79.65,0.00099
50,78.88,81.41,0.00097
20,70.18,74.28,0.00099
50,81.54,85.56,0.00099
40,77.69,81.08,0.00097
30,78.75,82.43,0.00099
40,79.66,82.98,0.00096
20,78.64,84.99,0.00097
20,75.20,78.33,0.00096
10,65.98,69.85,0.00099
20,67.48,74.66,0.00097
40,81.34,84.66,0.00099
30,80.37,83.83,0.00099
50,79.22,81.27,0.00099
50,79.61,84.69,0.00099
10,58.15,63.79,0.00097
10,58.72,66.88,0.00099
10,69.99,76.90,0.00099
30,70.77,76.19,0.00099
50,82.13,85.26,0.00097
30,71.97,76.61,0.00099
20,71.30,73.53,0.00099
30,79.80,83.54,0.00096
10,69.39,73.83,0.00097
10,61.43,67.75,0.00099
20,69.96,74.77,0.00099
40,79.27,82.50,0.00099
40,75.93,78.69,0.00093
40,78.84,85.30,0.00099
50,82.63,85.98,0.00099
40,72.19,76.25,0.00099
50,78.89,82.95,0.00099
20,69.62,72.43,0.00096
40,79.00,83.99,0.00099
30,79.02,84.21,0.00099
50,80.76,85.05,0.00099
20,69.77,76.09,0.00099
10,57.94,64.49,0.00099
10,57.17,61.60,0.00093
50,78.78,81.99,0.00099
20,73.53,79.01,0.00099
10,51.30,52.38,0.00097
30,73.50,78.84,0.00096
30,79.48,83.84,0.00097
10,62.79,68.35,0.00097
20,68.29,73.00,0.00097
30,74.06,77.58,0.00093
40,81.50,83.95,0.00099
30,71.85,76.10,0.00096
40,80.69,82.55,0.00099
40,76.21,79.46,0.00099
20,68.20,74.52,0.00099
50,80.22,83.13,0.00099
20,70.74,75.18,0.00097
50,78.75,81.31,0.00099
10,70.15,78.08,0.00099
30,76.40,83.00,0.00099
20,73.27,75.72,0.00097
10,69.56,77.89,0.00099
30,70.57,73.22,0.00099
40,82.99,86.19,0.00097
50,79.72,84.16,0.00099
50,76.84,79.94,0.00099
10,68.27,77.01,0.00097
50,85.05,86.92,0.00099
20,71.57,78.49,0.00097
30,74.36,78.83,0.00097
40,74.19,79.81,0.00099
20,72.58,76.73,0.00097
30,72.66,77.12,0.00099
50,83.96,87.42,0.00099
10,72.04,78.20,0.00097
10,69.68,74.52,0.00097
30,73.04,78.31,0.00093
40,79.39,84.25,0.00097
30,77.68,82.17,0.00099
50,82.24,84.49,0.00097
40,83.10,86.85,0.00099
10,67.87,72.74,0.00099
20,70.92,75.31,0.00099
10,65.72,72.54,0.00097
20,73.34,81.05,0.00099
40,80.70,84.73,0.00096
50,79.08,82.07,0.00096
30,78.91,79.81,0.00097
10,61.97,69.86,0.00097
20,70.73,75.99,0.00099
50,77.47,79.90,0.00094
50,81.42,84.96,0.00099
10,63.05,66.71,0.00099
50,81.32,83.81,0.00097
20,74.75,78.77,0.00097
40,77.28,81.22,0.00099
30,71.10,74.00,0.00097
40,78.31,84.04,0.00097
10,60.28,74.72,0.00096
30,77.64,83.80,0.00099
20,69.25,76.17,0.00099
10,63.03,68.51,0.00097
30,78.56,80.97,0.00096
10,61.36,63.01,0.00099
30,75.35,80.75,0.00099
20,74.32,79.56,0.00096
40,79.41,83.64,0.00097
20,72.28,76.70,0.00099
50,78.96,81.94,0.00099
40,75.85,81.53,0.00099
40,76.69,81.11,0.00099
30,73.87,76.79,0.00099
50,76.96,80.18,0.00096
50,82.49,85.42,0.00097
20,69.10,75.24,0.00097
30,72.72,79.38,0.00097
30,80.46,84.04,0.00097
40,73.29,78.76,0.00099
50,78.90,82.51,0.00099
50,78.65,83.84,0.00097
10,60.34,66.15,0.00097
40,80.06,82.89,0.00099
10,64.53,69.47,0.00093
20,70.18,74.32,0.00097
40,80.48,85.36,0.00099
40,83.40,85.06,0.00096
20,67.81,73.53,0.00097
20,77.61,80.27,0.00099
50,74.50,76.03,0.00096
10,59.36,67.68,0.00097
50,80.17,82.22,0.00099
30,76.58,80.73,0.00099
20,73.84,79.15,0.00097
30,72.85,77.17,0.00099
10,65.95,73.10,0.00093
50,82.69,85.68,0.00097
40,81.41,85.10,0.00099
50,82.86,86.79,0.00099
40,78.36,84.04,0.00099
10,56.16,63.44,0.00099
20,77.86,82.55,0.00099
20,78.61,82.73,0.00097
40,80.28,82.68,0.00097
20,71.14,74.59,0.00099
10,63.59,64.22,0.00097
40,81.68,85.60,0.00097
10,63.43,71.85,0.00097
40,77.38,79.19,0.00099
30,79.25,83.41,0.00099
10,67.55,72.01,0.00097
30,74.56,78.39,0.00099
30,78.12,82.85,0.00097
50,78.52,81.84,0.00096
20,65.08,67.83,0.00099
50,76.89,80.94,0.00099
40,81.74,84.54,0.00099
30,77.21,82.51,0.00097
30,79.08,83.71,0.00097
50,77.70,82.59,0.00099
10,56.84,66.18,0.00094
10,69.18,71.53,0.00096
20,69.91,74.86,0.00096
10,65.71,73.06,0.00099
20,64.43,67.31,0.00099
30,72.76,80.63,0.00099
40,77.83,81.14,0.00099
40,80.94,84.40,0.00096
50,81.36,84.62,0.00099
30,68.79,70.66,0.00097
40,80.59,84.62,0.00099
50,81.30,83.82,0.00099
40,81.51,83.96,0.00099
10,61.88,73.78,0.00097
50,75.19,76.36,0.00099
30,76.06,78.52,0.00099
20,74.41,80.41,0.00096
30,76.23,82.25,0.00099
40,77.34,81.48,0.00096
50,83.39,85.81,0.00099
30,70.06,71.08,0.00099
20,73.65,85.11,0.00099
10,66.40,72.82,0.00099
50,79.39,84.01,0.00099
10,72.08,77.60,0.00096
40,83.22,85.38,0.00096
50,83.12,84.94,0.00099
10,57.90,69.76,0.00096
30,80.93,84.45,0.00099
20,69.40,71.86,0.00097
20,73.47,74.94,0.00099
50,81.13,82.56,0.00099
40,77.37,79.91,0.00099
