Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,44.69,49.04,0.00094
20,48.25,50.77,0.00097
10,48.12,52.61,0.00099
20,55.12,55.33,0.00097
10,56.56,60.89,0.00099
30,60.22,61.46,0.00097
10,50.51,49.34,0.00099
30,55.96,58.25,0.00099
40,59.93,60.82,0.00097
40,61.52,63.66,0.00096
30,56.22,58.96,0.00099
30,58.96,60.04,0.00096
20,52.37,55.04,0.00099
40,66.50,66.67,0.00097
20,48.05,49.32,0.00099
40,61.39,61.72,0.00099
50,60.50,60.72,0.00099
50,60.70,61.12,0.00099
50,61.30,62.45,0.00099
50,64.13,65.24,0.00099
10,51.07,50.94,0.00094
20,53.56,54.42,0.00097
10,52.33,54.76,0.00096
20,53.61,54.68,0.00099
30,60.54,60.98,0.00097
50,60.34,61.91,0.00099
40,61.85,62.41,0.00099
10,48.44,48.61,0.00097
10,46.99,44.85,0.00099
30,57.88,59.43,0.00097
30,61.14,62.46,0.00099
50,62.49,64.15,0.00099
50,61.17,62.29,0.00096
30,52.84,54.37,0.00097
40,59.91,62.26,0.00099
20,53.31,55.31,0.00099
20,58.00,58.84,0.00099
40,58.95,61.31,0.00096
50,61.27,62.57,0.00096
40,63.01,65.06,0.00097
10,48.84,49.61,0.00096
20,42.73,45.54,0.00096
30,58.43,59.37,0.00099
10,50.75,51.60,0.00099
40,61.24,63.35,0.00099
20,53.59,56.25,0.00099
10,44.74,48.88,0.00099
30,60.57,60.75,0.00097
50,62.68,63.59,0.00099
50,62.88,63.28,0.00096
10,40.25,41.20,0.00094
30,54.40,57.24,0.00094
20,60.69,60.59,0.00097
40,58.63,58.84,0.00099
30,58.22,59.59,0.00097
20,55.83,59.36,0.00099
50,64.48,64.41,0.00099
40,65.09,64.09,0.00099
40,58.13,61.18,0.00096
50,60.40,62.24,0.00099
10,46.20,49.15,0.00097
20,50.84,51.79,0.00099
10,51.54,53.78,0.00097
40,59.72,59.90,0.00097
20,52.40,53.99,0.00096
30,56.58,59.92,0.00099
10,41.29,47.90,0.00099
50,61.48,62.45,0.00099
30,52.08,53.62,0.00099
40,56.31,56.12,0.00096
20,58.10,59.02,0.00099
30,56.11,56.33,0.00099
50,60.81,61.53,0.00097
20,60.42,61.61,0.00099
10,46.61,47.12,0.00090
50,65.69,66.92,0.00097
40,58.87,59.98,0.00097
40,63.10,64.20,0.00099
30,58.80,59.00,0.00099
50,59.90,60.06,0.00097
10,44.75,46.69,0.00097
20,49.24,51.25,0.00099
30,55.36,53.85,0.00096
10,48.37,52.00,0.00099
20,56.50,56.70,0.00099
50,61.44,62.22,0.00094
20,56.22,59.12,0.00099
10,52.84,58.39,0.00099
30,64.64,66.38,0.00097
50,66.73,67.49,0.00096
40,59.18,60.68,0.00099
30,60.24,60.32,0.00099
40,59.17,58.90,0.00097
40,58.11,59.99,0.00099
10,48.42,50.91,0.00099
50,58.90,59.14,0.00099
20,56.09,59.73,0.00099
30,55.22,56.42,0.00099
40,61.28,62.55,0.00099
50,62.90,64.22,0.00099
10,51.42,52.30,0.00099
20,51.95,52.56,0.00096
30,55.16,57.24,0.00099
50,52.31,52.15,0.00097
40,58.19,59.51,0.00099
10,40.93,43.45,0.00099
10,45.20,49.03,0.00094
40,64.78,65.67,0.00099
20,48.57,50.31,0.00099
30,57.51,58.01,0.00097
20,54.40,58.48,0.00097
30,56.08,57.91,0.00097
10,50.59,50.29,0.00097
20,51.16,52.00,0.00097
50,63.51,65.04,0.00099
50,61.40,62.67,0.00099
40,61.72,61.75,0.00099
30,58.49,60.59,0.00097
40,59.58,61.32,0.00097
50,64.35,65.41,0.00099
10,44.82,47.40,0.00099
20,55.28,56.39,0.00094
30,57.69,57.94,0.00097
40,57.29,60.16,0.00097
10,42.97,47.07,0.00099
20,49.93,48.86,0.00094
50,61.02,61.24,0.00099
10,45.79,48.49,0.00096
10,35.45,41.80,0.00097
30,58.92,59.03,0.00097
20,50.27,50.69,0.00097
50,57.01,58.51,0.00099
40,59.73,60.52,0.00096
30,56.74,59.42,0.00099
50,59.75,61.00,0.00099
40,59.06,60.71,0.00099
30,53.32,55.91,0.00099
20,56.31,56.23,0.00097
40,57.69,58.27,0.00096
50,62.40,62.77,0.00097
10,47.75,51.58,0.00099
20,54.60,55.00,0.00099
30,56.18,58.58,0.00097
40,58.95,59.38,0.00099
10,44.28,42.14,0.00097
20,57.40,58.74,0.00099
50,64.22,65.36,0.00099
10,44.89,50.45,0.00089
20,57.77,57.72,0.00097
30,59.72,60.47,0.00099
30,59.66,58.75,0.00099
10,41.45,48.57,0.00099
20,58.12,59.47,0.00099
50,58.35,59.14,0.00099
40,62.96,64.44,0.00099
40,59.51,61.07,0.00096
