Number of labels,Accuracy,Accuracy with class priors,Class priors error
30,41.39,40.40,0.00098
20,38.22,38.86,0.00098
20,35.57,34.17,0.00098
10,35.73,33.54,0.00087
40,42.30,42.52,0.00098
50,42.07,41.36,0.00097
10,31.72,33.56,0.00098
40,41.56,40.42,0.00097
30,40.11,40.72,0.00095
50,43.84,43.18,0.00097
10,25.55,30.31,0.00097
10,39.79,41.89,0.00098
30,43.11,43.56,0.00095
40,38.83,38.91,0.00097
50,47.53,47.38,0.00097
20,38.29,38.26,0.00098
30,37.86,40.00,0.00097
50,39.00,39.56,0.00098
20,35.29,36.50,0.00097
40,43.98,46.13,0.00098
20,39.23,39.58,0.00098
10,34.98,36.37,0.00097
10,34.33,36.33,0.00098
20,29.10,30.10,0.00097
50,41.27,40.89,0.00098
30,43.64,43.72,0.00097
10,21.34,23.53,0.00095
40,40.94,40.43,0.00095
10,24.97,28.84,0.00093
20,36.04,34.46,0.00098
50,42.22,42.86,0.00098
40,39.70,41.65,0.00098
20,42.00,46.14,0.00097
40,44.39,44.13,0.00093
30,38.69,39.00,0.00097
30,41.28,40.57,0.00097
20,30.19,33.44,0.00088
50,42.39,43.47,0.00097
50,40.44,41.59,0.00095
40,42.90,44.37,0.00098
30,39.07,40.71,0.00098
50,45.23,45.66,0.00098
30,35.57,36.67,0.00098
40,43.89,43.99,0.00098
10,25.96,25.40,0.00095
30,39.40,39.76,0.00097
20,36.63,36.34,0.00098
30,37.32,38.15,0.00097
20,40.34,41.66,0.00098
10,30.92,31.85,0.00098
10,38.81,39.38,0.00098
10,27.81,24.51,0.00095
50,39.12,39.31,0.00098
40,37.89,37.66,0.00098
20,34.16,39.11,0.00097
40,42.93,42.68,0.00098
40,36.97,37.06,0.00092
40,39.65,38.20,0.00097
20,41.29,41.44,0.00093
50,40.81,41.63,0.00098
30,34.54,37.40,0.00098
40,42.70,43.16,0.00098
30,38.93,38.24,0.00097
30,39.90,40.03,0.00097
50,44.66,44.19,0.00095
50,39.33,38.99,0.00097
10,32.31,32.13,0.00098
40,40.06,40.07,0.00098
20,32.77,31.09,0.00097
30,34.64,34.65,0.00097
50,42.46,43.67,0.00098
10,34.92,33.08,0.00097
10,36.16,39.85,0.00097
50,40.94,40.36,0.00098
30,41.31,40.37,0.00095
10,36.59,34.10,0.00088
20,37.93,38.70,0.00097
20,38.82,41.28,0.00097
50,36.08,37.35,0.00098
40,37.50,38.17,0.00097
40,40.58,42.14,0.00095
20,33.34,33.99,0.00098
30,36.09,34.56,0.00097
10,35.14,37.60,0.00097
50,42.67,42.65,0.00098
30,39.41,42.07,0.00098
40,38.92,38.51,0.00098
50,46.36,46.18,0.00097
10,29.71,31.48,0.00097
20,27.14,27.42,0.00098
20,40.10,44.96,0.00098
30,37.27,36.97,0.00095
40,38.52,39.64,0.00093
20,36.06,34.07,0.00098
10,31.81,32.66,0.00098
50,42.48,43.15,0.00098
10,32.83,34.52,0.00095
20,39.65,38.80,0.00098
10,39.60,40.44,0.00093
40,40.11,40.78,0.00095
40,42.53,41.09,0.00098
30,40.58,42.77,0.00098
20,32.70,33.82,0.00098
50,40.07,41.45,0.00095
50,41.58,41.64,0.00098
30,42.02,43.08,0.00095
10,31.22,31.32,0.00093
30,34.03,33.34,0.00098
30,37.00,37.32,0.00098
50,41.94,42.31,0.00098
30,35.83,36.90,0.00090
50,41.02,40.44,0.00092
40,40.48,40.58,0.00098
40,41.23,42.87,0.00098
20,38.63,41.20,0.00098
10,28.15,27.29,0.00095
20,35.76,34.46,0.00093
10,35.58,35.07,0.00098
40,41.22,41.33,0.00098
30,37.29,40.99,0.00098
50,36.77,36.36,0.00097
20,32.95,33.96,0.00097
50,45.55,45.56,0.00098
50,43.33,43.36,0.00095
10,27.72,28.17,0.00098
40,36.78,36.65,0.00097
20,31.62,28.56,0.00093
40,42.68,41.92,0.00097
30,37.57,37.62,0.00097
40,38.15,37.59,0.00098
10,31.09,31.88,0.00098
20,34.35,36.58,0.00097
30,37.21,40.12,0.00098
10,33.15,33.13,0.00097
20,33.39,33.44,0.00098
50,41.88,41.93,0.00093
40,43.15,41.86,0.00098
10,26.19,24.70,0.00098
30,36.07,35.31,0.00098
20,37.17,39.81,0.00097
40,43.14,42.99,0.00093
10,25.32,28.79,0.00098
50,42.67,41.80,0.00098
20,35.22,34.35,0.00093
10,27.20,26.78,0.00097
50,42.73,41.99,0.00098
30,41.14,39.97,0.00098
30,37.48,38.25,0.00098
40,43.32,44.35,0.00095
10,30.92,27.31,0.00098
30,36.26,35.80,0.00098
40,35.20,34.21,0.00097
40,42.81,43.95,0.00098
20,37.93,37.29,0.00098
10,37.58,39.02,0.00098
50,40.81,42.57,0.00097
10,34.22,32.63,0.00097
50,43.45,42.13,0.00090
50,44.72,45.00,0.00098
20,26.46,26.78,0.00093
30,37.55,38.33,0.00098
20,32.81,33.10,0.00098
10,25.66,30.58,0.00097
50,40.35,41.68,0.00095
20,40.00,40.17,0.00098
30,37.22,37.43,0.00097
40,35.02,34.90,0.00095
40,41.59,41.22,0.00095
10,25.80,26.28,0.00097
50,40.44,40.96,0.00098
20,31.01,33.90,0.00088
20,36.50,37.18,0.00097
30,37.81,38.00,0.00098
10,27.28,27.12,0.00095
10,39.18,40.93,0.00098
40,41.30,41.83,0.00097
50,40.55,40.36,0.00098
30,42.44,44.57,0.00092
30,36.20,39.37,0.00098
50,43.43,44.06,0.00098
20,40.36,39.68,0.00097
40,41.37,39.72,0.00098
30,35.74,36.62,0.00098
10,32.08,30.11,0.00095
30,39.07,40.97,0.00098
10,34.92,31.89,0.00098
30,37.57,36.63,0.00092
40,38.81,40.07,0.00095
50,39.46,42.48,0.00095
50,43.77,43.45,0.00097
40,36.85,37.64,0.00098
20,42.12,42.05,0.00097
20,30.29,32.57,0.00095
40,40.41,41.14,0.00098
50,43.85,44.86,0.00097
30,41.77,42.24,0.00093
50,38.31,38.94,0.00097
30,36.05,38.59,0.00095
10,33.35,33.01,0.00095
10,27.48,28.88,0.00098
10,31.96,32.69,0.00098
20,40.71,40.45,0.00098
30,38.44,41.38,0.00090
40,40.40,41.46,0.00097
20,39.32,37.24,0.00098
50,43.54,43.61,0.00097
40,40.01,42.72,0.00097
40,43.17,42.76,0.00097
50,41.33,39.62,0.00095
30,43.04,43.82,0.00098
40,38.21,39.06,0.00097
20,38.35,39.68,0.00097
10,30.20,30.60,0.00095
50,41.04,40.47,0.00097
20,26.58,27.37,0.00098
10,29.91,29.72,0.00095
40,39.73,40.51,0.00098
20,39.21,38.45,0.00098
50,40.41,41.52,0.00098
20,37.65,37.58,0.00097
50,43.75,44.73,0.00093
10,37.41,37.44,0.00097
30,43.05,42.60,0.00093
30,40.67,42.40,0.00098
10,27.74,28.07,0.00098
20,35.34,34.95,0.00097
40,43.57,42.81,0.00098
40,43.32,43.85,0.00097
40,42.56,42.45,0.00098
50,36.91,37.20,0.00098
30,39.19,38.88,0.00098
10,25.01,24.84,0.00098
30,32.97,36.77,0.00098
40,41.15,40.66,0.00097
50,38.85,38.66,0.00092
30,45.73,46.79,0.00097
20,35.93,37.00,0.00097
10,34.03,37.36,0.00098
20,30.31,29.51,0.00098
50,41.66,40.98,0.00097
50,44.23,42.37,0.00098
10,33.16,36.29,0.00098
40,40.77,41.07,0.00095
40,39.75,39.80,0.00097
20,29.28,31.78,0.00098
10,32.67,33.46,0.00097
20,42.29,42.97,0.00097
30,40.39,40.34,0.00098
40,43.56,44.10,0.00098
10,41.45,40.47,0.00098
30,36.13,37.38,0.00097
30,41.97,43.62,0.00097
50,37.99,37.98,0.00095
50,41.65,40.31,0.00098
10,37.71,37.30,0.00098
10,30.03,28.58,0.00098
20,38.28,38.56,0.00098
20,30.77,29.47,0.00098
40,39.03,37.93,0.00098
50,37.63,37.04,0.00097
30,42.50,45.47,0.00092
10,28.86,29.70,0.00098
40,41.76,42.80,0.00097
30,35.91,35.65,0.00097
20,37.94,38.19,0.00098
50,39.90,39.31,0.00095
40,40.75,41.57,0.00097
30,38.50,39.22,0.00097
50,41.27,41.47,0.00097
20,39.64,40.92,0.00097
30,43.18,43.85,0.00098
30,41.82,44.04,0.00097
20,36.48,38.25,0.00098
10,30.69,30.90,0.00098
10,30.16,30.18,0.00095
20,33.84,34.74,0.00092
50,43.43,44.13,0.00097
40,38.62,39.77,0.00095
40,42.61,42.14,0.00098
50,40.29,40.80,0.00098
30,38.27,39.75,0.00098
40,44.33,45.39,0.00098
40,38.31,37.24,0.00095
20,37.08,36.27,0.00098
30,37.62,37.42,0.00095
20,38.75,36.61,0.00098
10,29.26,28.73,0.00090
50,41.97,41.67,0.00098
10,37.62,38.07,0.00098
50,42.69,44.40,0.00098
40,37.21,37.72,0.00098
10,36.40,38.24,0.00095
30,36.91,40.50,0.00098
20,39.18,39.93,0.00095
50,38.79,36.84,0.00098
40,43.02,43.18,0.00098
40,41.22,41.50,0.00097
30,37.04,38.78,0.00093
30,29.34,28.57,0.00097
50,40.62,40.87,0.00098
10,35.81,37.99,0.00098
50,41.23,40.89,0.00098
20,39.09,40.26,0.00098
30,32.15,33.77,0.00097
20,36.31,34.42,0.00095
10,37.64,40.22,0.00092
50,41.74,40.77,0.00098
10,32.76,34.20,0.00097
10,31.19,33.08,0.00097
20,40.67,43.38,0.00098
30,38.42,39.43,0.00095
40,42.76,42.97,0.00098
30,37.73,37.99,0.00097
40,40.72,41.73,0.00097
