Number of labels,Accuracy,Accuracy with class priors,Class priors error
20,50.36,82.93,0.00099
40,65.04,84.12,0.00099
10,41.64,73.75,0.00099
50,70.16,85.92,0.00099
10,33.09,65.38,0.00097
50,69.20,87.61,0.00099
10,49.08,79.72,0.00099
10,55.77,80.11,0.00096
20,58.89,83.58,0.00099
30,63.85,80.09,0.00097
30,59.53,84.14,0.00099
30,61.39,85.17,0.00097
20,61.80,77.73,0.00099
20,62.02,80.28,0.00099
50,72.80,86.25,0.00099
10,51.14,75.86,0.00097
20,59.02,80.16,0.00099
30,61.86,87.29,0.00099
30,60.07,83.43,0.00099
30,67.19,87.66,0.00099
50,68.51,85.52,0.00099
20,64.27,80.96,0.00096
10,38.85,62.71,0.00099
10,46.26,70.50,0.00097
40,63.71,85.91,0.00099
40,66.09,88.16,0.00099
30,62.05,85.07,0.00099
20,57.24,76.51,0.00099
10,37.45,68.34,0.00097
50,66.86,86.28,0.00097
40,70.67,86.92,0.00099
30,69.80,85.06,0.00099
30,57.51,84.32,0.00099
10,51.00,68.18,0.00097
30,58.86,76.32,0.00097
30,59.10,83.57,0.00099
10,33.63,60.93,0.00099
20,53.52,74.05,0.00099
50,69.53,88.66,0.00099
20,71.41,82.10,0.00099
20,58.67,83.05,0.00099
40,65.93,85.45,0.00097
20,60.24,72.27,0.00099
50,70.36,87.06,0.00099
40,63.75,83.10,0.00099
40,63.76,86.50,0.00099
10,40.36,71.38,0.00099
30,54.44,82.37,0.00099
40,60.40,84.76,0.00099
50,71.00,87.90,0.00099
50,71.95,87.29,0.00099
40,66.95,84.86,0.00099
10,48.71,71.09,0.00099
40,64.99,84.06,0.00099
30,65.32,88.10,0.00099
20,49.21,77.10,0.00099
30,59.67,83.02,0.00097
50,68.91,85.35,0.00097
10,46.58,68.46,0.00099
10,47.42,76.17,0.00099
50,71.01,87.39,0.00099
40,71.26,84.97,0.00099
30,61.11,84.14,0.00099
20,66.87,82.03,0.00096
20,72.67,87.65,0.00099
50,70.54,86.41,0.00099
30,59.61,80.94,0.00099
10,39.23,74.11,0.00099
40,66.02,85.28,0.00099
50,73.36,87.14,0.00097
30,61.73,84.97,0.00099
20,61.68,78.28,0.00099
40,68.60,86.80,0.00099
40,62.46,85.93,0.00099
10,45.84,73.86,0.00097
10,36.10,72.95,0.00099
20,52.15,78.21,0.00099
10,64.25,79.42,0.00096
30,55.23,79.00,0.00099
30,61.86,86.90,0.00099
40,68.73,86.91,0.00099
30,65.50,85.33,0.00099
50,74.59,88.85,0.00097
50,73.88,87.12,0.00099
50,64.53,85.72,0.00099
10,43.68,80.68,0.00099
20,54.77,79.55,0.00099
40,68.23,85.26,0.00099
30,69.08,84.88,0.00099
10,59.71,78.72,0.00099
30,66.97,86.83,0.00099
20,54.03,84.92,0.00099
50,67.69,86.91,0.00099
40,65.68,85.15,0.00099
50,64.97,88.14,0.00099
20,58.66,80.67,0.00099
30,57.39,81.90,0.00099
10,53.91,77.98,0.00099
10,42.44,69.80,0.00099
20,53.81,80.13,0.00097
50,68.87,85.71,0.00097
20,56.78,81.09,0.00099
40,67.70,85.46,0.00099
30,60.67,85.68,0.00099
40,64.25,87.63,0.00099
10,40.75,74.45,0.00097
40,62.86,86.06,0.00099
20,42.55,82.67,0.00099
30,59.31,81.82,0.00099
10,59.50,71.83,0.00097
20,59.42,83.70,0.00097
50,69.52,85.80,0.00099
50,66.86,83.11,0.00099
50,72.03,87.50,0.00099
30,68.40,85.42,0.00099
20,61.73,84.61,0.00099
40,66.48,85.17,0.00099
40,63.08,86.24,0.00099
10,50.87,76.71,0.00099
