Number of labels,Accuracy,Accuracy with class priors,Class priors error
50,62.96,64.40,0.00099
50,64.90,69.00,0.00099
50,61.42,68.09,0.00099
40,65.52,65.24,0.00099
40,68.34,70.21,0.00097
40,62.34,65.45,0.00096
40,67.35,71.59,0.00099
20,56.65,60.08,0.00099
30,57.58,63.63,0.00099
50,65.54,69.12,0.00097
30,57.84,63.17,0.00096
30,62.80,65.09,0.00099
20,51.64,60.94,0.00099
30,59.42,65.80,0.00099
20,53.82,57.76,0.00099
20,52.08,58.34,0.00099
10,51.77,53.60,0.00097
10,36.61,53.92,0.00099
10,53.36,67.74,0.00099
10,62.47,62.06,0.00099
30,65.35,69.21,0.00099
50,62.73,66.17,0.00099
20,59.40,63.53,0.00099
30,62.23,68.22,0.00099
40,64.75,69.51,0.00097
20,54.52,61.02,0.00099
50,63.55,68.63,0.00099
40,60.45,68.88,0.00099
30,57.22,66.25,0.00096
50,56.83,64.42,0.00099
40,59.15,67.17,0.00097
20,57.47,62.35,0.00099
50,63.19,67.85,0.00099
30,56.72,60.65,0.00096
10,55.49,62.32,0.00097
20,53.40,60.68,0.00099
10,52.82,55.82,0.00099
40,65.21,69.85,0.00099
10,57.83,60.41,0.00097
10,46.28,53.33,0.00099
50,62.80,66.97,0.00096
40,56.89,66.03,0.00099
50,66.96,67.43,0.00094
40,64.75,67.03,0.00097
30,62.85,67.61,0.00099
20,48.69,53.21,0.00099
30,62.11,67.14,0.00099
10,55.01,63.01,0.00099
10,49.69,57.49,0.00099
50,69.00,69.91,0.00099
20,64.05,69.74,0.00099
20,54.47,62.15,0.00099
40,64.41,68.07,0.00099
30,63.33,66.34,0.00099
30,54.82,62.54,0.00099
10,50.90,58.50,0.00099
40,61.18,68.27,0.00097
50,63.39,68.07,0.00099
20,58.90,64.70,0.00099
10,47.11,47.66,0.00097
