Number of labels,Accuracy,Accuracy with class priors,Class priors error
40,47.50,48.94,0.00095
50,47.50,49.75,0.00097
40,48.79,49.61,0.00098
50,49.18,48.02,0.00097
20,44.15,46.69,0.00098
40,45.00,45.83,0.00098
10,37.18,39.84,0.00097
30,46.47,45.90,0.00098
50,45.27,46.40,0.00098
10,39.58,38.28,0.00097
30,51.63,51.45,0.00098
50,55.67,56.18,0.00098
20,41.68,42.58,0.00097
30,45.77,47.55,0.00098
20,43.47,44.03,0.00092
30,44.78,45.83,0.00095
20,45.52,46.46,0.00095
10,44.44,48.04,0.00098
40,51.01,52.96,0.00098
10,30.77,35.36,0.00098
20,35.06,36.15,0.00097
50,46.78,47.79,0.00097
50,48.77,49.97,0.00098
20,47.78,46.44,0.00098
30,50.13,50.30,0.00098
40,46.26,50.29,0.00095
10,28.39,28.64,0.00097
40,48.14,47.86,0.00097
30,44.11,44.34,0.00097
40,50.42,52.28,0.00095
10,39.00,42.24,0.00098
30,44.85,45.65,0.00098
20,44.03,41.51,0.00098
50,46.30,47.64,0.00098
20,48.78,52.14,0.00097
10,39.93,41.21,0.00098
30,44.29,46.86,0.00098
40,50.36,52.60,0.00098
50,49.74,52.26,0.00097
10,28.72,31.28,0.00093
30,40.34,43.00,0.00097
10,30.44,29.64,0.00098
50,44.94,46.61,0.00098
50,52.79,53.69,0.00097
20,32.97,35.93,0.00098
40,53.08,53.45,0.00098
30,43.64,46.32,0.00092
20,43.63,42.74,0.00092
40,45.21,45.73,0.00097
10,45.26,45.23,0.00097
40,48.98,50.22,0.00095
10,29.28,26.42,0.00098
20,43.78,46.41,0.00095
30,44.59,44.50,0.00095
20,38.41,43.95,0.00097
40,43.80,43.77,0.00090
30,41.70,44.30,0.00098
50,51.92,51.01,0.00098
10,33.43,35.32,0.00098
50,47.33,49.10,0.00097
30,44.80,45.56,0.00097
40,44.11,44.57,0.00098
20,47.05,49.54,0.00098
20,37.84,37.30,0.00097
50,48.24,48.04,0.00095
30,46.06,47.13,0.00097
50,44.95,45.14,0.00098
40,51.31,52.40,0.00095
30,45.94,45.57,0.00092
10,38.15,38.81,0.00093
20,44.51,45.03,0.00097
30,37.79,42.01,0.00098
40,46.26,46.69,0.00098
50,47.10,46.52,0.00095
10,38.93,36.40,0.00095
10,40.32,45.70,0.00097
50,48.28,51.03,0.00098
10,41.08,38.65,0.00090
20,44.84,50.71,0.00098
40,45.34,46.36,0.00098
20,43.74,48.37,0.00098
40,49.53,50.56,0.00098
30,43.28,42.64,0.00098
50,55.15,56.16,0.00095
50,50.26,52.18,0.00097
20,42.48,43.42,0.00098
40,44.37,45.08,0.00098
10,31.66,36.15,0.00098
20,31.97,33.58,0.00095
10,35.92,37.62,0.00095
30,47.34,49.67,0.00098
30,43.49,42.33,0.00097
20,40.30,39.10,0.00098
30,49.15,51.44,0.00097
50,50.59,51.05,0.00098
10,41.23,42.94,0.00098
10,42.38,46.30,0.00098
40,43.20,46.59,0.00093
40,47.61,50.54,0.00097
50,46.77,48.48,0.00095
20,43.08,43.49,0.00097
10,35.25,36.04,0.00098
30,49.35,50.98,0.00098
