Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,30.18,59.78,0.00099
10,43.31,84.28,0.00099
50,57.24,84.58,0.00099
30,60.96,86.92,0.00099
10,41.59,84.86,0.00099
20,50.24,80.37,0.00097
40,61.53,87.94,0.00099
20,49.99,88.58,0.00099
30,52.91,85.03,0.00099
50,56.15,86.73,0.00099
20,38.71,79.07,0.00099
50,62.00,87.98,0.00099
30,49.98,82.09,0.00099
40,58.33,86.88,0.00099
20,48.11,86.02,0.00099
40,47.20,84.52,0.00099
20,44.19,86.24,0.00099
50,59.61,88.07,0.00099
30,51.97,87.20,0.00099
10,32.35,85.47,0.00099
40,53.38,88.31,0.00097
40,61.75,87.52,0.00099
10,37.64,86.44,0.00099
30,49.31,82.41,0.00096
10,45.88,78.78,0.00099
20,47.78,80.72,0.00099
10,25.91,71.48,0.00099
50,56.11,85.23,0.00099
40,56.31,85.23,0.00097
30,54.68,87.67,0.00097
50,65.22,88.68,0.00099
20,37.46,86.18,0.00099
40,53.53,84.79,0.00097
10,42.29,83.50,0.00099
40,49.77,88.02,0.00099
50,54.41,89.58,0.00099
50,59.75,87.37,0.00099
20,45.76,82.54,0.00099
30,39.96,84.90,0.00099
10,26.49,80.80,0.00099
30,49.25,86.25,0.00097
50,58.42,87.91,0.00099
40,58.89,87.99,0.00099
40,55.81,89.10,0.00099
20,41.78,75.34,0.00099
20,36.43,85.22,0.00099
20,45.16,81.24,0.00099
30,57.15,83.82,0.00099
30,43.22,88.78,0.00099
10,48.47,68.15,0.00099
30,46.65,82.96,0.00099
40,59.08,86.29,0.00099
10,44.71,83.74,0.00099
50,62.63,89.85,0.00099
20,40.85,85.48,0.00099
10,16.35,69.11,0.00099
30,48.78,82.09,0.00099
20,40.65,80.74,0.00099
50,59.96,88.42,0.00099
30,47.24,87.80,0.00099
10,32.25,74.79,0.00099
50,60.10,89.18,0.00099
20,50.81,78.77,0.00099
30,53.61,87.01,0.00099
50,58.93,84.58,0.00099
40,60.35,87.03,0.00099
40,56.91,86.71,0.00099
10,32.10,80.31,0.00099
10,36.59,83.36,0.00099
30,45.69,80.45,0.00099
40,47.88,87.26,0.00099
20,39.85,87.18,0.00099
30,48.47,78.11,0.00099
50,60.53,88.54,0.00099
10,36.16,81.01,0.00099
30,47.10,84.56,0.00099
20,50.36,84.76,0.00099
20,52.19,83.37,0.00099
50,60.27,87.32,0.00099
10,36.74,84.12,0.00099
10,44.26,86.76,0.00099
50,65.57,89.12,0.00099
40,59.82,88.87,0.00099
40,57.03,87.40,0.00099
50,60.29,85.67,0.00099
30,54.06,87.68,0.00097
40,56.88,88.45,0.00099
10,25.93,83.77,0.00099
50,62.90,89.39,0.00099
10,39.30,84.62,0.00099
50,62.04,89.56,0.00099
30,58.17,85.08,0.00099
20,34.91,86.94,0.00099
40,54.88,83.90,0.00099
40,52.29,89.19,0.00099
20,48.11,82.86,0.00099
40,58.53,88.33,0.00099
30,53.80,88.77,0.00099
50,61.70,87.75,0.00099
10,31.59,76.21,0.00099
40,62.91,88.75,0.00099
10,39.12,81.16,0.00099
30,49.79,87.41,0.00099
10,29.76,79.11,0.00097
20,43.57,85.57,0.00099
50,53.56,84.22,0.00099
30,46.81,79.23,0.00099
20,38.52,85.54,0.00099
40,51.73,84.01,0.00097
50,49.25,80.76,0.00099
20,38.84,81.42,0.00099
10,27.47,83.35,0.00099
50,62.41,88.64,0.00099
20,41.26,84.40,0.00099
40,53.82,87.48,0.00099
10,44.34,73.87,0.00099
50,59.62,84.68,0.00099
50,55.38,81.80,0.00099
40,58.07,76.97,0.00099
30,53.11,88.48,0.00097
20,41.40,84.94,0.00097
20,40.61,83.86,0.00099
10,43.75,79.09,0.00097
40,58.02,86.65,0.00099
10,26.70,79.26,0.00099
30,58.60,84.99,0.00099
30,49.01,86.70,0.00099
30,45.42,79.17,0.00099
20,40.59,85.15,0.00099
30,58.10,89.47,0.00099
10,29.73,82.20,0.00099
20,45.19,80.86,0.00099
50,62.50,86.01,0.00097
50,52.82,84.61,0.00099
30,42.51,84.01,0.00099
50,56.17,88.64,0.00099
40,57.96,87.27,0.00099
30,54.93,82.51,0.00099
20,41.36,83.45,0.00099
20,42.96,85.40,0.00099
40,54.11,84.03,0.00099
50,61.27,89.54,0.00097
30,59.65,84.94,0.00099
10,40.69,83.62,0.00099
40,63.84,89.43,0.00099
10,37.55,82.38,0.00099
40,53.05,87.82,0.00099
20,43.20,71.27,0.00097
20,50.69,84.40,0.00099
10,36.77,72.73,0.00099
40,58.25,89.56,0.00099
40,55.68,87.32,0.00099
30,59.48,85.91,0.00096
50,47.56,86.86,0.00099
10,46.85,76.38,0.00099
20,53.03,87.00,0.00099
20,47.77,81.64,0.00099
50,62.74,89.75,0.00099
40,51.43,85.85,0.00099
10,37.41,75.91,0.00099
20,45.30,86.07,0.00099
10,31.18,78.24,0.00099
30,52.38,85.97,0.00099
50,53.58,83.82,0.00099
40,59.93,88.45,0.00099
10,27.21,64.90,0.00099
50,63.97,88.09,0.00099
30,52.09,87.70,0.00099
30,53.24,88.70,0.00099
40,55.09,85.02,0.00099
10,45.23,80.36,0.00099
20,37.97,81.86,0.00099
30,53.46,74.91,0.00093
50,60.41,85.73,0.00099
50,58.46,89.04,0.00099
40,55.14,87.87,0.00099
10,29.91,71.90,0.00099
30,44.59,85.89,0.00099
50,53.04,86.63,0.00099
30,54.41,87.02,0.00099
20,46.91,86.90,0.00099
10,43.71,81.32,0.00099
50,53.91,85.90,0.00099
30,51.51,85.46,0.00099
20,62.04,85.01,0.00099
20,49.36,79.38,0.00099
30,52.88,83.70,0.00094
40,53.36,89.04,0.00097
20,55.70,84.09,0.00099
40,49.26,89.11,0.00099
20,40.55,85.65,0.00099
40,57.09,87.08,0.00099
50,61.26,88.83,0.00099
50,56.81,88.27,0.00099
10,42.35,86.64,0.00099
10,23.61,83.61,0.00099
40,48.50,82.78,0.00099
50,60.88,83.86,0.00099
10,51.14,81.38,0.00099
10,30.67,75.01,0.00099
40,59.89,86.90,0.00099
10,38.59,78.91,0.00099
20,39.98,87.81,0.00099
30,43.50,82.15,0.00099
50,64.38,85.21,0.00099
20,56.04,87.03,0.00097
20,49.38,84.01,0.00099
40,50.72,86.29,0.00099
40,49.09,78.96,0.00099
50,59.58,89.73,0.00099
30,56.27,88.92,0.00099
50,60.73,87.60,0.00099
20,37.56,86.82,0.00099
40,57.52,85.34,0.00099
40,55.69,88.62,0.00099
50,58.91,88.76,0.00099
10,29.90,78.21,0.00099
10,37.23,83.34,0.00099
20,44.86,85.43,0.00099
30,49.73,83.76,0.00099
30,49.28,86.18,0.00099
30,49.19,86.76,0.00099
10,40.83,84.76,0.00099
10,26.37,71.17,0.00099
20,48.48,81.80,0.00097
30,49.41,85.73,0.00097
20,50.77,83.32,0.00099
30,49.71,88.62,0.00099
10,41.93,81.40,0.00097
50,65.26,87.40,0.00099
50,56.94,86.02,0.00099
20,51.33,83.12,0.00099
40,56.76,89.25,0.00099
40,53.88,87.02,0.00099
10,30.58,74.42,0.00099
20,50.77,82.05,0.00099
10,29.42,65.72,0.00099
30,48.10,86.66,0.00099
10,31.10,74.85,0.00099
20,43.20,78.79,0.00099
50,57.06,87.75,0.00099
30,50.16,85.59,0.00099
40,57.70,86.85,0.00099
30,46.17,77.62,0.00099
10,42.27,74.15,0.00099
30,46.80,86.44,0.00099
50,60.31,89.77,0.00099
30,58.84,87.54,0.00099
30,42.41,85.49,0.00099
40,61.59,87.57,0.00099
20,65.73,85.61,0.00099
50,63.16,88.80,0.00099
40,54.51,85.87,0.00099
20,51.80,75.46,0.00099
20,43.21,75.26,0.00099
20,47.88,85.33,0.00096
40,48.33,86.87,0.00099
10,21.75,69.09,0.00099
40,52.47,88.34,0.00099
50,60.70,88.52,0.00099
10,39.32,80.84,0.00097
10,30.50,74.20,0.00097
50,64.04,88.66,0.00099
30,50.63,84.52,0.00099
40,58.60,86.13,0.00099
20,39.18,80.54,0.00099
40,64.94,86.21,0.00099
50,62.53,88.80,0.00099
30,55.40,89.48,0.00099
50,62.39,87.65,0.00099
20,60.37,89.29,0.00097
50,63.47,87.95,0.00099
40,56.91,86.22,0.00097
30,52.30,86.80,0.00099
40,55.43,86.99,0.00099
20,51.87,84.96,0.00097
50,66.98,88.15,0.00099
10,33.54,73.64,0.00099
30,44.50,83.85,0.00097
40,52.90,88.02,0.00099
30,50.12,86.13,0.00099
10,31.87,78.35,0.00099
20,50.42,81.94,0.00096
10,32.47,80.85,0.00099
30,50.08,87.72,0.00099
10,29.55,77.41,0.00099
20,42.48,78.46,0.00099
50,53.41,87.88,0.00099
40,59.30,88.81,0.00099
30,44.35,81.34,0.00099
50,61.14,89.06,0.00099
50,66.70,87.42,0.00099
40,58.95,88.09,0.00099
10,26.55,79.78,0.00099
30,52.93,87.50,0.00099
10,47.89,84.96,0.00099
50,67.44,89.46,0.00099
20,49.67,83.51,0.00099
40,56.10,87.66,0.00097
10,53.43,83.14,0.00097
40,57.97,86.96,0.00099
30,57.94,85.48,0.00099
20,44.06,87.27,0.00099
10,31.47,84.51,0.00099
30,44.34,85.59,0.00099
50,53.97,89.69,0.00099
20,47.09,83.66,0.00099
30,57.13,89.20,0.00099
50,60.52,87.38,0.00099
40,51.47,88.46,0.00099
10,45.58,82.63,0.00097
20,45.97,83.12,0.00099
50,61.61,87.56,0.00097
10,31.69,74.74,0.00099
40,56.09,87.05,0.00099
20,25.68,84.66,0.00099
50,55.28,84.92,0.00099
30,50.89,87.60,0.00099
40,52.45,87.21,0.00099
10,42.49,76.69,0.00097
20,42.10,83.28,0.00099
50,64.63,88.64,0.00099
10,28.00,79.48,0.00099
20,48.03,84.69,0.00099
10,43.35,81.91,0.00096
40,54.20,86.57,0.00097
30,59.98,87.41,0.00099
20,44.12,85.48,0.00099
50,57.15,87.97,0.00099
20,48.09,87.34,0.00099
30,46.83,83.15,0.00099
40,58.39,89.04,0.00099
50,61.95,87.34,0.00099
10,29.84,79.89,0.00099
50,67.73,89.00,0.00099
10,41.13,76.88,0.00099
40,57.19,83.98,0.00099
40,53.15,88.29,0.00099
30,50.65,85.23,0.00099
50,54.80,85.82,0.00099
30,40.02,86.08,0.00099
30,54.96,84.01,0.00099
50,60.37,88.59,0.00099
40,46.42,85.73,0.00099
20,40.03,86.81,0.00099
40,58.18,86.09,0.00099
40,48.81,87.05,0.00099
20,42.28,84.01,0.00099
30,54.05,87.36,0.00099
10,27.15,80.82,0.00099
10,37.76,83.66,0.00099
50,55.65,86.96,0.00099
40,55.85,84.73,0.00099
20,36.51,81.92,0.00099
10,31.52,83.46,0.00099
30,62.49,84.67,0.00099
10,42.79,69.60,0.00099
40,59.08,89.56,0.00099
50,52.06,84.98,0.00099
50,64.05,87.84,0.00097
20,43.68,87.60,0.00099
30,37.51,85.86,0.00097
20,47.49,86.21,0.00099
50,50.09,82.52,0.00099
10,44.29,78.63,0.00099
30,52.35,83.10,0.00099
40,55.88,86.42,0.00097
10,44.37,80.87,0.00099
40,57.95,87.44,0.00099
40,60.35,84.70,0.00099
40,60.73,86.15,0.00099
30,59.68,87.76,0.00099
50,60.40,86.39,0.00097
30,57.84,84.34,0.00097
50,55.57,87.06,0.00099
20,38.60,84.81,0.00099
20,42.31,89.38,0.00099
40,60.94,85.68,0.00099
30,48.36,84.00,0.00099
20,49.94,86.72,0.00099
30,44.45,88.07,0.00099
20,51.45,86.97,0.00097
30,54.76,86.09,0.00099
10,40.75,80.78,0.00099
50,58.80,87.15,0.00099
10,37.86,86.12,0.00099
10,29.63,80.32,0.00099
50,61.41,86.01,0.00099
40,61.88,86.73,0.00097
40,49.33,87.57,0.00099
20,42.22,79.08,0.00099
50,56.61,86.87,0.00099
20,42.06,81.99,0.00099
10,35.34,84.21,0.00099
20,48.87,83.97,0.00099
30,56.58,87.83,0.00099
50,54.31,84.82,0.00099
10,32.51,81.91,0.00099
30,57.88,88.21,0.00099
30,58.21,89.49,0.00099
30,57.62,87.64,0.00097
10,36.72,83.90,0.00099
50,58.62,89.34,0.00099
20,61.15,88.16,0.00099
40,58.58,88.30,0.00099
10,38.65,84.14,0.00097
20,36.23,78.08,0.00099
30,52.49,85.30,0.00099
40,60.41,87.57,0.00099
20,38.91,82.49,0.00099
50,61.76,86.98,0.00099
10,46.47,86.61,0.00099
40,51.75,87.94,0.00099
50,57.02,83.75,0.00099
50,61.05,88.08,0.00099
40,49.43,85.34,0.00099
30,49.42,87.14,0.00099
40,58.96,86.75,0.00099
50,63.00,88.69,0.00099
10,40.65,69.61,0.00099
30,54.50,83.04,0.00099
10,32.42,80.69,0.00099
40,56.04,86.17,0.00099
40,57.62,86.84,0.00099
50,60.02,88.23,0.00099
10,31.20,79.97,0.00097
50,57.99,87.56,0.00099
10,44.24,70.75,0.00099
40,55.29,86.37,0.00099
20,52.92,87.17,0.00099
50,58.18,84.95,0.00099
20,52.75,83.29,0.00099
30,46.91,87.88,0.00099
20,41.27,87.36,0.00099
30,49.08,84.60,0.00099
30,52.95,86.15,0.00099
20,44.96,81.90,0.00099
50,53.98,86.18,0.00099
20,39.54,80.73,0.00099
10,29.79,72.68,0.00099
20,41.45,86.46,0.00099
40,54.71,85.79,0.00099
40,59.86,88.34,0.00099
40,58.65,87.81,0.00097
20,50.49,82.80,0.00099
20,49.94,84.42,0.00099
30,47.72,87.24,0.00099
40,54.20,85.68,0.00099
10,36.21,71.22,0.00096
20,45.12,82.15,0.00099
20,51.81,85.48,0.00099
50,62.69,86.32,0.00099
10,38.24,80.48,0.00099
10,35.26,84.15,0.00099
40,51.98,86.66,0.00099
10,25.28,80.29,0.00099
30,45.92,86.18,0.00099
30,52.53,88.98,0.00099
20,51.46,87.09,0.00099
30,59.80,83.13,0.00099
10,23.57,81.11,0.00099
40,65.53,90.37,0.00099
50,57.70,84.63,0.00099
30,53.94,85.15,0.00099
50,57.63,87.29,0.00099
10,25.71,73.07,0.00099
10,40.46,73.87,0.00099
30,36.31,85.08,0.00099
30,59.56,86.64,0.00097
20,43.09,76.26,0.00099
50,61.61,86.27,0.00099
20,44.30,85.74,0.00097
10,32.09,79.76,0.00099
30,62.48,87.76,0.00099
50,52.62,85.77,0.00099
50,59.53,88.46,0.00097
10,38.35,81.45,0.00099
20,40.48,81.90,0.00099
50,56.43,88.76,0.00099
40,61.90,84.97,0.00099
40,54.94,84.79,0.00099
30,54.52,84.59,0.00099
20,45.56,82.41,0.00099
50,66.01,88.44,0.00099
10,27.17,74.51,0.00099
30,58.35,86.29,0.00099
50,63.22,90.38,0.00099
20,48.59,81.94,0.00099
40,61.15,80.46,0.00097
40,51.73,88.11,0.00099
40,52.00,87.72,0.00099
40,54.84,86.83,0.00099
20,51.33,86.70,0.00099
30,47.69,88.07,0.00099
30,54.10,85.85,0.00099
40,57.50,88.01,0.00099
50,57.25,88.29,0.00097
50,55.08,88.48,0.00099
10,20.84,76.34,0.00099
50,59.31,88.98,0.00099
