Number of labels,Accuracy,Accuracy with class priors,Class priors error
40,91.99,95.73,0.00099
10,66.30,94.88,0.00099
10,56.72,90.59,0.00099
50,91.77,95.25,0.00099
10,71.36,94.92,0.00099
30,83.48,94.01,0.00099
10,68.84,93.94,0.00099
40,87.60,96.15,0.00099
50,90.60,95.76,0.00099
20,86.95,95.58,0.00099
40,87.62,96.06,0.00099
20,79.81,96.08,0.00099
30,86.11,95.33,0.00099
20,78.13,93.58,0.00099
40,90.45,96.22,0.00099
30,90.37,95.74,0.00099
20,82.94,93.18,0.00097
50,90.90,96.15,0.00099
50,89.64,95.54,0.00099
30,82.30,94.63,0.00099
10,60.78,84.14,0.00099
20,84.37,95.73,0.00099
20,85.04,95.16,0.00099
30,76.71,90.03,0.00099
40,91.55,96.12,0.00099
30,82.64,94.77,0.00099
40,84.97,95.51,0.00099
50,89.61,95.72,0.00099
10,71.00,92.29,0.00097
10,65.70,94.22,0.00099
20,68.90,94.15,0.00099
50,91.05,96.15,0.00099
50,89.07,95.73,0.00099
30,87.82,95.61,0.00099
50,89.49,96.40,0.00099
40,83.49,95.03,0.00099
40,90.12,95.87,0.00099
10,56.29,92.61,0.00099
20,76.50,93.61,0.00099
10,76.61,94.91,0.00099
30,81.78,95.22,0.00099
20,81.43,94.45,0.00099
40,79.83,87.47,0.00099
20,77.94,93.92,0.00099
30,77.64,94.85,0.00099
50,83.79,95.22,0.00099
30,89.74,96.25,0.00099
50,91.47,96.02,0.00099
20,78.03,88.22,0.00099
40,88.92,95.96,0.00099
10,65.61,77.85,0.00099
50,88.88,95.85,0.00099
40,84.00,94.79,0.00099
50,87.91,94.63,0.00099
10,56.03,90.40,0.00099
20,77.56,95.01,0.00099
30,84.97,95.09,0.00099
30,81.89,96.14,0.00099
10,64.01,93.43,0.00099
10,79.12,93.35,0.00099
20,67.05,94.13,0.00099
10,51.43,94.00,0.00099
40,90.89,95.96,0.00099
30,79.58,93.25,0.00099
30,88.27,93.74,0.00099
20,79.60,94.46,0.00099
30,82.66,92.00,0.00099
40,85.44,93.99,0.00099
10,74.02,94.58,0.00099
10,65.64,95.34,0.00099
50,92.78,95.86,0.00099
30,85.95,92.68,0.00099
40,88.25,95.31,0.00099
50,86.45,91.90,0.00099
20,82.34,95.70,0.00099
20,82.37,93.13,0.00099
50,93.70,96.11,0.00099
20,83.82,95.06,0.00099
50,91.55,96.23,0.00099
50,93.49,96.16,0.00097
40,89.91,95.95,0.00099
30,81.09,92.19,0.00099
50,90.62,94.89,0.00099
40,92.05,95.94,0.00099
10,75.73,94.95,0.00099
10,67.13,94.14,0.00099
20,75.91,94.77,0.00097
30,82.73,95.13,0.00099
40,84.91,95.46,0.00099
40,89.78,96.20,0.00097
50,91.75,96.28,0.00099
30,87.08,95.42,0.00099
10,65.28,94.16,0.00099
10,75.47,94.28,0.00099
40,91.43,95.61,0.00099
10,74.63,93.79,0.00099
40,91.85,95.45,0.00099
20,80.56,94.68,0.00099
20,82.13,94.79,0.00099
30,88.48,95.35,0.00099
10,62.94,93.25,0.00099
40,89.50,95.46,0.00097
20,80.10,94.11,0.00099
20,71.81,95.17,0.00099
50,88.24,95.83,0.00099
30,86.82,96.15,0.00099
10,70.54,93.18,0.00099
40,84.44,95.88,0.00099
30,73.73,89.41,0.00099
10,70.69,84.06,0.00099
50,90.01,95.40,0.00099
40,88.49,95.53,0.00099
50,90.32,95.55,0.00099
30,86.04,94.58,0.00099
50,89.35,94.04,0.00099
20,82.19,94.09,0.00099
30,92.01,96.32,0.00099
20,76.87,94.13,0.00099
40,83.18,93.90,0.00099
30,87.73,93.72,0.00099
10,65.93,94.40,0.00099
50,86.19,95.35,0.00099
20,84.63,95.09,0.00099
30,90.83,96.42,0.00099
50,93.48,95.61,0.00099
20,72.54,93.60,0.00099
40,87.10,95.70,0.00099
10,70.49,90.71,0.00099
50,84.10,94.64,0.00099
20,68.74,93.36,0.00099
10,68.59,94.50,0.00099
20,79.40,92.95,0.00099
30,79.80,92.96,0.00099
50,91.96,95.98,0.00099
10,65.56,93.41,0.00099
50,85.74,91.58,0.00099
30,74.82,93.62,0.00099
40,89.28,96.38,0.00099
40,91.78,96.11,0.00099
40,85.38,95.75,0.00099
30,81.75,95.79,0.00099
50,92.01,95.36,0.00099
20,89.73,95.62,0.00099
