Number of labels,Accuracy,Accuracy with class priors,Class priors error
50,67.54,86.26,0.00099
30,63.45,88.21,0.00099
10,45.55,84.79,0.00099
20,59.02,85.08,0.00099
10,45.10,83.55,0.00099
10,37.40,63.84,0.00099
50,68.87,89.99,0.00099
20,60.59,89.56,0.00099
50,62.58,87.10,0.00099
40,60.61,88.83,0.00099
30,59.54,88.70,0.00099
30,63.45,86.57,0.00099
20,58.99,89.80,0.00097
40,68.71,88.25,0.00099
40,61.99,87.59,0.00099
30,57.50,88.03,0.00099
50,68.01,90.03,0.00099
40,62.40,89.48,0.00099
30,54.90,84.85,0.00099
10,51.97,80.42,0.00099
20,57.46,89.68,0.00099
50,71.91,89.68,0.00099
10,36.84,88.27,0.00099
20,54.19,81.42,0.00096
20,40.08,86.59,0.00099
20,44.11,77.98,0.00099
10,42.43,89.08,0.00097
40,59.57,88.09,0.00099
40,63.96,86.28,0.00099
50,65.22,88.74,0.00099
10,50.35,84.99,0.00099
10,31.93,78.60,0.00099
50,63.85,90.94,0.00099
40,58.96,90.92,0.00099
40,57.55,85.37,0.00099
20,53.84,84.79,0.00097
10,32.44,72.07,0.00099
30,61.40,90.31,0.00099
50,67.64,90.56,0.00099
30,54.95,89.23,0.00099
30,48.50,86.10,0.00099
30,53.22,88.41,0.00099
50,64.51,88.64,0.00099
20,53.02,82.72,0.00099
20,49.01,88.18,0.00099
40,63.88,90.66,0.00099
40,62.33,88.56,0.00099
20,49.63,78.82,0.00099
20,50.08,83.30,0.00099
50,66.93,88.69,0.00099
50,67.72,90.09,0.00099
50,67.38,89.33,0.00099
10,42.52,78.36,0.00099
40,64.03,88.41,0.00099
10,33.61,73.23,0.00099
30,57.88,89.46,0.00099
10,19.19,80.81,0.00099
30,55.79,89.87,0.00099
30,54.78,86.98,0.00099
40,53.66,88.25,0.00099
