Number of labels,Accuracy
10,65.90
50,71.37
10,56.58
40,70.29
20,64.50
20,62.50
30,68.00
30,72.50
10,61.79
30,65.89
40,72.55
50,70.89
10,66.05
20,62.45
10,59.61
40,70.44
30,70.27
40,75.91
50,70.70
20,61.28
50,67.78
20,63.46
40,69.78
30,70.95
50,72.44
40,74.75
10,63.69
10,57.81
20,64.91
30,70.79
10,59.02
20,62.32
30,70.31
20,65.43
20,57.51
40,71.43
30,68.45
10,55.71
10,61.19
50,73.80
50,72.02
30,59.42
10,59.14
50,72.82
40,70.16
50,69.90
50,71.31
40,70.22
20,64.59
30,69.26
40,65.28
50,73.97
30,70.43
20,65.14
10,57.55
10,61.43
20,70.07
40,73.81
30,66.14
50,70.63
40,71.04
40,66.52
20,72.26
30,65.22
10,56.62
50,71.15
20,68.31
10,62.19
20,65.48
50,72.16
50,72.23
30,66.43
10,57.25
40,70.22
30,69.24
40,69.66
30,68.36
10,62.46
20,60.79
20,69.41
10,62.69
50,73.55
10,65.12
40,73.06
50,74.66
30,63.83
20,65.47
30,73.34
20,65.19
40,70.21
50,74.24
10,60.59
50,71.85
40,68.10
40,67.55
10,61.58
30,64.23
30,69.39
30,70.82
20,69.41
20,63.07
20,62.51
40,72.11
50,72.80
10,51.12
20,68.90
50,68.49
40,72.40
30,65.98
30,68.24
40,67.64
10,61.49
20,58.25
10,61.36
50,73.11
40,67.14
20,64.39
30,70.38
40,72.10
10,61.90
40,71.33
50,70.94
30,66.85
50,72.05
20,62.71
30,67.35
10,59.84
50,64.23
40,68.29
30,68.95
50,70.70
10,62.68
20,61.12
40,70.59
30,67.62
10,64.28
10,51.32
50,70.80
20,67.24
50,70.43
40,71.14
10,52.53
40,66.85
20,66.63
50,64.61
30,70.55
10,60.20
10,59.54
40,70.89
30,67.07
30,69.03
50,71.10
20,66.41
40,71.68
20,68.51
20,62.03
50,70.78
10,63.08
50,73.75
30,69.72
20,69.46
40,72.43
20,66.16
50,73.51
40,69.26
30,66.23
10,64.16
10,62.96
10,59.43
40,69.48
50,74.28
30,67.15
30,67.36
20,66.66
10,60.50
30,72.18
20,71.66
20,63.39
40,67.47
40,69.59
30,72.19
50,67.77
40,70.70
10,61.08
20,69.69
10,56.21
40,73.50
50,71.84
10,62.42
50,70.05
40,71.34
50,73.79
30,67.17
50,71.98
30,70.30
20,67.18
50,70.88
30,71.73
20,68.66
10,65.58
30,69.57
40,70.30
10,63.64
20,63.10
50,69.54
50,73.15
40,70.11
30,71.38
10,68.07
20,69.11
40,72.59
10,69.36
50,69.49
30,66.09
50,73.33
40,67.56
20,67.15
10,63.50
20,61.99
20,71.86
30,69.00
30,69.20
40,74.14
10,62.13
20,63.57
50,70.71
20,61.25
10,65.29
30,70.53
40,69.82
30,68.87
40,67.58
40,70.91
50,75.19
10,52.11
50,71.35
20,68.68
40,70.96
30,67.60
50,71.21
10,63.72
50,69.47
20,60.25
30,72.49
20,59.01
50,67.83
50,73.90
40,71.96
10,50.52
10,60.96
30,72.28
40,70.87
40,72.90
20,63.69
20,68.03
30,68.95
10,60.60
10,49.69
50,70.26
30,71.58
20,65.48
20,68.10
40,68.98
10,61.76
30,72.72
50,75.95
50,74.82
20,69.59
30,67.98
20,64.89
40,70.64
50,70.86
20,63.70
10,58.15
30,69.54
40,66.82
30,70.26
10,64.45
40,72.01
20,69.56
50,69.42
50,72.24
10,59.98
40,65.88
40,71.06
30,71.91
30,66.65
10,50.92
30,68.17
50,69.24
50,72.86
20,66.24
50,71.44
10,62.90
10,63.16
40,69.31
20,66.63
40,70.85
10,63.02
10,60.32
10,68.49
40,73.67
30,67.37
40,69.72
50,71.98
20,62.74
10,58.26
50,70.47
30,69.74
40,66.31
50,73.68
50,66.05
20,63.67
10,68.22
