Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,74.95,87.79,0.00099
40,93.62,94.90,0.00099
10,86.12,93.92,0.00099
20,90.99,93.74,0.00099
10,81.86,92.48,0.00097
10,81.52,93.37,0.00099
40,92.73,95.58,0.00099
30,93.13,95.27,0.00099
20,87.90,95.37,0.00099
30,87.87,92.67,0.00099
40,92.24,95.37,0.00099
20,86.87,91.23,0.00099
30,92.14,94.70,0.00099
50,94.32,95.56,0.00099
40,93.73,95.51,0.00099
50,92.73,95.03,0.00099
30,89.21,94.25,0.00099
50,94.37,95.80,0.00099
20,88.80,93.15,0.00099
50,92.68,95.49,0.00099
10,78.75,83.07,0.00099
10,77.03,92.30,0.00099
30,84.92,89.53,0.00099
40,93.18,95.17,0.00099
20,91.34,94.96,0.00099
20,84.58,92.14,0.00099
50,94.21,95.58,0.00099
40,90.14,94.31,0.00099
30,92.14,94.51,0.00099
10,82.21,90.14,0.00099
50,92.88,95.18,0.00099
10,71.86,88.58,0.00099
20,87.50,92.90,0.00099
30,90.82,94.42,0.00099
30,89.48,94.23,0.00099
40,90.08,94.01,0.00099
50,91.35,95.03,0.00099
20,92.55,95.33,0.00099
50,92.57,95.97,0.00099
40,92.85,94.58,0.00099
10,85.98,93.37,0.00099
20,87.65,93.39,0.00099
20,87.32,92.73,0.00099
30,87.49,93.19,0.00099
10,71.41,87.31,0.00097
40,85.72,88.65,0.00099
40,92.38,94.95,0.00099
10,78.34,90.94,0.00099
30,94.10,95.56,0.00099
50,89.95,94.87,0.00099
10,73.86,91.44,0.00099
10,72.66,75.51,0.00099
20,85.19,91.02,0.00099
10,87.51,90.42,0.00099
20,86.39,93.34,0.00099
40,89.98,93.83,0.00097
50,93.97,95.64,0.00099
20,90.37,94.44,0.00099
50,92.70,95.23,0.00099
30,90.71,93.89,0.00099
30,91.04,95.37,0.00099
30,92.17,93.27,0.00099
20,86.64,93.35,0.00099
40,90.54,94.31,0.00099
20,80.27,91.79,0.00097
30,87.10,92.91,0.00099
10,82.71,91.69,0.00099
50,90.52,93.49,0.00099
50,89.06,91.46,0.00099
10,83.51,92.02,0.00099
40,92.47,95.00,0.00099
50,95.16,95.71,0.00099
30,89.69,92.67,0.00099
40,90.10,92.97,0.00099
30,90.57,92.98,0.00099
20,89.43,93.34,0.00099
50,94.56,95.65,0.00097
40,93.62,95.61,0.00099
10,86.70,93.89,0.00099
20,88.93,92.59,0.00099
50,93.93,95.85,0.00099
30,85.51,90.67,0.00099
10,80.28,92.05,0.00097
50,94.63,95.37,0.00099
40,94.06,95.24,0.00099
10,80.63,91.43,0.00099
40,91.48,94.44,0.00099
50,93.35,94.48,0.00099
20,84.40,92.63,0.00099
30,91.22,94.28,0.00099
30,90.08,94.54,0.00099
20,90.82,93.06,0.00099
40,92.70,95.47,0.00099
10,86.91,92.85,0.00099
10,72.99,90.74,0.00099
50,93.73,95.62,0.00099
40,93.21,94.98,0.00099
40,93.81,94.93,0.00099
20,89.04,92.83,0.00099
20,85.99,93.88,0.00099
30,91.31,93.94,0.00096
10,85.52,91.51,0.00099
40,92.90,94.82,0.00099
30,92.64,95.64,0.00099
50,92.73,94.22,0.00097
20,87.34,92.53,0.00099
40,90.49,95.46,0.00099
10,82.85,90.85,0.00099
20,86.04,94.14,0.00099
50,91.93,95.34,0.00099
10,79.64,84.11,0.00097
30,82.86,89.60,0.00099
50,91.10,93.05,0.00099
40,92.37,94.87,0.00099
50,93.31,95.19,0.00099
20,89.46,93.03,0.00099
10,83.71,92.20,0.00099
30,94.58,95.76,0.00099
40,90.93,93.04,0.00099
50,92.01,94.91,0.00099
30,90.28,93.64,0.00099
20,92.30,94.12,0.00099
40,91.37,95.19,0.00099
30,91.91,93.91,0.00099
30,94.17,96.00,0.00099
10,83.22,92.85,0.00099
50,94.22,94.77,0.00099
10,82.38,89.32,0.00099
50,88.56,93.23,0.00099
10,78.47,90.96,0.00099
30,87.53,92.48,0.00097
40,93.92,95.89,0.00099
20,84.52,92.47,0.00097
40,92.03,95.16,0.00099
20,86.51,92.52,0.00097
10,79.28,89.55,0.00099
20,80.76,91.62,0.00099
20,89.61,91.67,0.00099
50,93.08,94.11,0.00099
30,83.01,91.33,0.00099
50,88.21,90.54,0.00099
40,92.38,96.04,0.00099
30,89.81,94.42,0.00099
30,91.48,94.21,0.00099
10,76.72,83.73,0.00099
50,94.00,95.52,0.00099
20,93.20,95.37,0.00099
40,92.97,94.98,0.00099
10,79.76,91.13,0.00099
40,91.03,95.23,0.00099
40,93.04,94.98,0.00099
40,92.76,94.96,0.00099
20,82.98,91.29,0.00099
50,93.28,95.71,0.00096
10,88.88,93.51,0.00099
50,91.84,94.56,0.00099
20,92.98,94.66,0.00099
30,92.05,94.72,0.00099
10,76.16,90.68,0.00097
20,88.60,90.31,0.00099
10,79.49,77.12,0.00099
20,89.05,92.80,0.00099
30,89.30,92.47,0.00097
40,93.29,94.67,0.00099
40,92.89,95.09,0.00097
50,93.61,94.73,0.00099
40,90.75,94.31,0.00099
30,90.73,94.54,0.00099
10,79.81,92.48,0.00099
