Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,34.80,33.08,0.00098
30,39.36,39.41,0.00098
20,36.82,37.47,0.00098
50,41.48,41.54,0.00095
30,40.70,39.56,0.00098
40,38.93,39.84,0.00097
50,42.05,41.27,0.00098
40,42.37,43.77,0.00095
20,32.82,32.19,0.00097
20,35.61,37.38,0.00098
10,26.58,30.51,0.00098
40,40.04,39.18,0.00097
10,36.36,38.79,0.00098
40,36.91,37.14,0.00095
50,38.01,38.49,0.00098
30,41.81,42.22,0.00097
10,30.33,32.78,0.00098
20,32.64,35.14,0.00098
50,46.35,46.44,0.00098
20,37.96,38.57,0.00095
10,32.35,34.51,0.00097
30,35.24,37.42,0.00097
30,42.89,43.19,0.00098
20,27.51,29.67,0.00098
40,39.12,39.94,0.00092
50,37.22,37.08,0.00093
10,20.36,23.44,0.00098
10,32.52,34.76,0.00095
40,38.78,39.20,0.00097
50,40.08,40.16,0.00097
20,34.19,32.76,0.00097
30,37.35,38.52,0.00098
10,25.26,29.68,0.00098
40,41.06,41.75,0.00097
20,40.20,45.27,0.00098
30,39.75,38.66,0.00097
30,37.88,39.10,0.00095
10,24.84,24.17,0.00097
50,41.06,41.80,0.00097
40,40.32,40.34,0.00097
30,35.22,35.69,0.00097
40,43.17,44.13,0.00098
30,38.96,38.31,0.00098
50,44.46,44.53,0.00098
20,34.55,33.95,0.00097
50,38.26,39.39,0.00097
20,39.21,40.27,0.00095
30,34.41,35.84,0.00095
10,36.92,38.23,0.00097
10,27.58,24.04,0.00098
50,37.08,37.62,0.00097
40,36.58,35.57,0.00097
40,40.27,40.14,0.00098
50,38.84,39.54,0.00097
20,34.10,39.75,0.00098
10,30.97,30.13,0.00098
40,37.74,36.20,0.00098
10,29.34,31.41,0.00095
30,32.83,35.03,0.00098
40,35.87,36.44,0.00098
20,39.16,39.90,0.00098
30,38.49,38.54,0.00095
50,42.82,42.60,0.00098
30,37.20,37.00,0.00098
10,31.54,32.84,0.00098
40,39.82,40.45,0.00097
20,30.95,29.24,0.00097
50,37.38,37.67,0.00098
30,32.56,33.77,0.00098
50,37.89,37.93,0.00097
20,36.47,37.84,0.00098
30,40.22,38.79,0.00097
50,41.92,42.36,0.00098
40,38.14,38.37,0.00098
10,31.28,30.19,0.00098
10,34.35,38.12,0.00098
30,37.51,36.71,0.00097
50,33.49,33.20,0.00095
20,32.15,32.77,0.00097
20,38.07,40.11,0.00097
10,33.40,36.47,0.00097
40,39.51,41.69,0.00095
40,34.90,36.51,0.00095
50,38.72,38.29,0.00092
50,44.66,44.17,0.00095
40,37.34,37.85,0.00097
30,37.13,40.04,0.00097
10,28.50,28.73,0.00093
20,35.28,41.30,0.00097
20,27.17,27.30,0.00098
10,29.84,32.19,0.00095
40,41.01,39.81,0.00093
40,38.84,39.38,0.00098
30,35.23,34.77,0.00098
20,35.20,31.73,0.00097
20,37.09,36.82,0.00095
40,37.85,38.85,0.00098
50,41.54,41.93,0.00098
10,31.70,34.15,0.00095
10,37.39,38.76,0.00097
50,37.69,38.72,0.00095
30,39.41,40.37,0.00098
30,40.59,41.65,0.00097
20,31.35,31.51,0.00095
10,29.78,28.80,0.00097
50,41.17,40.77,0.00097
30,36.73,36.43,0.00098
50,39.68,39.19,0.00098
30,32.09,31.75,0.00097
10,27.21,26.90,0.00098
50,41.35,41.18,0.00098
20,35.44,37.67,0.00098
20,34.82,32.98,0.00095
40,39.97,40.04,0.00097
40,39.14,40.36,0.00095
30,34.97,35.51,0.00095
50,34.19,33.32,0.00092
20,28.35,26.98,0.00098
10,26.66,26.97,0.00095
30,36.58,39.62,0.00098
20,30.17,31.09,0.00098
40,39.56,40.90,0.00098
10,34.67,35.38,0.00098
40,42.41,40.51,0.00097
50,42.44,43.08,0.00095
40,36.91,36.54,0.00092
30,37.06,36.26,0.00095
30,37.01,41.32,0.00098
40,35.17,34.74,0.00097
50,40.59,39.90,0.00097
10,31.75,31.71,0.00093
10,31.95,33.85,0.00098
30,34.47,33.00,0.00097
20,32.65,32.50,0.00095
40,41.19,40.14,0.00098
20,36.06,37.84,0.00098
40,42.81,42.34,0.00097
10,23.57,27.14,0.00098
50,42.74,42.22,0.00098
50,41.13,41.59,0.00095
30,40.10,38.87,0.00097
20,33.60,33.57,0.00095
30,34.66,35.28,0.00097
40,42.14,43.45,0.00095
50,41.71,40.64,0.00098
10,23.48,26.87,0.00097
20,33.63,37.19,0.00098
10,25.68,23.81,0.00093
10,31.65,28.69,0.00098
40,42.28,42.27,0.00097
20,35.79,35.07,0.00097
10,35.39,36.62,0.00097
50,42.26,40.06,0.00098
10,33.60,33.03,0.00093
30,34.50,34.62,0.00098
20,39.61,39.42,0.00097
20,26.15,25.77,0.00097
30,35.68,35.43,0.00097
50,38.86,39.88,0.00098
50,44.28,44.47,0.00093
10,26.34,29.93,0.00098
40,39.41,38.57,0.00098
20,31.83,30.72,0.00098
30,36.31,36.95,0.00098
50,40.72,41.00,0.00098
40,33.89,33.02,0.00093
10,24.83,23.76,0.00098
30,35.73,35.87,0.00098
50,39.67,38.32,0.00098
40,33.77,34.61,0.00063
10,26.85,27.17,0.00098
20,28.17,29.70,0.00095
20,34.94,35.72,0.00098
30,33.79,36.47,0.00098
40,41.09,41.76,0.00095
50,41.95,42.45,0.00098
30,36.60,38.22,0.00098
40,39.44,37.86,0.00095
10,33.84,31.91,0.00098
10,27.47,27.97,0.00097
30,35.74,35.78,0.00098
20,38.46,38.68,0.00098
50,39.24,38.78,0.00098
50,40.34,40.19,0.00095
30,40.23,41.16,0.00095
30,36.00,35.00,0.00095
10,37.59,39.17,0.00098
20,39.83,40.11,0.00098
40,36.84,38.06,0.00097
20,28.89,30.94,0.00095
40,36.36,35.83,0.00092
50,39.06,41.13,0.00097
40,38.94,39.32,0.00095
10,27.26,27.58,0.00098
50,38.25,38.60,0.00098
50,43.60,44.48,0.00097
10,30.81,32.58,0.00093
20,39.47,37.86,0.00097
30,35.56,38.91,0.00097
30,41.95,41.87,0.00097
40,39.43,40.39,0.00095
40,39.94,40.26,0.00097
10,30.90,32.29,0.00098
50,41.97,41.84,0.00098
30,35.07,36.94,0.00097
20,36.94,35.29,0.00098
40,38.05,37.91,0.00097
10,26.55,29.23,0.00097
50,40.23,39.43,0.00095
20,26.29,27.44,0.00097
20,37.41,39.22,0.00087
30,43.76,43.53,0.00095
10,29.92,29.58,0.00097
40,41.09,41.64,0.00098
20,36.94,36.75,0.00095
50,39.45,38.35,0.00098
10,36.21,36.31,0.00097
50,37.98,39.58,0.00092
30,38.33,40.27,0.00097
20,35.48,35.19,0.00087
40,38.65,38.75,0.00097
50,40.77,41.85,0.00097
40,40.89,41.20,0.00093
10,26.82,28.15,0.00098
40,40.69,41.46,0.00098
30,41.22,40.93,0.00097
30,36.48,37.25,0.00097
40,40.64,39.96,0.00098
50,38.19,37.18,0.00097
10,26.85,26.50,0.00098
20,37.29,38.25,0.00092
40,40.38,40.80,0.00093
20,28.47,27.57,0.00095
20,33.42,34.69,0.00097
20,31.93,30.59,0.00092
30,42.82,44.63,0.00098
30,33.44,36.01,0.00098
10,32.91,35.31,0.00098
50,35.44,35.72,0.00097
50,42.62,41.03,0.00098
50,41.02,40.10,0.00098
10,31.38,35.89,0.00098
40,37.95,36.90,0.00098
20,26.13,28.86,0.00098
30,39.19,39.04,0.00097
40,39.06,39.26,0.00098
10,33.28,34.44,0.00097
10,40.68,40.33,0.00098
20,42.51,42.94,0.00098
30,35.60,36.61,0.00098
40,42.50,43.10,0.00097
40,40.63,40.93,0.00098
50,35.90,36.02,0.00093
50,41.93,41.23,0.00097
20,38.14,37.31,0.00095
10,35.05,36.99,0.00097
10,28.43,29.34,0.00093
20,28.72,28.45,0.00098
30,34.94,33.63,0.00098
30,41.60,42.99,0.00098
40,39.05,37.42,0.00098
30,40.77,42.69,0.00095
50,37.33,36.23,0.00098
10,28.01,28.55,0.00098
20,31.75,33.04,0.00098
50,38.74,37.50,0.00095
20,31.57,32.67,0.00098
40,37.70,38.35,0.00097
50,40.04,39.55,0.00098
30,40.91,42.20,0.00095
30,36.09,37.12,0.00097
20,36.30,37.15,0.00095
30,40.05,41.00,0.00095
10,30.02,30.19,0.00098
20,35.57,35.99,0.00098
40,42.12,41.62,0.00095
40,36.65,37.71,0.00098
10,29.32,30.95,0.00095
50,38.93,39.52,0.00098
50,42.11,42.81,0.00093
30,35.37,36.85,0.00098
40,37.16,35.95,0.00098
40,42.16,43.69,0.00097
10,27.19,26.70,0.00093
20,37.92,38.00,0.00093
50,40.63,41.77,0.00098
10,36.74,36.61,0.00098
20,35.24,34.46,0.00093
50,40.53,40.15,0.00098
30,34.61,34.74,0.00098
10,37.49,38.23,0.00098
10,34.33,38.58,0.00098
40,40.48,39.59,0.00098
40,41.79,42.19,0.00098
50,37.62,36.46,0.00098
30,36.66,39.87,0.00098
50,40.58,40.40,0.00098
20,38.07,38.40,0.00097
30,27.99,27.42,0.00098
10,30.27,33.84,0.00098
20,39.59,40.17,0.00095
50,39.59,39.60,0.00097
30,35.78,36.53,0.00098
40,35.10,35.38,0.00098
10,34.94,38.66,0.00098
