Number of labels,Accuracy,Accuracy with class priors,Class priors error
30,40.01,38.08,0.00095
30,38.84,38.87,0.00098
10,33.66,31.93,0.00097
40,38.71,40.24,0.00097
20,32.55,33.80,0.00098
10,30.57,32.58,0.00098
20,36.11,35.99,0.00097
30,41.00,41.51,0.00098
40,39.76,38.38,0.00095
10,24.26,28.47,0.00098
20,34.35,33.36,0.00093
50,40.36,39.65,0.00095
50,40.93,40.63,0.00063
40,42.60,44.28,0.00095
40,36.84,37.45,0.00098
50,44.84,44.66,0.00095
30,36.62,37.58,0.00098
10,37.82,39.97,0.00097
20,37.17,36.82,0.00092
20,36.12,36.87,0.00098
50,37.10,37.18,0.00097
10,31.96,34.04,0.00097
20,27.52,28.39,0.00098
10,35.72,36.09,0.00098
30,41.83,42.19,0.00097
40,38.09,37.85,0.00098
40,37.78,39.30,0.00093
10,23.44,27.01,0.00093
50,39.92,39.68,0.00098
10,20.09,21.37,0.00097
50,40.41,41.28,0.00098
20,33.82,32.12,0.00095
20,39.50,43.23,0.00098
40,41.42,41.15,0.00097
50,41.02,41.54,0.00098
20,28.36,33.62,0.00098
40,40.10,41.43,0.00098
30,39.37,38.45,0.00098
50,38.50,39.35,0.00097
10,24.63,24.08,0.00093
50,42.85,43.31,0.00097
30,37.44,37.28,0.00093
30,38.05,38.84,0.00098
20,34.59,34.26,0.00098
40,40.39,40.93,0.00095
30,34.82,34.46,0.00087
10,27.34,23.54,0.00095
20,38.60,39.17,0.00093
10,36.78,36.55,0.00098
50,37.40,37.70,0.00098
30,33.43,34.62,0.00098
10,30.20,30.54,0.00097
40,41.03,40.20,0.00098
40,34.62,35.56,0.00093
20,33.69,39.43,0.00098
30,32.47,35.47,0.00098
40,35.71,35.21,0.00097
40,38.30,36.16,0.00098
10,29.80,29.85,0.00098
50,39.65,40.11,0.00097
20,39.99,39.33,0.00097
30,37.60,36.95,0.00098
30,33.29,32.51,0.00098
30,37.89,37.99,0.00098
10,34.29,33.85,0.00098
40,37.76,38.03,0.00098
50,42.36,41.88,0.00098
50,39.14,38.50,0.00097
20,31.57,29.63,0.00098
50,40.66,41.57,0.00098
50,36.24,35.89,0.00098
40,40.04,40.69,0.00098
10,34.03,37.76,0.00098
10,35.54,33.12,0.00098
30,39.58,38.44,0.00097
20,34.58,36.08,0.00095
40,38.59,40.17,0.00098
20,36.46,38.26,0.00098
50,34.77,35.19,0.00098
20,31.49,31.93,0.00095
30,34.76,33.47,0.00097
40,36.30,37.53,0.00098
30,36.52,38.99,0.00097
40,36.70,36.17,0.00098
10,33.96,36.38,0.00097
