Number of labels,Accuracy,Accuracy with class priors,Class priors error
20,46.94,56.12,0.00097
50,56.58,60.23,0.00099
20,49.09,50.94,0.00099
30,50.90,59.24,0.00097
40,53.89,58.88,0.00099
10,49.46,61.11,0.00097
10,36.80,47.15,0.00099
30,52.93,57.41,0.00096
20,48.07,53.89,0.00099
40,57.76,62.46,0.00099
30,58.40,61.66,0.00099
10,46.31,50.98,0.00097
50,55.94,61.91,0.00099
30,51.19,57.99,0.00099
10,48.23,51.35,0.00099
20,43.60,50.32,0.00099
40,56.98,59.87,0.00097
40,59.05,63.35,0.00099
10,47.17,52.84,0.00097
50,60.08,61.43,0.00099
50,55.23,58.75,0.00099
40,53.48,59.46,0.00097
10,43.75,46.70,0.00096
20,52.82,56.27,0.00097
50,53.86,58.09,0.00097
30,56.80,61.62,0.00099
30,54.63,58.07,0.00099
10,46.25,48.03,0.00099
20,50.77,56.53,0.00099
50,59.08,62.66,0.00097
50,58.52,61.38,0.00099
40,52.52,61.51,0.00099
40,54.21,55.76,0.00099
30,50.82,56.06,0.00097
40,57.45,64.07,0.00099
30,51.14,57.13,0.00099
20,41.73,42.80,0.00097
10,47.96,49.42,0.00094
20,52.83,58.22,0.00097
10,44.15,52.13,0.00099
30,55.97,60.68,0.00099
50,54.58,60.01,0.00099
10,48.77,55.15,0.00099
50,60.65,63.30,0.00099
20,49.06,51.87,0.00099
10,44.70,48.61,0.00099
10,42.07,43.27,0.00094
40,52.49,57.56,0.00097
20,51.77,57.71,0.00096
30,53.55,56.74,0.00096
40,55.69,56.54,0.00097
50,61.06,62.96,0.00096
20,57.91,59.58,0.00093
50,62.89,63.36,0.00099
20,52.84,58.98,0.00099
20,43.03,52.87,0.00099
40,51.70,59.84,0.00099
30,49.83,52.33,0.00096
10,41.22,50.93,0.00099
50,56.08,59.24,0.00099
20,46.74,52.39,0.00097
40,54.91,57.30,0.00099
50,58.48,62.85,0.00096
10,29.65,45.13,0.00096
10,45.39,53.74,0.00096
30,49.75,52.39,0.00099
50,56.77,59.98,0.00097
40,52.98,55.63,0.00097
30,50.19,60.11,0.00099
40,57.18,61.36,0.00099
30,56.26,59.16,0.00099
10,46.15,44.41,0.00099
20,49.91,57.68,0.00097
30,49.05,52.47,0.00099
30,54.60,56.97,0.00099
40,60.51,63.15,0.00097
20,42.19,46.38,0.00099
10,44.32,52.97,0.00097
10,41.68,52.56,0.00096
50,55.30,59.71,0.00097
20,56.70,60.65,0.00099
30,48.87,50.40,0.00099
40,54.34,56.48,0.00099
10,49.15,57.92,0.00097
20,53.52,55.41,0.00099
50,55.77,59.41,0.00099
40,56.24,57.49,0.00096
30,57.05,62.75,0.00099
30,52.55,57.58,0.00094
30,46.45,52.48,0.00097
20,48.37,54.57,0.00099
20,52.41,59.61,0.00099
50,58.49,63.26,0.00099
50,60.43,64.20,0.00099
40,57.66,61.67,0.00093
40,58.22,61.61,0.00099
10,43.95,51.01,0.00099
40,49.64,54.12,0.00099
50,51.09,55.54,0.00097
10,46.15,54.35,0.00097
20,47.50,50.92,0.00096
30,52.13,55.84,0.00099
10,42.96,50.50,0.00099
50,54.87,58.87,0.00099
10,35.19,42.29,0.00099
50,59.22,63.27,0.00097
50,46.49,48.20,0.00099
50,53.47,58.39,0.00099
30,52.49,58.18,0.00099
30,52.23,58.58,0.00099
20,47.94,56.52,0.00099
20,51.02,52.44,0.00097
10,43.05,48.32,0.00099
30,51.61,55.40,0.00097
40,51.02,56.22,0.00099
10,40.25,45.85,0.00099
40,56.84,63.21,0.00099
40,56.73,60.23,0.00097
20,45.68,51.89,0.00099
50,57.93,60.99,0.00099
30,55.23,57.71,0.00099
20,43.92,52.22,0.00099
50,53.38,56.11,0.00099
30,54.42,55.14,0.00099
40,53.99,60.70,0.00099
20,43.25,50.12,0.00099
40,49.69,58.85,0.00099
20,46.43,46.89,0.00097
50,54.18,58.38,0.00099
10,33.88,50.18,0.00097
40,53.73,57.38,0.00099
10,33.50,42.56,0.00096
20,54.96,55.64,0.00097
10,38.67,49.94,0.00099
30,48.16,56.05,0.00099
40,55.50,57.84,0.00099
30,48.32,54.59,0.00097
20,54.05,59.76,0.00097
10,46.06,42.69,0.00097
40,53.62,55.45,0.00099
10,43.64,50.20,0.00099
30,50.79,58.00,0.00099
30,55.46,60.33,0.00096
40,52.88,55.74,0.00099
50,56.47,60.08,0.00099
20,52.79,56.35,0.00099
10,48.54,53.08,0.00096
50,56.78,58.74,0.00099
50,58.70,60.96,0.00096
50,58.12,59.95,0.00099
20,55.35,59.64,0.00097
10,36.31,49.00,0.00096
40,54.00,57.94,0.00097
40,52.39,56.47,0.00099
40,59.47,62.59,0.00099
30,57.20,59.11,0.00099
30,51.30,54.40,0.00097
10,47.92,55.58,0.00096
20,53.63,55.55,0.00099
30,58.32,61.50,0.00097
50,58.61,59.04,0.00096
40,51.89,57.22,0.00099
20,47.80,49.23,0.00087
20,48.65,53.72,0.00097
50,54.15,58.06,0.00099
50,59.98,62.98,0.00099
20,47.99,53.14,0.00099
40,51.35,56.67,0.00097
20,45.51,51.23,0.00099
30,51.14,55.05,0.00099
50,52.91,57.87,0.00099
10,42.09,52.79,0.00097
10,40.41,52.54,0.00099
10,44.80,51.53,0.00099
40,54.21,56.71,0.00099
50,55.24,61.35,0.00099
10,43.11,45.54,0.00099
50,57.57,64.22,0.00097
30,57.84,65.17,0.00097
50,58.39,63.08,0.00099
10,40.56,53.70,0.00094
20,50.84,56.03,0.00099
30,50.09,58.16,0.00097
30,51.32,57.65,0.00099
40,52.74,57.05,0.00099
40,53.06,55.95,0.00099
20,48.63,54.19,0.00097
50,55.50,59.81,0.00099
20,50.34,55.41,0.00099
10,46.34,50.90,0.00099
40,58.51,63.19,0.00097
50,57.02,62.67,0.00097
30,53.42,58.41,0.00099
10,40.10,49.91,0.00099
40,57.69,59.90,0.00099
30,55.62,57.49,0.00093
40,50.21,58.51,0.00099
30,51.38,57.25,0.00099
30,54.06,57.91,0.00099
20,47.09,54.48,0.00097
50,59.66,62.47,0.00099
20,49.54,52.26,0.00099
10,37.18,52.57,0.00099
10,56.48,59.70,0.00097
50,61.12,63.62,0.00096
30,58.01,61.57,0.00097
50,53.84,57.80,0.00097
20,51.58,57.34,0.00099
30,50.06,52.40,0.00097
40,58.90,61.18,0.00099
20,54.11,54.88,0.00099
40,53.20,55.69,0.00099
10,52.06,52.96,0.00099
40,55.07,59.38,0.00097
20,54.69,59.04,0.00097
10,41.92,53.39,0.00099
50,55.78,58.19,0.00099
10,47.68,56.05,0.00099
50,56.33,59.17,0.00099
30,53.20,59.92,0.00097
40,59.21,61.18,0.00099
20,50.93,58.14,0.00099
50,57.02,60.29,0.00097
50,55.54,61.45,0.00097
40,56.18,63.86,0.00099
10,50.74,54.62,0.00099
10,49.12,50.92,0.00099
20,44.28,54.30,0.00097
30,52.14,59.73,0.00099
40,53.98,58.52,0.00099
30,48.64,53.67,0.00099
40,57.40,59.59,0.00096
30,51.31,59.00,0.00096
30,52.87,57.86,0.00099
20,52.75,56.19,0.00097
10,40.56,55.57,0.00099
20,42.00,45.35,0.00099
20,44.78,51.35,0.00096
10,33.40,46.75,0.00097
10,33.72,47.06,0.00097
50,63.87,66.04,0.00099
20,47.39,54.74,0.00096
40,56.24,60.35,0.00099
30,49.44,52.94,0.00099
50,59.33,62.25,0.00099
