Number of labels,Accuracy,Accuracy with class priors,Class priors error
40,84.94,88.89,0.00100
30,89.33,91.07,0.00099
40,90.32,91.40,0.00099
50,92.85,93.35,0.00100
40,90.69,92.00,0.00096
50,89.85,91.28,0.00099
20,87.51,89.08,0.00099
20,86.34,88.25,0.00099
40,90.02,91.41,0.00097
50,90.04,92.25,0.00099
30,89.38,90.80,0.00099
10,84.23,84.85,0.00099
10,87.61,89.63,0.00100
30,86.78,89.07,0.00096
50,91.38,92.72,0.00100
30,87.06,89.57,0.00099
10,78.35,86.85,0.00096
20,90.47,91.52,0.00099
10,69.72,82.99,0.00099
20,84.32,85.91,0.00097
50,89.62,92.66,0.00100
40,89.18,90.54,0.00100
30,88.13,90.10,0.00099
10,85.53,88.00,0.00099
10,84.20,85.31,0.00099
20,89.67,91.28,0.00099
30,84.53,85.27,0.00097
30,89.93,91.04,0.00099
20,84.11,87.00,0.00097
40,89.44,90.21,0.00099
50,89.45,90.24,0.00099
50,90.80,92.54,0.00099
40,87.71,90.16,0.00100
50,91.52,92.55,0.00100
20,83.42,87.81,0.00099
40,86.63,86.93,0.00100
30,88.13,90.56,0.00099
20,92.11,93.40,0.00100
10,73.40,78.05,0.00099
10,77.79,86.43,0.00100
20,88.32,90.79,0.00099
30,88.20,88.90,0.00099
10,87.15,89.11,0.00100
40,89.34,89.70,0.00099
40,86.97,88.17,0.00096
50,91.06,92.68,0.00097
10,81.11,82.62,0.00099
20,87.98,91.07,0.00099
50,90.68,91.95,0.00099
40,90.92,92.16,0.00099
50,90.94,92.80,0.00100
40,89.62,90.97,0.00100
30,88.34,90.81,0.00100
10,78.22,80.83,0.00097
30,89.76,90.60,0.00099
20,86.98,89.13,0.00100
30,89.95,90.11,0.00100
50,90.27,90.86,0.00100
20,82.46,85.11,0.00097
10,72.13,82.50,0.00100
