Number of labels,Accuracy,Accuracy with class priors,Class priors error
30,43.18,54.66,0.00095
50,38.83,50.52,0.00098
10,23.25,39.79,0.00098
10,26.95,44.80,0.00097
10,30.19,40.00,0.00097
30,41.55,48.50,0.00098
20,42.69,51.75,0.00098
30,35.40,49.53,0.00097
50,45.53,57.06,0.00097
50,36.95,47.64,0.00097
20,39.26,49.59,0.00098
40,40.27,52.54,0.00098
50,39.66,49.91,0.00098
20,39.68,53.80,0.00097
40,39.03,50.67,0.00098
40,41.27,56.48,0.00097
30,46.61,56.05,0.00098
10,20.52,42.62,0.00095
40,40.34,49.71,0.00098
20,37.57,52.99,0.00098
10,27.72,46.99,0.00098
20,29.94,41.79,0.00098
50,43.22,50.55,0.00092
30,48.20,55.63,0.00095
20,33.09,47.73,0.00095
40,37.20,52.12,0.00097
30,37.35,47.42,0.00095
10,23.29,32.75,0.00098
50,40.54,49.60,0.00098
30,40.28,49.88,0.00098
40,34.95,50.73,0.00095
40,46.63,54.79,0.00093
10,17.84,44.55,0.00095
10,25.09,33.93,0.00097
50,38.94,47.18,0.00090
20,33.64,47.97,0.00095
30,35.45,51.23,0.00098
40,49.03,54.92,0.00095
50,38.35,53.41,0.00097
20,34.52,52.70,0.00098
20,31.44,38.18,0.00095
10,32.52,33.74,0.00095
20,34.65,46.45,0.00098
30,32.92,48.95,0.00098
30,31.36,48.51,0.00097
40,46.78,56.58,0.00097
50,51.27,57.55,0.00097
10,29.26,27.01,0.00093
50,38.64,46.18,0.00098
40,40.36,52.84,0.00097
40,36.41,55.52,0.00093
10,34.26,48.99,0.00097
20,30.23,48.48,0.00098
30,47.47,53.94,0.00098
10,16.56,38.07,0.00092
50,47.04,53.10,0.00098
20,30.20,45.84,0.00095
30,34.90,49.37,0.00098
40,33.07,42.76,0.00098
50,34.60,49.52,0.00095
20,35.78,53.52,0.00095
30,41.06,53.37,0.00095
30,36.94,49.56,0.00093
10,31.17,37.56,0.00093
50,36.99,54.90,0.00098
20,30.37,47.15,0.00098
40,39.54,48.28,0.00097
10,20.14,47.37,0.00095
50,39.09,48.15,0.00098
20,32.17,45.33,0.00092
10,34.73,49.16,0.00098
50,42.66,53.12,0.00097
40,47.12,57.90,0.00098
10,40.76,43.59,0.00098
40,40.59,50.58,0.00098
30,40.28,49.78,0.00098
40,35.18,49.55,0.00095
20,39.24,52.32,0.00098
30,22.05,48.57,0.00097
50,43.72,50.75,0.00098
30,34.70,50.06,0.00095
40,32.80,51.64,0.00098
20,38.12,50.72,0.00092
10,14.59,37.17,0.00098
10,27.77,44.86,0.00095
20,37.86,53.78,0.00097
50,52.96,58.16,0.00098
30,45.23,52.19,0.00098
40,38.65,49.54,0.00097
