Number of labels,Accuracy,Accuracy with class priors,Class priors error
40,42.03,42.63,0.00092
50,40.83,40.06,0.00098
50,40.23,39.94,0.00093
50,45.13,44.68,0.00097
40,36.63,36.54,0.00092
40,38.77,37.95,0.00097
30,40.08,39.05,0.00097
30,35.55,36.50,0.00098
40,37.10,37.55,0.00098
20,35.13,35.03,0.00093
30,41.37,41.35,0.00097
50,38.21,38.08,0.00098
20,33.51,33.78,0.00095
20,31.01,31.31,0.00097
20,35.54,35.11,0.00097
20,36.49,36.62,0.00098
40,38.90,38.42,0.00097
30,38.74,37.83,0.00098
10,32.74,32.07,0.00097
10,26.32,29.95,0.00098
30,41.19,40.97,0.00097
10,31.48,32.36,0.00098
40,38.01,38.72,0.00095
50,35.83,35.64,0.00095
50,39.97,39.46,0.00097
40,39.12,39.83,0.00085
10,32.55,33.60,0.00095
10,32.48,33.97,0.00097
30,37.45,36.48,0.00097
20,28.22,29.86,0.00095
30,37.94,37.55,0.00097
40,40.18,39.60,0.00095
10,37.09,37.37,0.00098
10,22.16,24.08,0.00097
50,40.70,40.16,0.00098
30,37.61,37.62,0.00098
20,32.87,32.54,0.00090
10,23.24,28.29,0.00090
50,42.80,42.90,0.00097
30,36.78,36.51,0.00095
20,41.19,44.14,0.00098
50,38.29,38.37,0.00095
50,36.00,35.47,0.00098
30,33.36,34.48,0.00098
20,32.95,33.08,0.00098
40,35.27,34.55,0.00097
30,34.66,33.66,0.00095
40,39.35,39.12,0.00093
40,43.11,42.69,0.00095
10,23.14,23.42,0.00098
50,42.31,41.82,0.00095
20,36.89,37.80,0.00098
30,32.47,33.29,0.00095
40,36.15,35.54,0.00093
20,33.21,37.00,0.00098
10,36.78,37.30,0.00092
50,36.80,37.65,0.00093
10,25.46,24.19,0.00097
20,27.85,31.33,0.00098
10,29.21,30.23,0.00097
