Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,52.90,63.72,0.00099
50,55.93,62.83,0.00099
10,43.90,65.31,0.00099
40,50.66,62.46,0.00099
30,52.66,67.57,0.00097
40,60.70,70.50,0.00099
20,55.30,66.29,0.00099
40,54.54,68.40,0.00099
50,60.75,66.63,0.00099
10,53.78,69.45,0.00099
30,51.93,68.87,0.00097
20,53.70,61.51,0.00099
40,59.12,64.94,0.00099
50,59.72,68.23,0.00097
30,56.52,63.89,0.00099
20,52.52,66.68,0.00097
50,62.75,67.82,0.00099
10,58.81,62.33,0.00097
10,55.65,61.70,0.00096
40,62.22,69.30,0.00097
20,44.33,59.45,0.00099
50,62.89,69.67,0.00099
40,57.28,64.24,0.00099
10,40.18,63.42,0.00099
30,56.17,65.41,0.00099
30,56.98,62.58,0.00099
20,55.04,62.41,0.00099
40,62.72,68.27,0.00099
50,58.40,67.97,0.00099
10,32.13,55.74,0.00096
20,46.83,47.79,0.00097
30,51.14,60.14,0.00099
20,50.19,58.84,0.00097
10,33.34,55.07,0.00099
40,64.78,69.94,0.00099
50,61.49,68.29,0.00097
30,49.41,59.02,0.00097
50,66.17,71.62,0.00099
10,48.20,57.86,0.00097
40,60.75,63.52,0.00099
20,50.27,62.25,0.00097
40,64.34,68.80,0.00099
20,58.29,63.40,0.00099
30,58.41,62.92,0.00099
10,39.31,48.28,0.00099
50,59.23,64.48,0.00099
30,53.01,68.74,0.00099
40,60.04,66.33,0.00099
50,59.68,68.80,0.00099
20,52.62,59.08,0.00099
10,34.06,60.86,0.00099
30,62.13,71.99,0.00097
40,52.30,68.02,0.00099
50,60.87,71.77,0.00099
10,45.10,60.95,0.00097
40,50.39,57.21,0.00099
20,54.71,67.09,0.00099
30,58.82,60.52,0.00099
50,62.17,72.25,0.00099
20,47.69,67.76,0.00097
50,57.64,65.24,0.00099
10,51.26,59.82,0.00099
40,61.56,70.78,0.00097
40,54.36,65.68,0.00097
30,60.61,65.76,0.00097
20,47.07,58.43,0.00099
30,51.51,61.65,0.00099
50,62.29,66.13,0.00099
10,48.37,58.04,0.00099
20,54.09,62.14,0.00099
40,60.80,63.51,0.00099
30,56.08,65.65,0.00099
10,43.27,47.90,0.00099
50,60.17,67.39,0.00099
10,39.97,59.47,0.00099
40,65.08,68.62,0.00099
20,55.39,59.31,0.00099
30,61.01,68.80,0.00099
50,55.69,64.07,0.00099
20,58.85,64.69,0.00099
40,62.79,71.16,0.00096
10,48.61,57.13,0.00097
10,37.19,56.59,0.00099
30,57.22,70.30,0.00099
50,55.66,64.20,0.00099
20,44.86,60.91,0.00097
40,57.32,63.11,0.00099
30,58.15,64.65,0.00099
50,63.86,72.37,0.00099
10,43.91,62.23,0.00097
40,55.07,63.49,0.00099
20,46.16,58.51,0.00097
30,58.06,66.61,0.00099
50,67.94,73.18,0.00099
30,61.12,68.51,0.00099
10,50.50,67.74,0.00096
50,62.59,65.01,0.00097
20,53.29,59.57,0.00097
40,57.85,60.79,0.00099
10,51.01,64.07,0.00099
40,54.73,64.66,0.00096
50,61.89,65.15,0.00099
20,51.04,60.85,0.00099
20,49.06,55.60,0.00099
10,43.40,55.65,0.00097
30,56.81,56.85,0.00099
40,61.18,65.57,0.00097
50,58.97,64.50,0.00097
30,63.64,69.57,0.00097
10,52.76,69.42,0.00099
30,62.97,66.31,0.00093
20,51.88,65.53,0.00099
50,58.84,74.00,0.00099
10,48.22,58.86,0.00099
20,45.87,48.95,0.00099
40,61.07,69.88,0.00099
30,59.00,66.38,0.00099
50,62.65,67.67,0.00099
40,62.83,72.38,0.00099
10,55.87,57.74,0.00097
40,60.35,68.76,0.00099
20,53.09,62.63,0.00094
30,57.39,68.51,0.00099
50,60.91,67.38,0.00099
20,55.05,68.17,0.00099
30,53.68,67.87,0.00099
40,59.05,71.39,0.00099
50,66.36,69.32,0.00099
10,48.59,67.76,0.00099
30,52.06,64.99,0.00096
10,33.86,56.24,0.00099
20,54.47,62.83,0.00099
40,61.21,71.09,0.00099
50,62.66,63.02,0.00099
30,61.93,67.46,0.00099
10,26.12,54.39,0.00096
20,49.45,66.05,0.00099
40,59.98,68.65,0.00099
10,48.09,68.88,0.00096
20,53.38,61.08,0.00099
50,62.38,70.71,0.00097
30,60.19,67.50,0.00099
40,63.62,65.64,0.00099
50,59.20,72.60,0.00099
10,37.99,60.73,0.00099
20,52.21,64.86,0.00099
40,56.59,66.81,0.00097
30,62.37,70.02,0.00099
50,68.23,69.04,0.00099
10,47.37,59.15,0.00097
30,55.01,63.26,0.00099
20,40.16,43.03,0.00099
10,49.78,60.11,0.00099
40,63.97,68.46,0.00094
50,57.99,66.08,0.00099
20,54.97,63.82,0.00099
30,51.65,59.51,0.00099
50,67.24,69.78,0.00099
10,52.71,64.78,0.00096
20,56.96,63.12,0.00099
40,61.83,68.77,0.00099
30,62.57,66.64,0.00099
40,51.72,61.47,0.00099
50,58.08,70.94,0.00099
20,60.76,70.05,0.00099
10,33.71,44.71,0.00099
40,56.82,66.62,0.00097
30,58.32,63.16,0.00096
50,70.39,71.45,0.00099
10,44.91,57.68,0.00099
20,54.21,66.17,0.00099
30,56.96,67.76,0.00099
40,64.38,70.25,0.00099
50,62.74,70.68,0.00097
10,32.23,43.60,0.00099
10,38.12,46.00,0.00099
20,45.40,65.43,0.00099
40,64.31,69.16,0.00099
30,62.51,67.32,0.00096
50,67.12,72.78,0.00099
20,49.88,66.96,0.00097
30,59.53,65.65,0.00099
40,54.48,68.20,0.00097
50,57.42,63.56,0.00099
10,36.46,53.36,0.00099
30,62.54,70.45,0.00097
40,56.03,62.57,0.00099
50,62.01,70.62,0.00099
20,48.12,57.70,0.00099
40,63.82,66.52,0.00099
20,55.12,65.66,0.00099
50,58.16,64.89,0.00097
30,56.89,67.49,0.00099
10,42.05,49.62,0.00097
20,53.68,64.28,0.00097
10,47.39,59.13,0.00099
30,50.79,61.50,0.00099
50,64.41,68.18,0.00099
40,67.84,69.51,0.00099
10,38.33,55.33,0.00097
20,58.45,63.62,0.00099
30,55.82,69.59,0.00099
50,73.76,74.22,0.00097
10,47.81,53.69,0.00099
40,51.51,64.97,0.00099
30,61.40,67.02,0.00099
50,61.05,69.35,0.00099
40,54.00,66.34,0.00099
20,47.46,66.04,0.00099
10,46.68,56.50,0.00099
30,51.03,61.54,0.00096
40,56.77,61.96,0.00096
20,55.88,60.74,0.00099
40,55.37,65.32,0.00099
20,58.39,64.39,0.00099
50,67.46,73.26,0.00099
10,42.71,54.85,0.00099
30,64.20,71.57,0.00099
50,61.32,67.62,0.00097
10,41.02,50.25,0.00099
40,64.90,68.85,0.00099
30,60.25,62.26,0.00097
20,49.51,62.31,0.00099
10,41.42,60.64,0.00097
50,59.25,67.43,0.00099
20,52.85,68.38,0.00099
40,57.34,68.41,0.00099
30,44.72,54.98,0.00096
50,68.69,72.47,0.00097
30,57.61,70.39,0.00099
20,57.05,61.18,0.00097
40,61.32,73.99,0.00099
20,46.87,66.96,0.00099
10,53.39,61.29,0.00099
10,48.55,58.93,0.00097
