Number of labels,Accuracy,Accuracy with class priors,Class priors error
50,87.58,94.70,0.00099
30,78.23,94.03,0.00099
30,87.06,95.86,0.00099
40,81.48,96.30,0.00099
40,85.86,96.19,0.00099
10,54.39,94.92,0.00099
40,79.54,96.18,0.00099
50,89.08,95.20,0.00099
50,85.19,95.72,0.00099
40,87.96,95.85,0.00099
10,47.40,87.84,0.00099
20,77.56,94.14,0.00099
20,72.93,96.08,0.00099
30,76.99,94.75,0.00097
10,59.20,94.50,0.00099
30,79.05,95.47,0.00099
50,86.39,96.16,0.00099
20,79.70,96.05,0.00099
10,55.57,94.75,0.00099
20,69.10,93.52,0.00099
30,69.10,89.58,0.00099
20,76.83,93.79,0.00099
10,47.43,82.34,0.00097
20,77.04,95.89,0.00099
40,80.25,96.04,0.00099
50,87.35,95.89,0.00099
50,86.88,96.38,0.00097
30,78.00,95.00,0.00099
40,88.38,96.35,0.00099
20,56.36,95.01,0.00099
10,49.75,93.71,0.00099
40,75.22,86.81,0.00099
10,64.78,93.46,0.00099
50,78.44,95.11,0.00099
40,85.28,96.29,0.00099
30,83.32,96.06,0.00099
50,84.75,95.76,0.00099
50,87.98,96.07,0.00099
10,56.16,94.84,0.00099
40,77.72,95.10,0.00099
20,68.97,93.86,0.00099
20,76.50,94.24,0.00099
30,71.45,95.51,0.00099
10,70.04,95.36,0.00099
20,60.52,93.39,0.00099
30,66.81,95.49,0.00099
20,70.68,85.86,0.00099
40,80.99,95.01,0.00099
50,88.56,96.03,0.00099
40,85.18,96.18,0.00099
20,67.37,95.36,0.00099
30,73.20,96.21,0.00099
50,85.39,96.06,0.00099
10,52.06,94.89,0.00099
30,77.82,95.59,0.00099
30,83.28,96.36,0.00099
40,85.01,95.47,0.00099
10,64.56,83.78,0.00099
10,47.57,91.82,0.00099
30,83.13,94.19,0.00099
50,83.83,95.09,0.00099
50,83.14,91.95,0.00099
30,72.68,93.15,0.00099
40,80.74,94.39,0.00099
40,87.09,96.09,0.00099
30,76.70,89.96,0.00099
20,71.17,93.48,0.00099
10,64.56,94.48,0.00099
20,57.51,95.16,0.00099
50,91.63,96.23,0.00099
50,87.78,95.81,0.00099
50,88.24,96.09,0.00099
30,80.06,90.51,0.00099
10,38.59,94.54,0.00099
10,54.97,96.17,0.00099
10,65.36,94.84,0.00099
20,75.03,94.75,0.00099
20,69.53,96.08,0.00099
20,76.51,95.48,0.00099
50,91.67,96.23,0.00099
40,85.73,96.03,0.00099
50,87.47,95.37,0.00097
30,76.93,95.38,0.00099
30,74.74,93.13,0.00099
40,88.50,96.10,0.00099
10,63.47,95.04,0.00099
40,84.77,96.36,0.00099
10,59.07,94.87,0.00099
20,65.81,95.57,0.00099
30,81.21,95.72,0.00099
50,89.38,96.43,0.00099
30,66.82,87.89,0.00099
40,77.32,95.88,0.00099
40,89.14,95.52,0.00099
20,72.13,95.29,0.00099
10,48.23,95.31,0.00099
20,73.08,94.33,0.00099
40,89.85,95.84,0.00099
40,83.31,95.65,0.00097
10,64.74,94.86,0.00099
10,57.58,94.19,0.00097
30,80.61,96.17,0.00099
30,83.68,95.62,0.00099
20,72.64,95.50,0.00099
50,84.09,96.00,0.00099
40,80.30,95.69,0.00099
50,86.67,95.66,0.00099
10,66.86,94.13,0.00099
50,86.14,95.89,0.00099
10,58.34,94.00,0.00099
20,63.68,95.24,0.00099
40,83.51,95.83,0.00099
10,62.65,81.01,0.00099
50,76.82,95.41,0.00099
40,75.82,93.93,0.00099
10,49.56,95.33,0.00099
20,73.24,93.58,0.00099
30,83.93,94.12,0.00099
30,80.48,95.09,0.00099
40,83.40,95.69,0.00099
50,86.96,94.64,0.00099
20,74.28,95.28,0.00099
20,62.30,94.83,0.00099
30,86.71,96.50,0.00099
50,91.14,95.97,0.00099
20,61.98,93.82,0.00099
30,88.42,96.42,0.00099
10,61.33,91.12,0.00099
20,68.65,94.10,0.00099
20,58.62,93.69,0.00099
50,81.71,91.64,0.00099
30,73.21,90.93,0.00099
10,57.58,94.85,0.00099
50,80.56,95.16,0.00099
10,56.05,94.46,0.00099
30,68.96,94.21,0.00099
20,70.64,95.40,0.00099
40,78.11,95.80,0.00099
30,71.33,96.24,0.00097
40,90.08,96.07,0.00099
40,83.87,95.95,0.00099
40,85.85,96.34,0.00099
10,52.99,92.51,0.00099
20,85.73,95.49,0.00099
10,62.68,92.56,0.00099
50,89.83,96.07,0.00099
30,82.49,95.15,0.00099
50,89.60,95.48,0.00097
40,89.07,96.03,0.00097
40,85.05,96.22,0.00099
10,62.60,94.68,0.00099
40,80.99,95.93,0.00099
20,84.27,95.60,0.00099
20,70.95,91.10,0.00099
50,87.30,96.17,0.00099
10,61.15,77.14,0.00099
50,83.24,95.32,0.00099
20,62.20,92.52,0.00099
30,83.42,95.52,0.00099
30,78.97,95.40,0.00099
20,69.86,94.83,0.00099
50,82.05,95.16,0.00099
40,81.43,95.91,0.00099
10,56.85,88.87,0.00099
50,85.43,96.11,0.00099
30,79.20,95.79,0.00097
10,54.08,93.74,0.00099
50,86.02,95.53,0.00097
40,80.50,94.69,0.00099
30,77.57,95.47,0.00097
40,85.03,96.55,0.00099
30,70.97,95.36,0.00099
30,75.89,95.19,0.00099
10,48.62,94.72,0.00099
50,90.19,96.21,0.00099
10,61.49,94.22,0.00099
20,70.77,95.99,0.00099
40,82.97,95.87,0.00099
20,71.44,88.50,0.00099
30,71.01,85.56,0.00099
40,79.59,95.03,0.00099
20,73.10,94.27,0.00099
50,89.08,96.12,0.00099
50,81.91,95.63,0.00099
10,52.53,91.50,0.00099
30,75.92,92.34,0.00099
30,82.17,95.79,0.00099
50,89.68,95.99,0.00099
40,81.53,95.46,0.00099
20,76.05,96.09,0.00099
40,78.87,94.09,0.00099
10,59.76,93.56,0.00099
40,86.77,95.66,0.00099
20,77.29,93.88,0.00099
10,39.47,95.19,0.00099
50,89.29,94.76,0.00099
30,83.34,95.77,0.00097
30,67.23,89.35,0.00099
50,87.88,95.81,0.00099
10,67.77,95.26,0.00099
20,71.79,95.71,0.00099
40,85.50,95.20,0.00099
20,76.79,95.02,0.00099
10,46.57,92.53,0.00099
50,87.08,96.20,0.00099
50,89.82,95.28,0.00099
20,78.63,95.85,0.00099
10,71.78,93.79,0.00099
40,78.97,95.34,0.00099
40,80.96,95.92,0.00099
40,86.47,96.31,0.00099
10,58.51,94.91,0.00099
20,80.48,94.72,0.00099
50,88.30,96.27,0.00099
20,64.81,95.15,0.00099
50,85.41,94.94,0.00099
30,76.02,95.76,0.00099
30,78.10,96.07,0.00099
30,73.57,95.58,0.00099
30,83.47,95.54,0.00099
10,44.94,90.70,0.00099
10,42.62,94.07,0.00099
10,60.50,94.52,0.00099
50,89.23,96.29,0.00099
20,83.48,95.73,0.00099
20,75.12,94.59,0.00099
40,78.98,95.10,0.00097
40,87.32,96.47,0.00099
10,50.74,94.27,0.00099
30,83.94,95.57,0.00097
20,64.70,93.94,0.00099
30,70.92,93.71,0.00099
10,43.73,92.28,0.00099
10,57.15,94.14,0.00099
50,90.43,96.21,0.00099
30,79.41,95.40,0.00097
40,84.02,95.74,0.00099
50,86.79,95.48,0.00099
50,86.98,95.90,0.00099
10,49.64,94.57,0.00099
20,68.04,88.49,0.00099
40,83.28,96.21,0.00099
40,79.97,94.90,0.00099
20,72.93,94.97,0.00099
20,60.92,94.31,0.00099
30,82.58,95.30,0.00099
50,88.96,96.16,0.00099
40,86.25,95.51,0.00099
10,47.49,93.85,0.00099
50,85.05,95.95,0.00099
10,44.92,78.44,0.00097
30,77.01,89.08,0.00099
30,75.59,95.47,0.00099
30,82.73,95.50,0.00099
20,68.01,90.69,0.00099
20,82.93,92.63,0.00099
20,75.42,95.88,0.00099
40,82.90,95.70,0.00099
30,80.86,95.53,0.00099
10,37.36,79.79,0.00099
20,68.17,82.31,0.00099
50,88.27,95.94,0.00099
40,86.97,95.60,0.00099
40,83.47,96.46,0.00099
10,45.89,85.10,0.00099
10,64.25,93.27,0.00099
30,78.62,95.40,0.00099
50,90.83,95.87,0.00099
50,85.77,96.03,0.00099
40,84.45,95.42,0.00099
30,76.12,95.16,0.00099
50,83.97,95.62,0.00099
40,82.20,94.80,0.00099
10,52.18,93.55,0.00099
20,61.86,94.50,0.00099
50,90.80,95.64,0.00099
20,82.87,96.14,0.00099
10,49.42,85.19,0.00099
20,73.47,94.17,0.00099
20,69.76,92.10,0.00099
50,87.21,95.99,0.00099
40,75.77,95.50,0.00099
30,75.66,95.67,0.00099
40,82.38,96.05,0.00097
30,80.52,95.95,0.00099
10,52.22,92.78,0.00099
10,52.91,93.82,0.00099
30,83.79,95.75,0.00099
50,87.67,96.15,0.00099
50,89.05,96.37,0.00099
40,87.00,95.71,0.00099
20,66.83,95.18,0.00099
50,86.99,95.17,0.00099
20,70.91,91.54,0.00099
40,85.64,95.89,0.00099
50,90.35,96.29,0.00099
30,88.15,96.08,0.00099
30,77.58,94.08,0.00099
10,59.52,95.34,0.00099
30,83.07,95.64,0.00099
30,83.29,96.06,0.00099
40,85.83,95.35,0.00099
10,62.26,95.36,0.00099
40,86.22,95.89,0.00099
50,89.69,95.94,0.00099
20,73.06,94.52,0.00099
20,67.76,95.06,0.00099
40,87.61,95.89,0.00099
30,77.32,96.18,0.00099
40,83.31,95.11,0.00099
40,85.24,95.83,0.00099
10,54.53,95.14,0.00099
10,72.32,94.33,0.00099
50,87.96,95.73,0.00099
20,75.96,94.77,0.00099
50,92.26,96.29,0.00099
10,70.84,94.05,0.00099
20,55.04,94.99,0.00099
30,72.06,96.13,0.00099
30,73.90,95.69,0.00099
20,72.20,95.16,0.00099
10,48.95,89.08,0.00099
20,75.86,95.38,0.00099
50,84.50,95.50,0.00099
50,85.67,96.13,0.00097
40,80.34,94.32,0.00099
30,79.93,94.34,0.00099
20,70.52,95.16,0.00099
40,83.89,96.08,0.00099
10,47.96,95.49,0.00099
40,84.65,95.91,0.00099
50,88.34,95.91,0.00099
50,87.98,95.47,0.00099
30,79.17,94.20,0.00097
10,53.07,94.97,0.00099
20,77.83,95.75,0.00099
10,63.66,94.60,0.00099
10,67.78,94.66,0.00099
30,81.74,95.85,0.00099
40,85.69,93.86,0.00099
10,50.79,95.50,0.00099
20,54.25,95.18,0.00099
50,88.32,96.37,0.00099
40,80.86,95.54,0.00099
30,86.59,95.72,0.00099
30,82.83,94.65,0.00099
10,58.72,94.85,0.00099
50,86.31,95.63,0.00099
40,86.04,94.80,0.00099
50,81.46,95.31,0.00099
20,72.78,95.23,0.00099
40,78.42,95.26,0.00099
30,70.68,94.51,0.00099
40,84.01,96.19,0.00099
10,62.76,88.18,0.00099
40,84.62,94.59,0.00099
30,89.69,94.96,0.00099
10,68.59,94.13,0.00099
50,89.94,95.95,0.00099
50,85.03,91.15,0.00099
50,84.95,95.67,0.00099
20,73.27,96.26,0.00099
20,57.68,95.23,0.00099
10,53.34,94.66,0.00099
20,80.98,95.68,0.00099
40,84.50,94.17,0.00099
50,89.26,96.25,0.00097
10,61.93,92.67,0.00099
20,68.84,95.62,0.00099
30,85.34,95.79,0.00099
30,72.80,95.04,0.00099
20,74.60,96.43,0.00099
10,61.53,93.99,0.00099
40,86.28,94.48,0.00097
50,81.88,95.43,0.00099
40,85.56,95.46,0.00099
30,81.20,95.75,0.00099
50,82.41,95.39,0.00099
30,79.12,95.33,0.00099
30,78.45,95.59,0.00099
40,88.56,95.20,0.00099
20,73.55,95.25,0.00099
