Number of labels,Accuracy
10,28.72
40,33.55
50,38.39
10,12.02
20,22.94
30,26.89
20,13.48
20,15.39
50,53.42
20,23.97
40,34.93
10,23.52
50,51.86
30,28.01
40,51.56
50,42.65
30,57.79
10,10.55
40,55.07
10,10.49
30,32.78
20,35.93
40,42.11
20,26.55
10,21.76
50,61.17
30,48.49
50,60.71
40,47.30
20,30.19
50,48.04
50,59.16
20,28.19
30,25.03
10,15.75
30,16.63
40,36.61
30,37.51
40,48.30
30,51.16
10,14.79
10,10.23
40,42.18
50,61.57
10,12.37
20,28.75
30,40.79
40,51.93
30,30.53
50,55.43
20,21.38
30,39.12
10,20.82
10,19.46
20,38.50
10,11.25
30,37.92
40,36.92
20,22.93
50,48.54
50,51.33
40,53.51
40,32.94
50,61.17
40,58.90
20,29.74
20,15.09
40,44.63
20,27.29
50,50.31
10,14.13
20,31.24
10,18.60
50,45.29
30,49.50
20,29.58
10,10.87
30,34.79
30,33.81
10,14.30
10,20.51
40,57.88
30,58.19
50,71.32
50,56.32
20,30.88
40,40.89
10,11.32
30,41.18
50,58.16
40,39.51
20,33.17
50,58.38
40,48.36
10,12.04
10,12.70
30,35.91
30,45.81
20,32.45
30,51.38
50,54.94
20,30.07
10,12.99
40,57.90
50,53.69
40,59.17
50,55.14
30,37.96
10,22.97
40,55.86
20,43.96
20,18.31
30,39.86
10,21.33
20,18.34
50,58.39
40,51.87
50,58.71
10,10.33
30,27.30
40,47.11
40,36.32
20,22.04
40,49.38
50,46.30
30,48.36
50,56.21
20,33.79
40,31.88
30,34.60
10,21.22
10,13.50
10,14.57
30,47.52
10,10.98
50,50.36
20,14.87
40,50.02
20,27.02
20,19.19
30,41.44
40,39.11
20,30.66
30,44.01
50,42.69
40,50.87
50,34.81
50,52.80
10,14.73
30,38.49
10,10.60
20,37.65
40,37.46
30,27.78
30,50.45
10,25.69
40,62.80
40,45.87
10,20.52
50,57.86
20,13.23
30,52.06
50,60.90
20,31.74
20,27.48
10,20.29
20,14.25
10,11.81
40,45.43
50,42.14
50,49.46
10,20.42
30,37.15
40,53.06
30,48.51
50,45.79
20,21.51
40,55.46
10,11.20
50,62.17
20,49.12
50,63.29
30,46.30
30,48.07
30,38.35
10,10.69
40,62.68
40,42.94
20,45.90
10,11.38
40,44.99
50,59.76
20,40.36
30,30.49
10,10.91
50,60.64
50,54.02
40,50.76
30,53.84
40,47.14
20,29.35
50,55.16
20,28.05
10,21.48
20,29.90
30,42.20
10,29.67
10,10.11
30,38.98
30,50.57
10,20.67
10,23.78
40,46.40
20,20.55
40,47.08
50,54.32
40,44.78
50,49.20
30,41.01
20,24.26
50,57.75
20,29.88
10,22.33
50,58.86
40,41.05
30,42.39
10,11.07
30,41.98
50,51.22
40,44.54
20,23.67
10,19.32
50,64.35
20,35.49
20,30.98
50,43.21
30,48.11
30,47.07
40,58.85
10,10.52
30,32.24
20,11.45
40,48.41
40,48.57
10,22.89
50,54.98
10,20.34
20,44.43
30,37.31
40,56.45
20,18.50
30,29.60
10,12.74
10,18.66
30,30.78
20,27.16
50,52.25
30,33.50
50,56.40
40,47.54
40,55.56
20,27.85
50,63.70
50,64.21
30,39.12
40,58.11
40,46.37
10,11.84
30,30.23
20,29.13
20,21.96
10,11.48
50,50.14
50,58.13
10,15.96
40,46.24
50,45.65
50,58.34
30,40.13
20,28.18
40,47.56
10,21.81
40,25.15
20,31.57
10,10.76
30,37.18
30,39.99
10,13.46
30,40.26
20,31.03
20,30.58
40,47.81
10,20.18
50,46.17
50,52.97
20,32.70
40,51.93
20,36.09
10,18.48
50,62.58
10,11.04
30,41.68
40,43.97
40,57.41
10,11.39
20,26.34
30,27.11
50,60.91
40,49.02
40,46.60
10,10.39
50,46.85
30,40.27
20,35.90
30,43.20
50,48.44
30,26.26
20,43.32
20,31.21
30,48.50
10,22.04
10,11.01
40,47.24
10,28.17
50,47.52
40,64.32
50,61.76
50,54.81
10,10.25
20,36.33
30,41.90
40,42.63
20,41.60
30,44.36
50,50.05
40,45.05
20,27.49
40,41.00
50,48.45
10,10.61
30,34.03
50,52.09
20,36.67
40,48.74
10,10.06
20,20.51
30,43.88
40,62.18
10,14.93
30,45.54
50,63.69
40,52.77
20,22.41
20,46.05
30,36.32
50,68.61
40,43.52
30,49.12
10,20.23
50,54.48
10,11.10
40,44.64
10,14.98
30,45.05
20,25.08
30,53.44
10,23.55
50,50.57
20,24.96
50,64.60
40,33.79
20,13.62
30,41.11
50,59.91
40,58.15
20,32.04
40,54.89
10,10.64
30,29.87
20,15.87
10,11.50
10,33.69
50,54.87
40,52.43
20,45.49
20,21.18
30,42.33
10,16.83
50,49.95
50,62.70
30,46.42
30,42.50
40,52.44
30,52.57
10,19.36
50,59.82
40,52.33
20,33.28
10,23.22
20,21.44
50,54.85
10,14.54
50,58.78
40,43.63
30,39.69
30,40.22
10,13.23
20,29.36
20,43.29
40,56.58
40,38.60
50,61.23
40,46.91
10,10.67
10,21.39
20,35.47
50,70.74
40,48.00
30,54.03
30,37.58
10,20.31
40,26.92
20,32.55
50,60.52
30,43.46
50,64.49
20,29.41
50,52.31
50,45.03
40,47.85
30,43.84
20,34.50
10,14.30
50,59.86
10,10.20
10,10.65
30,43.11
40,52.23
20,40.89
40,39.47
10,14.07
30,37.40
50,52.82
40,66.55
30,43.27
40,44.90
20,22.72
50,63.57
10,11.13
10,23.52
30,40.29
20,18.44
50,45.61
30,26.02
30,38.76
30,54.72
40,35.65
20,24.45
10,13.42
50,52.85
20,21.04
20,26.16
50,57.26
10,10.08
30,14.70
40,58.08
10,19.08
40,56.61
20,33.39
40,50.55
20,29.89
20,27.21
20,23.18
40,28.15
50,53.59
50,64.27
30,36.02
50,51.09
10,28.57
50,40.79
40,42.85
10,15.92
10,22.11
20,43.65
30,34.51
30,45.00
40,52.11
40,54.83
30,39.91
10,24.88
50,61.94
10,10.65
30,36.53
20,29.45
50,59.11
40,41.59
30,42.66
40,63.05
50,59.81
20,24.85
