Number of labels,Accuracy
50,58.49
20,48.01
10,52.32
10,40.91
50,52.10
20,47.15
30,52.35
40,48.73
40,52.65
20,47.59
10,30.39
50,53.18
20,48.78
30,53.70
10,42.19
40,51.82
30,55.09
50,51.41
10,46.31
40,53.47
30,52.63
20,54.01
30,53.32
40,52.17
30,49.24
40,52.75
10,32.84
20,38.10
50,57.01
40,54.28
10,45.17
20,56.05
50,57.42
20,44.44
10,39.31
30,48.99
40,55.74
30,50.35
50,51.02
40,58.14
30,50.52
50,54.71
20,42.17
10,28.56
10,48.44
50,54.56
30,45.71
20,47.74
50,49.49
10,38.54
50,50.92
10,30.64
30,49.95
40,48.26
20,48.82
50,52.93
20,53.35
20,44.17
40,50.61
20,51.16
30,49.38
40,55.57
50,57.63
30,49.48
10,42.63
50,49.00
10,38.57
40,53.32
10,45.64
30,52.66
40,50.57
10,37.76
40,49.85
30,52.48
20,49.83
10,38.12
20,51.57
50,47.32
30,48.49
50,57.37
40,54.08
10,44.03
50,48.74
40,51.24
20,49.07
30,45.48
20,34.48
30,51.56
40,49.75
40,47.26
30,50.65
20,49.35
50,54.06
10,47.47
50,51.51
10,38.76
20,44.91
50,49.08
40,55.79
20,39.74
30,43.43
10,37.62
20,43.89
30,46.90
10,45.96
40,57.60
50,47.88
30,52.20
30,48.23
50,52.97
40,54.52
10,33.56
20,45.59
50,54.04
10,46.27
10,35.44
20,51.23
40,54.17
30,51.85
20,34.08
40,49.71
40,56.16
50,52.65
30,46.94
10,38.02
10,37.48
50,57.53
40,53.71
20,46.45
10,35.33
40,45.49
50,49.43
30,49.37
20,43.67
30,44.77
30,45.81
10,33.55
20,51.17
30,48.63
50,53.62
40,54.09
10,38.84
50,55.46
50,56.68
10,30.37
20,43.35
50,53.77
10,44.23
20,43.49
40,56.88
40,51.43
30,49.69
20,50.60
50,51.46
20,48.97
30,44.03
40,49.38
10,43.71
30,49.08
40,53.08
30,46.67
40,47.92
20,38.61
50,58.23
50,52.13
30,47.65
10,35.63
40,51.53
20,42.81
20,39.14
10,29.58
50,54.17
40,54.87
30,49.88
30,50.68
10,48.07
40,52.94
20,47.26
50,54.65
