Number of labels,Accuracy,Accuracy with class priors,Class priors error
50,42.77,47.71,0.00098
50,48.91,53.45,0.00098
40,44.44,53.02,0.00097
30,51.48,54.45,0.00098
50,54.65,58.74,0.00098
30,43.15,50.37,0.00098
10,33.48,43.88,0.00097
40,46.43,51.25,0.00098
10,36.84,47.56,0.00098
30,47.22,53.15,0.00095
40,50.70,56.92,0.00098
20,48.87,49.99,0.00097
20,47.21,53.66,0.00098
30,45.70,50.89,0.00097
40,47.07,50.90,0.00098
50,50.03,51.74,0.00098
10,36.23,39.34,0.00097
20,44.80,50.47,0.00098
20,47.98,51.54,0.00098
10,27.25,36.53,0.00098
50,48.92,52.91,0.00097
40,42.35,52.84,0.00097
30,52.88,54.00,0.00097
20,42.38,51.24,0.00097
10,34.72,44.20,0.00097
30,43.63,49.26,0.00098
10,28.25,31.86,0.00093
30,40.32,50.46,0.00098
40,45.77,52.06,0.00098
50,45.22,50.23,0.00093
40,51.49,54.72,0.00095
10,29.65,35.59,0.00093
50,43.74,48.53,0.00093
50,46.76,53.89,0.00098
20,32.05,38.26,0.00095
20,43.99,55.32,0.00098
30,39.53,48.00,0.00098
40,52.69,56.51,0.00098
20,43.09,47.37,0.00097
10,30.49,41.88,0.00098
40,52.77,57.37,0.00098
50,53.92,57.96,0.00098
30,36.43,48.97,0.00098
10,35.44,32.75,0.00098
20,36.87,37.30,0.00095
40,45.04,55.32,0.00095
10,46.80,49.65,0.00098
50,43.80,48.63,0.00098
30,38.42,50.83,0.00098
30,49.58,51.35,0.00097
40,45.70,51.26,0.00097
50,50.72,53.86,0.00098
20,39.34,49.62,0.00098
20,40.39,46.50,0.00093
30,39.37,47.45,0.00098
20,37.80,46.62,0.00097
50,45.85,52.50,0.00098
10,31.09,28.21,0.00095
40,40.02,45.39,0.00098
10,27.45,37.05,0.00098
