Number of labels,Accuracy,Accuracy with class priors,Class priors error
20,59.35,91.86,0.00099
10,42.54,81.48,0.00099
50,74.84,93.70,0.00099
50,82.97,95.23,0.00099
10,53.17,94.58,0.00099
40,68.22,95.99,0.00099
10,48.42,95.15,0.00099
50,78.09,96.20,0.00099
40,71.24,96.31,0.00099
40,77.05,96.19,0.00099
40,80.49,95.49,0.00099
30,79.40,95.71,0.00099
30,71.58,95.35,0.00099
30,71.06,94.28,0.00099
20,66.65,96.19,0.00099
20,61.27,96.09,0.00099
20,68.66,94.36,0.00099
30,70.00,94.99,0.00099
50,77.07,96.14,0.00097
10,45.84,94.92,0.00099
20,64.36,95.98,0.00099
10,42.55,95.04,0.00099
30,61.05,90.10,0.00099
20,66.87,94.18,0.00099
40,79.70,96.31,0.00099
10,33.52,82.71,0.00099
50,83.35,95.95,0.00099
10,60.52,93.93,0.00099
40,74.65,95.88,0.00099
20,42.08,95.03,0.00099
50,76.87,95.72,0.00099
30,71.25,95.36,0.00099
30,58.89,95.40,0.00099
50,79.84,96.42,0.00099
40,66.51,95.07,0.00099
50,80.81,96.09,0.00099
40,76.72,96.38,0.00099
30,71.81,96.00,0.00099
10,45.17,94.35,0.00099
20,50.33,95.12,0.00097
40,70.31,91.33,0.00099
10,59.83,95.36,0.00099
20,65.67,94.45,0.00099
30,57.71,95.20,0.00099
20,61.61,94.21,0.00099
50,72.52,95.21,0.00099
40,75.94,94.23,0.00099
20,58.96,85.61,0.00099
40,77.67,96.41,0.00099
50,81.83,95.95,0.00099
50,79.87,96.19,0.00099
30,66.09,96.22,0.00099
50,78.40,95.16,0.00099
20,55.64,95.84,0.00099
30,69.11,96.40,0.00099
30,65.07,95.05,0.00099
10,38.36,93.01,0.00099
30,75.55,93.17,0.00099
40,67.59,95.30,0.00099
10,41.96,93.18,0.00099
10,30.57,94.21,0.00099
10,56.39,86.76,0.00099
40,78.61,95.31,0.00099
20,46.59,95.45,0.00099
50,75.11,90.99,0.00099
10,53.89,94.62,0.00099
30,60.73,95.66,0.00099
40,74.89,96.25,0.00099
30,63.73,89.81,0.00099
20,65.19,92.47,0.00099
50,86.55,95.84,0.00099
30,69.70,91.45,0.00099
10,48.99,96.06,0.00099
50,77.53,95.86,0.00099
20,58.57,96.19,0.00099
20,67.03,94.79,0.00099
10,52.05,95.88,0.00099
50,82.67,95.81,0.00099
40,76.11,96.08,0.00099
20,68.24,95.54,0.00099
10,45.02,95.04,0.00099
40,74.93,96.21,0.00099
50,87.51,96.32,0.00099
30,63.88,93.91,0.00099
40,82.19,95.84,0.00099
10,53.70,94.89,0.00099
20,55.08,95.35,0.00099
30,69.72,95.22,0.00099
50,79.16,95.22,0.00099
50,83.87,96.41,0.00099
40,67.50,95.98,0.00099
40,85.62,95.83,0.00097
30,73.16,95.72,0.00099
40,86.57,96.08,0.00099
20,61.57,95.74,0.00099
10,50.78,94.87,0.00099
20,59.65,95.81,0.00099
40,71.27,94.72,0.00097
10,29.84,95.79,0.00099
30,58.62,88.76,0.00099
50,77.95,95.85,0.00099
30,68.08,96.03,0.00099
20,60.55,94.24,0.00099
10,51.80,94.45,0.00099
50,75.97,95.92,0.00099
10,48.60,94.91,0.00099
30,75.14,95.60,0.00097
20,56.60,95.45,0.00099
10,60.58,94.65,0.00099
40,77.08,95.61,0.00099
50,78.77,95.73,0.00099
40,72.96,95.86,0.00099
40,69.39,93.36,0.00099
50,65.19,95.50,0.00099
30,72.12,95.26,0.00099
50,79.18,94.79,0.00099
10,40.41,95.64,0.00099
20,50.48,94.73,0.00099
30,84.28,96.37,0.00099
10,57.12,84.34,0.00099
20,64.09,95.48,0.00099
20,61.50,94.16,0.00099
30,78.40,96.60,0.00099
40,73.90,95.51,0.00099
30,77.85,94.67,0.00099
50,84.59,95.79,0.00099
10,50.38,92.02,0.00099
20,49.66,94.14,0.00099
40,67.53,95.61,0.00099
10,52.75,94.85,0.00099
20,48.38,93.65,0.00099
50,74.85,95.00,0.00099
30,64.67,90.16,0.00099
40,85.69,95.32,0.00099
20,58.20,94.21,0.00099
40,79.87,96.41,0.00099
10,51.10,94.61,0.00099
50,84.92,96.04,0.00099
30,57.46,96.35,0.00099
50,77.65,93.83,0.00099
40,77.75,96.24,0.00099
30,64.84,94.79,0.00099
50,85.59,95.88,0.00099
10,53.92,93.01,0.00099
20,60.21,95.43,0.00099
20,77.89,95.63,0.00097
30,75.28,95.35,0.00099
10,44.39,93.60,0.00099
40,80.53,96.01,0.00099
40,75.15,96.36,0.00099
10,54.09,94.80,0.00099
50,82.48,96.28,0.00099
20,72.12,95.63,0.00099
30,66.74,95.14,0.00099
50,75.04,94.90,0.00099
10,50.83,90.84,0.00099
40,75.45,95.87,0.00099
20,59.38,94.89,0.00099
20,58.27,90.85,0.00099
30,71.48,95.83,0.00099
50,71.93,95.95,0.00099
30,72.92,95.36,0.00099
10,59.21,78.77,0.00099
20,54.58,93.49,0.00099
40,69.74,96.22,0.00099
50,81.12,95.33,0.00099
30,70.40,95.88,0.00099
10,46.80,93.55,0.00099
40,75.12,95.68,0.00099
50,80.29,96.17,0.00099
40,72.52,94.42,0.00096
10,36.34,89.20,0.00099
30,61.15,95.75,0.00099
20,56.84,95.92,0.00097
50,86.32,96.15,0.00099
30,70.67,95.95,0.00099
10,54.99,94.82,0.00099
20,61.24,94.47,0.00099
30,67.20,89.51,0.00099
40,77.98,96.53,0.00099
50,76.49,95.82,0.00099
50,81.89,96.20,0.00099
10,47.03,93.62,0.00099
20,63.83,96.16,0.00099
30,70.85,95.93,0.00099
20,63.28,92.51,0.00099
40,70.61,95.41,0.00099
40,71.83,95.28,0.00097
50,84.85,96.12,0.00099
10,32.28,95.51,0.00099
40,77.90,95.69,0.00097
30,67.03,92.13,0.00099
10,48.37,93.85,0.00099
20,60.72,95.90,0.00099
10,61.26,95.16,0.00099
20,69.86,94.66,0.00099
50,81.72,95.67,0.00099
40,70.21,95.14,0.00099
30,73.88,95.84,0.00097
30,64.81,91.39,0.00097
50,85.88,94.39,0.00099
20,59.81,94.55,0.00097
10,37.85,93.69,0.00099
40,79.47,95.14,0.00099
50,75.80,96.12,0.00099
10,63.82,93.54,0.00099
20,55.87,95.34,0.00099
30,65.92,96.03,0.00099
50,85.68,95.23,0.00099
40,62.76,94.02,0.00099
40,79.18,96.13,0.00099
10,51.31,95.15,0.00099
50,82.90,96.26,0.00099
20,72.40,95.44,0.00099
40,74.89,94.44,0.00099
20,74.12,94.96,0.00099
30,59.32,95.72,0.00099
50,79.03,94.79,0.00099
30,76.14,95.37,0.00099
10,37.12,91.43,0.00097
30,66.75,96.28,0.00099
20,67.35,95.82,0.00099
10,52.63,95.30,0.00099
10,35.36,94.23,0.00099
40,71.37,94.70,0.00097
40,80.77,96.38,0.00099
50,82.01,96.37,0.00099
10,39.03,95.05,0.00099
30,72.18,95.11,0.00099
20,71.48,95.79,0.00099
50,80.19,95.38,0.00099
20,50.65,94.51,0.00099
30,56.79,94.84,0.00099
50,83.99,95.99,0.00099
20,50.75,94.82,0.00099
30,66.29,95.65,0.00099
10,47.59,94.65,0.00099
40,72.00,96.16,0.00099
10,33.30,92.47,0.00099
30,74.00,95.64,0.00099
20,61.01,89.43,0.00099
50,81.26,95.95,0.00099
40,73.03,95.26,0.00097
20,65.35,94.90,0.00099
40,75.85,96.16,0.00099
10,40.31,94.54,0.00099
40,77.99,95.22,0.00099
50,79.76,95.93,0.00099
30,65.80,95.45,0.00099
50,79.20,96.29,0.00099
30,70.36,91.58,0.00099
10,42.35,93.31,0.00099
30,76.29,95.67,0.00099
40,72.74,95.61,0.00099
20,68.18,95.94,0.00099
10,38.52,82.38,0.00099
50,79.53,95.94,0.00099
10,28.53,82.27,0.00099
20,57.36,90.23,0.00099
20,77.74,94.18,0.00099
40,72.66,96.44,0.00099
20,64.57,91.64,0.00099
50,85.57,95.74,0.00099
30,75.60,95.40,0.00099
50,81.71,96.05,0.00099
40,79.21,95.20,0.00097
30,64.06,95.55,0.00099
40,74.38,95.40,0.00099
