Number of labels,Accuracy
10,89.84
10,95.97
30,94.50
20,95.66
50,96.23
40,96.52
30,95.65
10,95.09
20,96.42
50,96.57
20,95.62
30,95.40
10,93.96
50,96.46
40,95.97
20,94.17
50,96.11
20,96.48
10,94.54
40,96.36
30,95.83
30,95.32
40,96.30
50,96.18
40,96.34
50,96.49
10,93.64
30,95.98
20,95.46
30,95.93
40,96.30
10,87.38
20,94.97
20,95.11
30,95.88
40,96.06
10,93.48
10,94.33
20,96.67
30,96.48
40,95.81
40,96.19
50,96.43
10,86.28
50,96.41
30,96.41
50,95.96
10,88.90
20,96.22
20,95.83
50,96.22
20,95.15
40,96.15
10,93.78
30,95.57
40,96.43
50,96.42
10,93.84
30,96.27
20,94.67
40,95.55
50,96.35
10,77.54
40,96.03
30,95.94
40,94.95
20,95.60
10,96.20
20,95.51
20,95.92
30,95.47
50,95.25
30,92.97
40,96.68
50,96.19
10,96.12
40,96.68
30,96.04
10,95.58
40,96.31
20,95.75
50,96.53
30,96.23
20,96.10
50,96.52
10,95.43
50,96.49
30,95.77
40,96.23
50,96.58
10,95.32
50,96.06
20,94.39
50,96.49
10,95.75
20,94.60
40,96.49
40,96.18
10,90.73
30,96.22
30,95.40
30,96.34
40,96.11
20,95.94
20,95.91
10,92.20
50,96.38
40,96.08
20,92.16
50,96.22
30,94.74
10,95.06
40,96.23
10,94.43
30,96.56
20,91.12
50,95.68
30,96.25
40,95.20
10,84.95
30,96.02
10,91.76
50,95.80
50,95.83
40,96.24
40,96.26
20,95.34
30,96.41
50,95.79
30,96.30
20,94.64
20,94.35
20,92.76
50,96.63
10,94.13
20,94.35
10,93.08
50,96.47
40,96.69
10,93.26
30,95.09
10,94.40
30,95.94
40,96.11
40,95.98
40,96.40
30,95.27
20,96.22
50,94.59
10,87.61
50,96.18
30,96.08
10,94.63
40,96.23
20,95.87
20,95.91
30,96.18
10,92.99
50,96.69
20,94.73
40,95.84
10,86.03
50,95.32
20,95.26
30,96.46
10,94.44
30,96.04
