Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,43.82,65.28,0.00097
10,56.79,83.09,0.00099
50,76.28,87.90,0.00099
30,76.65,86.56,0.00099
40,75.85,87.86,0.00099
10,57.80,84.67,0.00099
20,61.11,79.97,0.00099
20,76.08,88.28,0.00099
50,77.31,89.29,0.00099
10,58.74,86.53,0.00099
20,68.03,81.17,0.00099
20,69.85,87.37,0.00099
30,71.36,86.71,0.00099
40,75.88,88.36,0.00099
30,66.60,82.49,0.00097
30,71.11,85.79,0.00099
40,73.22,87.91,0.00099
30,71.19,86.55,0.00099
20,67.90,88.21,0.00099
10,53.16,82.84,0.00099
50,74.82,89.46,0.00099
20,64.51,83.21,0.00099
10,48.93,70.83,0.00099
40,73.32,87.42,0.00099
50,77.43,88.10,0.00099
10,59.21,78.35,0.00099
40,78.44,89.18,0.00099
30,74.96,88.72,0.00099
20,55.72,83.12,0.00099
50,78.07,89.46,0.00099
50,76.38,87.58,0.00099
40,74.12,84.57,0.00096
30,62.39,83.15,0.00099
10,62.82,82.61,0.00097
40,71.52,88.42,0.00099
20,65.21,83.94,0.00099
10,47.55,74.97,0.00099
40,74.02,86.13,0.00099
50,74.19,88.36,0.00099
50,76.84,90.26,0.00099
50,75.68,89.28,0.00099
30,71.41,86.29,0.00099
30,68.68,88.96,0.00099
20,64.21,79.14,0.00099
20,64.20,82.90,0.00099
20,60.04,80.26,0.00097
10,40.38,70.64,0.00097
20,63.79,86.38,0.00099
10,53.12,76.35,0.00099
10,62.53,78.61,0.00099
30,68.63,84.95,0.00099
40,75.52,89.50,0.00099
10,55.59,56.22,0.00099
40,75.74,88.73,0.00099
30,74.18,84.89,0.00093
10,48.45,71.00,0.00099
30,67.08,82.98,0.00099
20,65.21,82.20,0.00099
30,67.93,87.59,0.00099
50,77.34,89.07,0.00099
30,72.07,87.61,0.00099
10,54.44,82.23,0.00099
40,75.03,87.67,0.00099
40,73.25,85.58,0.00099
20,66.67,86.94,0.00099
50,79.15,90.54,0.00099
20,61.73,80.36,0.00099
10,59.36,83.20,0.00099
30,67.74,84.66,0.00099
50,73.41,84.84,0.00099
20,72.62,83.42,0.00099
20,67.41,82.45,0.00096
50,78.58,89.22,0.00099
40,77.10,86.80,0.00099
30,66.10,81.48,0.00099
50,81.67,90.93,0.00099
10,57.57,80.89,0.00099
40,78.58,90.46,0.00099
10,63.23,85.36,0.00099
