Number of labels,Accuracy,Accuracy with class priors,Class priors error
30,43.07,51.88,0.00098
10,34.39,38.37,0.00098
40,45.11,50.23,0.00098
20,46.56,51.91,0.00098
30,41.34,49.67,0.00097
20,44.19,52.69,0.00097
30,48.71,53.42,0.00095
50,46.14,50.56,0.00097
20,48.39,50.15,0.00098
40,47.97,56.46,0.00098
10,29.60,47.34,0.00095
50,40.91,47.18,0.00097
10,18.55,34.39,0.00098
20,42.27,49.36,0.00098
50,47.03,53.02,0.00097
50,53.80,58.11,0.00097
10,29.18,43.50,0.00098
40,40.42,52.45,0.00097
40,43.73,50.31,0.00098
30,42.11,50.43,0.00098
10,31.53,43.02,0.00097
20,43.56,52.28,0.00095
20,27.89,37.14,0.00095
10,27.65,30.49,0.00093
40,45.63,50.62,0.00097
30,51.65,53.44,0.00098
30,40.25,48.77,0.00098
40,38.88,51.62,0.00098
50,43.38,49.63,0.00097
10,27.91,35.08,0.00098
10,28.88,41.78,0.00098
40,49.00,54.59,0.00098
20,42.39,54.79,0.00097
50,45.91,52.02,0.00098
50,42.74,47.96,0.00098
30,40.01,47.87,0.00097
30,37.00,49.39,0.00098
20,43.23,45.95,0.00098
50,45.84,53.02,0.00098
40,50.08,54.65,0.00098
20,35.30,36.45,0.00095
10,34.85,32.50,0.00092
30,34.14,48.96,0.00098
40,49.89,56.31,0.00097
30,38.03,50.38,0.00098
50,51.10,57.23,0.00095
10,30.06,26.67,0.00095
10,47.51,48.83,0.00098
20,42.22,46.41,0.00097
20,38.67,49.23,0.00095
40,41.03,54.20,0.00098
40,43.40,50.27,0.00098
20,36.53,45.76,0.00097
50,41.63,48.76,0.00098
10,29.88,36.67,0.00098
30,46.12,49.31,0.00098
30,35.17,46.36,0.00097
50,48.92,53.11,0.00098
50,41.37,51.87,0.00095
40,37.23,44.93,0.00098
20,38.30,52.32,0.00093
10,23.35,46.61,0.00098
30,40.30,48.27,0.00095
30,43.59,51.16,0.00098
40,45.06,46.24,0.00097
10,42.00,39.71,0.00097
50,41.69,55.43,0.00098
20,36.84,43.39,0.00092
40,48.16,55.00,0.00097
10,38.21,39.88,0.00093
50,46.49,50.61,0.00097
50,44.55,48.99,0.00098
20,37.52,45.08,0.00098
10,35.76,51.88,0.00095
40,43.91,49.76,0.00097
30,27.98,45.31,0.00098
30,49.11,50.27,0.00098
20,39.39,51.87,0.00098
40,41.16,50.45,0.00098
50,41.75,51.03,0.00097
10,22.31,38.31,0.00097
20,43.26,51.40,0.00098
10,39.85,45.74,0.00097
20,45.01,48.93,0.00095
30,37.67,45.01,0.00097
50,54.93,60.73,0.00098
40,41.94,51.40,0.00098
30,45.85,52.68,0.00098
40,44.20,50.62,0.00098
50,48.38,55.15,0.00097
10,33.53,40.70,0.00097
20,32.67,39.36,0.00098
20,35.99,40.92,0.00093
50,43.71,50.55,0.00092
40,38.43,48.91,0.00093
10,34.27,48.41,0.00097
30,44.26,44.75,0.00098
30,44.51,54.28,0.00098
40,44.59,54.71,0.00097
50,42.87,51.15,0.00098
10,32.15,38.90,0.00098
40,47.68,52.39,0.00097
10,25.83,45.74,0.00098
20,32.09,39.98,0.00098
30,48.22,54.82,0.00098
30,38.89,44.79,0.00095
20,40.17,46.03,0.00098
50,45.82,51.93,0.00098
50,50.62,52.99,0.00098
40,42.91,52.24,0.00098
10,36.20,46.75,0.00098
20,39.01,53.32,0.00098
20,33.48,45.78,0.00097
10,32.57,35.27,0.00097
30,37.65,46.99,0.00098
40,46.68,52.19,0.00097
50,46.24,49.52,0.00095
40,51.75,52.97,0.00098
30,39.11,46.78,0.00097
20,36.29,39.77,0.00095
30,43.81,51.21,0.00098
20,29.84,44.02,0.00098
10,25.64,33.20,0.00097
50,52.94,58.22,0.00098
50,41.00,50.43,0.00098
40,44.40,51.85,0.00098
10,34.49,40.78,0.00097
40,38.25,44.26,0.00095
50,40.80,49.63,0.00092
30,39.28,52.83,0.00098
10,35.06,40.63,0.00098
30,51.11,50.35,0.00097
20,39.74,49.73,0.00095
20,28.20,38.45,0.00098
30,40.66,48.17,0.00095
10,24.51,31.98,0.00097
50,46.30,54.91,0.00098
40,51.86,56.81,0.00097
40,47.57,49.16,0.00095
10,25.84,35.28,0.00095
20,36.32,39.79,0.00093
40,43.15,52.72,0.00097
50,45.84,53.71,0.00098
50,46.92,51.53,0.00098
30,39.81,45.23,0.00098
20,31.78,36.35,0.00093
10,27.11,33.11,0.00092
40,45.08,56.41,0.00095
30,38.54,47.58,0.00097
10,34.48,35.72,0.00095
20,38.39,46.55,0.00098
50,47.91,51.45,0.00098
30,33.09,42.01,0.00097
40,51.07,56.27,0.00093
40,33.20,40.05,0.00098
50,44.99,52.72,0.00097
20,39.80,47.15,0.00098
10,32.97,46.14,0.00098
30,41.52,46.13,0.00097
50,46.50,54.19,0.00098
10,35.55,39.43,0.00097
50,46.33,51.63,0.00097
20,31.89,36.14,0.00098
30,38.47,44.00,0.00097
10,27.10,38.75,0.00098
40,34.52,44.61,0.00097
30,40.99,48.06,0.00095
20,29.01,36.46,0.00098
40,39.08,50.92,0.00095
10,19.74,29.64,0.00095
50,46.79,54.38,0.00097
20,29.99,44.02,0.00098
40,47.78,50.73,0.00095
20,33.87,37.21,0.00097
30,34.77,48.00,0.00095
10,26.57,39.72,0.00092
50,42.88,54.19,0.00097
50,53.09,52.60,0.00097
40,46.98,52.14,0.00098
30,39.27,48.46,0.00098
10,39.80,49.80,0.00097
20,43.53,46.28,0.00098
10,32.41,41.97,0.00098
30,48.68,52.83,0.00090
20,36.21,41.37,0.00092
30,36.48,43.06,0.00095
40,43.86,50.53,0.00097
10,29.14,33.37,0.00095
50,43.72,52.52,0.00098
40,42.99,52.66,0.00097
50,48.62,54.40,0.00093
20,47.64,54.34,0.00097
30,41.73,47.35,0.00097
40,46.49,50.81,0.00098
10,35.98,37.21,0.00097
50,44.95,57.25,0.00095
50,43.69,43.66,0.00097
20,38.08,45.51,0.00098
40,40.41,55.54,0.00098
30,45.21,57.06,0.00098
10,26.19,38.22,0.00098
20,42.91,48.92,0.00095
10,28.81,40.29,0.00097
30,43.85,51.16,0.00098
50,46.65,48.07,0.00098
40,44.40,52.21,0.00098
30,45.19,53.13,0.00093
20,22.65,31.66,0.00098
40,45.65,52.11,0.00097
20,36.60,46.29,0.00098
50,54.90,56.64,0.00095
30,44.38,53.09,0.00095
10,34.76,37.47,0.00097
40,48.90,51.78,0.00097
10,27.55,35.90,0.00097
50,43.56,54.71,0.00098
20,37.37,46.71,0.00098
50,46.14,47.42,0.00098
40,52.11,53.50,0.00098
30,40.14,53.92,0.00098
10,33.89,45.33,0.00095
20,32.37,46.27,0.00095
30,49.50,54.23,0.00098
50,46.43,55.95,0.00093
40,49.01,57.10,0.00093
10,23.78,30.94,0.00097
30,45.09,48.54,0.00095
40,45.83,53.07,0.00098
20,42.56,44.79,0.00097
20,38.50,44.69,0.00095
10,28.49,39.13,0.00095
30,54.09,55.52,0.00098
50,44.30,46.92,0.00098
50,46.20,53.69,0.00098
40,50.19,54.65,0.00093
50,43.30,46.20,0.00098
10,26.75,34.71,0.00097
40,45.32,52.27,0.00098
30,42.59,47.87,0.00097
20,42.38,48.55,0.00098
10,29.15,39.84,0.00098
20,31.23,36.11,0.00098
30,35.13,46.22,0.00095
40,46.92,52.84,0.00097
50,47.94,52.66,0.00097
10,34.36,39.98,0.00097
40,46.84,50.85,0.00098
20,36.29,42.43,0.00095
20,38.24,51.10,0.00097
10,44.33,46.96,0.00098
30,37.29,49.70,0.00097
50,48.30,54.34,0.00098
40,51.33,55.49,0.00097
20,36.98,38.14,0.00097
30,50.39,55.77,0.00098
50,42.73,49.10,0.00098
10,33.27,44.11,0.00098
40,50.15,55.27,0.00098
30,46.78,53.32,0.00097
50,43.67,51.77,0.00098
10,23.76,30.90,0.00095
20,45.89,50.35,0.00098
50,42.90,49.00,0.00097
30,35.78,46.62,0.00098
40,44.40,46.67,0.00098
10,26.60,39.97,0.00095
30,40.70,46.71,0.00097
40,44.39,51.70,0.00095
20,42.78,47.80,0.00097
10,34.78,44.03,0.00092
20,42.09,47.00,0.00098
50,50.08,56.54,0.00098
30,45.55,53.16,0.00095
20,25.88,42.79,0.00098
10,23.48,38.83,0.00097
30,47.03,55.97,0.00095
50,49.43,54.58,0.00098
40,47.81,52.29,0.00097
40,44.47,49.46,0.00093
50,43.46,52.34,0.00098
20,43.85,50.51,0.00098
30,35.28,44.21,0.00093
20,39.42,45.31,0.00098
10,40.50,46.41,0.00095
10,32.15,42.79,0.00092
40,46.95,56.73,0.00098
30,42.03,43.97,0.00097
40,42.54,47.54,0.00097
50,53.20,57.26,0.00098
50,50.39,52.58,0.00098
10,41.23,44.59,0.00098
20,37.78,44.38,0.00098
40,41.40,47.54,0.00093
30,41.56,51.48,0.00095
50,42.48,46.79,0.00098
10,33.21,47.06,0.00095
20,39.06,48.44,0.00098
30,43.52,53.53,0.00097
50,44.47,50.79,0.00098
40,53.33,55.36,0.00095
10,44.47,49.28,0.00092
10,28.58,36.13,0.00098
30,36.93,46.62,0.00097
30,41.00,41.66,0.00097
20,43.05,50.59,0.00098
20,38.01,50.40,0.00098
40,45.66,51.47,0.00098
40,40.46,52.31,0.00097
50,41.49,49.77,0.00098
50,43.69,51.25,0.00098
10,24.73,36.61,0.00097
20,40.12,40.58,0.00098
50,43.84,53.99,0.00098
30,44.10,50.23,0.00097
40,46.32,58.69,0.00098
10,28.19,43.29,0.00098
30,41.34,48.76,0.00097
50,44.32,51.85,0.00090
40,44.67,48.45,0.00097
20,38.73,52.07,0.00097
10,32.01,38.88,0.00098
20,43.29,51.83,0.00098
30,35.74,48.72,0.00098
40,48.67,53.62,0.00098
10,33.47,26.59,0.00098
30,37.87,46.05,0.00098
40,45.86,54.22,0.00097
50,45.93,51.34,0.00095
50,48.05,57.75,0.00098
10,33.95,35.26,0.00098
20,32.83,53.50,0.00098
20,47.08,51.43,0.00097
20,34.47,43.58,0.00097
40,49.80,58.57,0.00098
50,37.07,46.24,0.00098
50,47.46,52.27,0.00098
30,45.42,51.91,0.00093
40,38.98,49.05,0.00098
30,46.76,50.58,0.00097
10,29.23,33.59,0.00097
10,27.13,43.99,0.00097
20,40.34,43.03,0.00095
40,48.27,53.27,0.00098
20,26.21,40.61,0.00097
10,37.71,41.31,0.00098
30,28.54,41.75,0.00097
50,46.28,53.98,0.00098
50,47.92,51.34,0.00095
10,33.99,38.05,0.00095
30,46.92,49.08,0.00098
40,44.08,54.65,0.00097
30,43.79,49.93,0.00095
10,34.27,43.20,0.00097
20,36.07,46.93,0.00095
30,38.02,48.30,0.00097
50,48.17,50.99,0.00098
50,43.34,47.68,0.00097
10,27.92,34.46,0.00098
20,34.32,42.42,0.00098
40,46.23,51.79,0.00098
20,34.13,40.14,0.00097
40,37.70,51.40,0.00098
30,45.32,53.02,0.00095
40,40.33,52.95,0.00095
50,42.81,51.64,0.00098
10,35.55,34.58,0.00098
20,33.93,41.75,0.00095
30,45.36,49.96,0.00098
50,52.97,54.98,0.00098
40,47.55,56.12,0.00098
20,46.88,53.83,0.00097
10,36.67,45.77,0.00093
30,38.02,47.46,0.00098
50,43.99,49.82,0.00097
40,41.72,55.26,0.00098
10,24.41,34.35,0.00098
40,38.36,43.48,0.00097
10,30.68,39.33,0.00098
20,35.81,50.11,0.00097
50,44.39,52.08,0.00098
30,38.02,53.89,0.00097
10,29.22,44.49,0.00097
20,37.04,53.80,0.00097
30,43.82,54.09,0.00095
50,44.37,54.89,0.00098
40,44.90,52.83,0.00097
30,33.58,45.98,0.00097
20,33.97,43.53,0.00098
40,54.46,59.02,0.00098
50,40.50,49.48,0.00092
10,37.07,37.54,0.00097
30,44.30,46.09,0.00098
10,32.16,39.53,0.00098
50,34.69,38.96,0.00098
20,43.75,48.21,0.00098
20,35.51,44.12,0.00098
40,34.46,48.94,0.00097
40,41.37,52.94,0.00098
30,38.21,49.34,0.00098
50,44.82,47.77,0.00098
20,45.99,52.17,0.00098
40,44.34,57.13,0.00098
30,38.28,45.19,0.00098
10,30.19,49.70,0.00097
10,38.73,51.28,0.00098
50,46.77,50.59,0.00098
30,34.46,44.39,0.00098
20,30.93,39.97,0.00098
10,32.86,41.27,0.00097
20,38.66,46.67,0.00098
50,49.13,52.62,0.00095
40,44.25,47.13,0.00095
50,45.20,48.83,0.00097
10,34.08,49.95,0.00095
40,43.10,45.57,0.00098
20,42.74,47.61,0.00095
30,45.79,53.84,0.00098
30,45.37,51.95,0.00098
10,26.33,37.22,0.00098
40,38.36,52.88,0.00098
50,44.37,51.37,0.00098
30,49.34,52.22,0.00095
50,47.28,55.22,0.00095
20,41.99,50.55,0.00097
40,36.28,45.87,0.00093
10,33.45,45.28,0.00093
20,44.37,51.53,0.00098
30,36.11,49.86,0.00097
50,42.92,52.98,0.00093
40,44.82,50.16,0.00097
20,35.93,47.66,0.00095
10,32.18,43.20,0.00095
30,45.93,50.10,0.00098
40,48.28,52.80,0.00097
10,40.83,38.96,0.00097
50,53.76,58.11,0.00098
30,29.32,36.46,0.00098
20,41.73,46.91,0.00097
50,38.62,48.89,0.00090
40,48.80,50.30,0.00098
20,37.24,39.61,0.00093
50,43.98,51.23,0.00095
30,32.39,42.23,0.00098
10,27.22,40.55,0.00097
40,35.93,46.99,0.00098
20,34.57,44.46,0.00098
10,25.20,36.02,0.00095
30,39.09,48.47,0.00098
40,43.73,49.97,0.00097
10,33.97,36.18,0.00092
50,47.22,54.31,0.00097
20,32.37,43.23,0.00097
40,45.30,49.66,0.00093
20,29.62,35.23,0.00098
30,43.63,48.78,0.00095
50,49.66,58.21,0.00098
10,33.81,40.67,0.00098
50,41.37,51.35,0.00098
30,36.16,50.54,0.00093
40,40.11,52.33,0.00098
20,38.55,38.90,0.00095
10,30.21,48.50,0.00097
50,45.35,55.85,0.00097
30,40.56,50.45,0.00098
20,37.27,46.41,0.00098
10,29.48,44.60,0.00093
40,39.26,46.88,0.00098
10,26.43,30.18,0.00097
40,42.41,45.84,0.00097
50,49.86,54.76,0.00098
30,46.66,54.87,0.00098
20,40.65,52.07,0.00093
40,39.52,46.26,0.00097
30,38.82,50.20,0.00098
20,46.58,47.87,0.00087
50,54.11,56.80,0.00098
40,43.68,49.58,0.00098
10,36.13,52.38,0.00098
10,33.59,40.82,0.00097
30,41.26,48.62,0.00098
50,47.32,54.64,0.00098
20,34.24,49.76,0.00093
10,41.63,42.83,0.00097
30,42.62,46.80,0.00098
50,45.60,53.35,0.00097
30,44.88,46.48,0.00097
10,33.96,36.10,0.00093
40,46.57,54.79,0.00098
40,49.99,53.41,0.00097
20,34.38,47.01,0.00097
20,45.34,49.62,0.00098
50,51.99,53.90,0.00095
40,40.33,54.48,0.00098
30,49.63,55.51,0.00098
50,50.45,53.55,0.00095
10,36.17,45.47,0.00097
30,37.84,42.56,0.00098
20,31.01,30.07,0.00098
50,47.41,54.82,0.00095
40,39.20,48.01,0.00097
