Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,36.11,84.77,0.00099
50,58.92,90.03,0.00099
20,29.90,78.16,0.00177
30,55.41,89.93,0.00099
30,50.43,90.40,0.00099
40,51.89,88.87,0.00099
50,59.59,90.75,0.00099
20,35.68,87.52,0.00180
40,48.82,90.37,0.00099
20,47.11,90.15,0.00099
30,49.96,85.72,0.00127
30,49.26,89.31,0.00099
50,55.87,87.81,0.00101
10,37.10,88.98,0.00147
20,49.88,89.71,0.00109
50,56.80,89.04,0.00107
40,46.24,89.98,0.00134
10,30.61,54.68,0.00114
10,25.27,86.82,0.00294
40,46.91,89.52,0.00141
40,57.13,88.43,0.00099
10,23.07,87.66,0.00211
30,46.98,88.40,0.00133
10,45.69,81.66,0.00099
20,42.51,89.65,0.00104
40,47.81,90.53,0.00099
50,70.91,90.12,0.00099
20,45.25,76.64,0.00099
40,41.50,88.31,0.00099
50,47.91,90.68,0.00099
20,23.34,90.02,0.00146
50,61.28,91.03,0.00103
40,51.81,90.00,0.00119
10,14.12,73.02,0.00174
30,43.81,90.69,0.00114
50,52.88,89.67,0.00099
30,29.22,89.67,0.00163
30,38.61,89.38,0.00830
20,30.80,89.66,0.00219
10,22.50,72.78,0.00181
10,42.03,88.98,0.00099
40,49.86,87.09,0.00099
30,40.09,90.59,0.00121
20,43.49,87.03,0.00116
50,65.56,89.91,0.00099
50,58.99,87.09,0.00099
20,47.34,86.63,0.00099
50,58.28,90.36,0.00099
10,24.02,80.88,0.00201
30,31.10,89.61,0.00170
40,49.03,90.89,0.00099
20,36.50,85.92,0.00099
50,60.05,90.06,0.00099
30,51.92,89.81,0.00099
20,32.58,89.59,0.00113
40,53.00,88.48,0.00126
30,40.71,89.48,0.00179
10,12.01,72.84,0.00333
10,21.74,81.26,0.00169
40,40.48,89.53,0.00123
