Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,25.12,39.43,0.00097
30,28.42,51.41,0.00095
10,11.13,39.04,0.00097
20,34.39,50.42,0.00098
20,25.16,49.15,0.00090
40,32.28,48.03,0.00092
50,36.43,47.25,0.00098
50,29.01,44.67,0.00095
30,32.20,48.60,0.00098
10,11.43,41.15,0.00098
20,37.97,51.07,0.00097
30,40.30,52.25,0.00095
30,29.59,48.00,0.00097
40,29.19,52.71,0.00097
50,40.77,55.16,0.00098
40,34.31,55.08,0.00097
40,35.16,45.05,0.00095
10,15.94,46.01,0.00098
50,26.94,48.79,0.00098
20,28.03,50.79,0.00095
20,33.89,50.01,0.00097
30,38.56,51.75,0.00098
10,22.16,43.96,0.00098
10,20.59,30.47,0.00098
50,36.04,47.89,0.00093
20,24.15,43.23,0.00095
40,34.00,48.66,0.00098
40,45.31,55.31,0.00098
10,19.44,44.72,0.00097
40,26.08,49.99,0.00095
50,33.09,48.19,0.00098
30,34.16,47.30,0.00095
10,22.37,33.73,0.00095
30,33.47,48.24,0.00097
20,35.95,51.60,0.00097
30,27.83,48.49,0.00097
50,38.71,46.37,0.00097
20,27.26,45.70,0.00098
40,43.89,52.37,0.00098
50,37.71,53.18,0.00095
20,29.62,36.84,0.00098
10,32.62,33.41,0.00093
30,31.79,49.30,0.00098
10,24.10,25.96,0.00098
20,30.92,48.06,0.00097
50,44.19,56.13,0.00098
40,41.65,55.30,0.00095
30,30.56,47.30,0.00098
30,43.78,50.19,0.00098
10,35.94,46.97,0.00097
20,37.62,46.43,0.00098
50,31.97,45.51,0.00098
40,38.95,49.40,0.00098
40,28.73,52.20,0.00098
20,24.27,45.30,0.00098
10,21.15,36.89,0.00095
40,22.13,42.47,0.00097
50,36.79,51.98,0.00097
30,22.80,48.92,0.00098
50,28.29,47.20,0.00097
20,30.81,51.07,0.00098
10,19.12,41.63,0.00098
30,26.17,48.29,0.00098
40,33.99,45.44,0.00098
20,13.11,42.56,0.00098
30,34.94,50.90,0.00095
50,28.71,53.56,0.00095
50,38.20,50.18,0.00097
50,27.21,46.14,0.00097
10,27.53,51.46,0.00093
20,31.88,42.93,0.00095
40,37.64,53.48,0.00095
10,34.98,42.39,0.00097
40,34.90,47.73,0.00098
30,33.68,48.63,0.00097
30,20.87,43.55,0.00098
50,38.60,50.15,0.00097
20,20.19,51.16,0.00098
40,33.05,49.51,0.00097
20,33.51,50.68,0.00093
30,33.34,45.67,0.00097
40,26.37,43.68,0.00098
20,42.37,49.31,0.00098
10,31.00,45.48,0.00097
30,35.01,50.70,0.00098
50,34.80,53.73,0.00095
40,35.99,49.30,0.00097
10,24.35,39.84,0.00097
50,32.78,46.13,0.00098
40,31.82,45.53,0.00098
20,23.81,37.55,0.00095
20,27.81,41.08,0.00098
30,29.72,43.89,0.00098
30,27.75,51.81,0.00098
50,43.75,57.50,0.00097
10,23.76,46.32,0.00097
40,34.29,52.51,0.00098
10,26.68,40.93,0.00098
50,33.78,50.02,0.00098
30,42.46,54.72,0.00097
20,36.76,44.21,0.00097
10,19.83,43.59,0.00098
20,25.70,41.72,0.00098
50,43.51,52.58,0.00095
40,34.37,51.76,0.00095
50,39.05,53.50,0.00098
10,27.80,34.61,0.00097
30,29.15,44.62,0.00097
50,28.15,43.54,0.00095
20,28.42,54.17,0.00098
20,19.05,42.36,0.00097
10,28.76,44.89,0.00095
40,28.81,49.58,0.00097
40,32.27,47.17,0.00098
30,28.33,43.26,0.00098
40,40.64,49.15,0.00092
30,27.52,47.27,0.00098
10,17.10,34.69,0.00098
20,33.76,40.58,0.00098
30,30.28,47.50,0.00097
20,25.56,43.02,0.00097
50,39.88,55.81,0.00097
40,27.26,39.48,0.00095
50,38.09,48.65,0.00098
50,33.39,50.81,0.00098
40,38.41,49.35,0.00098
10,33.10,41.53,0.00098
30,29.19,50.78,0.00097
40,39.12,49.43,0.00095
30,31.92,51.56,0.00098
10,30.54,40.72,0.00098
20,34.38,49.25,0.00097
50,32.52,52.51,0.00098
10,14.98,30.66,0.00097
20,19.71,33.36,0.00098
30,24.92,46.45,0.00095
10,21.20,34.23,0.00098
40,41.13,55.85,0.00098
40,33.88,48.60,0.00092
10,24.69,35.04,0.00098
30,32.22,41.54,0.00095
20,26.66,34.94,0.00098
50,31.67,50.26,0.00097
20,28.45,38.60,0.00097
50,39.21,50.23,0.00098
40,34.92,53.30,0.00095
30,24.34,44.79,0.00098
20,30.47,42.16,0.00097
50,37.83,46.74,0.00098
30,12.12,39.99,0.00098
10,26.26,33.70,0.00095
10,23.61,38.15,0.04303
40,43.47,54.54,0.00098
50,35.13,49.56,0.00098
40,28.15,30.34,0.00098
30,31.01,47.48,0.00093
20,28.79,46.30,0.00097
10,31.73,38.87,0.00097
10,18.67,44.84,0.00098
