Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,35.12,81.40,0.00099
30,48.26,82.72,0.00166
50,58.34,89.95,0.00099
30,48.06,90.09,0.00099
30,55.78,89.81,0.00099
20,28.86,79.32,0.00193
40,50.61,89.32,0.00121
40,44.47,89.55,0.00169
10,36.42,89.18,0.00180
30,48.15,89.38,0.00147
20,49.53,89.15,0.00124
50,57.88,90.49,0.00120
10,30.25,52.31,0.00139
40,44.89,89.53,0.00166
20,46.32,90.12,0.00114
40,47.53,90.08,0.00123
50,57.13,89.38,0.00137
20,34.15,87.61,0.00216
10,22.26,82.54,0.00363
50,50.42,87.61,0.00151
40,55.08,87.87,0.00099
20,40.82,89.18,0.00150
10,22.64,83.66,0.00250
40,46.87,89.96,0.00099
30,27.08,89.43,0.00234
30,46.55,87.84,0.00173
50,71.69,89.90,0.00106
10,44.97,81.11,0.00119
20,21.70,89.44,0.00186
50,60.53,90.95,0.00134
50,52.19,89.63,0.00106
10,22.10,71.88,0.00214
10,12.84,72.14,0.00194
40,51.17,89.95,0.00136
20,42.30,74.49,0.00099
30,40.05,90.43,0.00149
50,45.89,90.24,0.00109
20,28.79,89.51,0.00249
30,37.18,88.18,0.00134
40,39.38,88.93,0.00101
20,44.54,87.44,0.00146
10,42.98,88.87,0.00130
40,46.52,86.71,0.00099
30,39.72,90.44,0.00153
50,59.71,86.19,0.00114
50,65.12,89.96,0.00099
50,57.02,89.95,0.00099
10,22.53,80.22,0.00234
30,27.67,89.58,0.00199
50,60.70,89.72,0.00099
10,18.83,81.78,0.00189
20,29.88,89.29,0.00163
20,46.85,85.91,0.00107
40,44.44,90.61,0.00144
30,37.47,89.25,0.00206
40,51.42,88.60,0.00151
10,11.72,67.12,0.00416
30,51.47,89.90,0.00099
20,35.11,86.27,0.00127
40,38.74,89.40,0.00160
