Number of labels,Accuracy,Accuracy with class priors,Class priors error
10,58.43,94.38,0.00099
40,72.51,94.82,0.00099
20,79.47,95.01,0.00099
30,71.66,95.31,0.00099
40,80.34,95.17,0.00099
50,83.92,95.43,0.00099
10,60.08,94.89,0.00099
20,78.87,94.36,0.00099
30,77.47,96.23,0.00099
10,43.49,92.85,0.00099
30,82.51,95.81,0.00099
20,84.05,95.68,0.00099
50,87.72,96.32,0.00099
10,45.00,91.27,0.00099
40,85.22,96.21,0.00099
10,54.28,94.55,0.00099
40,79.40,95.42,0.00099
20,58.52,94.25,0.00099
30,84.23,94.71,0.00099
20,78.22,95.52,0.00099
50,85.82,95.19,0.00099
10,53.49,93.67,0.00099
50,89.08,96.16,0.00099
30,66.85,94.19,0.00099
40,81.58,95.94,0.00099
20,57.92,93.64,0.00099
20,69.87,89.65,0.00099
10,48.69,93.53,0.00097
30,75.74,95.83,0.00099
50,86.79,95.95,0.00099
10,51.35,93.57,0.00099
30,82.88,95.53,0.00099
20,75.55,94.53,0.00099
40,82.60,95.79,0.00099
40,79.21,95.02,0.00099
50,84.22,96.03,0.00097
40,83.35,95.30,0.00097
10,50.00,88.69,0.00099
30,72.57,95.42,0.00099
50,84.85,96.23,0.00099
30,82.80,95.48,0.00099
20,70.27,91.07,0.00099
10,55.33,82.01,0.00099
20,74.18,95.75,0.00099
30,75.86,92.48,0.00099
50,84.82,95.91,0.00099
40,80.43,95.50,0.00099
10,41.83,79.08,0.00099
20,83.34,94.38,0.00099
40,80.13,96.51,0.00099
20,75.55,94.24,0.00099
30,79.09,95.30,0.00099
50,84.99,96.12,0.00099
50,89.32,95.69,0.00099
40,80.69,95.11,0.00099
10,53.15,93.28,0.00099
30,74.12,95.19,0.00099
10,50.63,85.19,0.00099
10,65.69,93.66,0.00099
40,84.52,95.18,0.00099
50,89.20,95.05,0.00099
30,76.87,95.15,0.00099
40,83.39,95.09,0.00099
20,61.93,94.89,0.00099
40,75.73,95.55,0.00099
50,82.15,95.51,0.00099
20,84.42,96.14,0.00099
10,49.08,84.05,0.00099
50,86.64,95.82,0.00099
30,80.23,95.85,0.00099
40,80.66,95.88,0.00099
20,68.95,92.94,0.00099
20,73.76,94.22,0.00099
30,77.72,95.69,0.00097
30,75.62,95.28,0.00099
50,88.33,96.21,0.00099
10,59.73,93.88,0.00099
10,53.22,93.15,0.00099
40,86.66,96.04,0.00097
30,87.57,96.05,0.00099
50,86.25,96.36,0.00099
20,67.10,95.21,0.00099
20,71.34,92.94,0.00099
50,84.44,95.69,0.00099
40,86.55,95.89,0.00099
10,63.27,95.42,0.00099
30,82.79,95.49,0.00099
50,89.22,95.81,0.00099
40,83.30,95.06,0.00099
30,76.52,95.17,0.00099
20,75.60,93.16,0.00099
10,53.20,94.76,0.00099
10,63.95,95.14,0.00099
50,88.13,95.65,0.00099
40,85.77,95.88,0.00099
10,76.00,93.67,0.00099
30,79.65,95.59,0.00099
40,83.28,95.62,0.00099
20,73.90,94.45,0.00099
30,78.43,96.22,0.00099
40,85.26,95.91,0.00099
50,86.70,95.73,0.00099
40,84.04,95.22,0.00099
20,50.16,94.17,0.00099
20,64.00,94.51,0.00099
50,92.14,96.43,0.00099
10,68.62,94.34,0.00099
30,71.55,96.12,0.00099
50,82.52,95.45,0.00099
20,69.69,95.32,0.00099
10,49.10,89.80,0.00099
10,45.83,95.19,0.00099
50,84.23,95.73,0.00099
40,81.60,95.62,0.00099
30,80.61,94.48,0.00099
20,67.52,95.02,0.00099
40,82.78,95.75,0.00099
30,79.67,95.32,0.00099
20,72.66,95.78,0.00099
50,88.28,95.57,0.00099
50,88.02,95.15,0.00099
10,51.38,94.64,0.00099
30,76.39,95.32,0.00099
40,80.29,95.06,0.00099
10,50.18,95.42,0.00099
30,78.02,95.62,0.00099
20,79.48,95.74,0.00099
10,65.00,94.80,0.00099
40,78.00,95.36,0.00099
50,87.22,96.28,0.00099
10,58.49,94.77,0.00099
20,52.65,95.45,0.00099
30,84.61,95.36,0.00099
40,85.25,94.42,0.00099
50,84.42,95.44,0.00099
40,83.41,94.52,0.00099
30,78.62,94.51,0.00096
20,61.12,94.74,0.00099
10,60.35,95.08,0.00099
20,72.44,95.34,0.00097
50,81.73,95.13,0.00099
30,89.20,94.21,0.00099
30,69.40,94.72,0.00099
50,88.84,95.81,0.00099
40,84.18,95.76,0.00099
10,56.44,94.99,0.00099
40,74.90,95.48,0.00099
10,71.80,94.20,0.00099
20,72.44,96.05,0.00099
10,56.54,86.72,0.00099
50,82.84,95.65,0.00099
20,74.26,96.39,0.00099
40,79.87,95.82,0.00099
50,82.79,95.28,0.00099
30,70.98,94.71,0.00099
30,84.49,95.23,0.00099
50,81.31,92.52,0.00099
20,79.89,95.31,0.00099
40,81.21,94.52,0.00099
10,63.51,92.07,0.00099
40,86.11,94.68,0.00099
10,61.71,92.81,0.00099
20,64.03,95.37,0.00097
30,79.23,94.92,0.00099
30,79.32,95.46,0.00099
20,74.08,94.80,0.00099
50,89.98,96.14,0.00099
40,83.06,94.97,0.00099
20,71.20,95.07,0.00097
40,86.82,95.69,0.00099
30,76.18,95.44,0.00099
50,84.26,95.70,0.00099
10,67.76,96.08,0.00099
30,81.00,95.60,0.00099
50,88.38,96.68,0.00099
20,72.33,94.19,0.00099
20,71.56,94.24,0.00099
50,79.36,95.09,0.00099
40,81.32,96.13,0.00099
50,85.23,95.01,0.00099
30,87.12,95.96,0.00099
10,68.28,94.35,0.00099
40,82.62,94.87,0.00099
10,66.51,94.53,0.00099
30,82.78,96.16,0.00099
10,53.21,93.78,0.00099
40,80.71,95.79,0.00099
20,73.30,95.11,0.00099
20,70.05,94.47,0.00099
30,86.67,96.18,0.00099
50,77.64,95.85,0.00099
20,68.54,92.35,0.00099
10,59.46,95.76,0.00099
40,82.27,96.35,0.00099
50,85.32,96.40,0.00099
30,86.70,96.48,0.00099
40,84.73,95.82,0.00099
10,56.90,94.75,0.00099
20,84.19,96.29,0.00099
10,59.84,95.55,0.00099
50,86.42,95.87,0.00099
30,79.62,95.25,0.00099
10,66.14,92.67,0.00097
40,85.92,95.43,0.00099
50,88.53,95.79,0.00099
20,71.77,95.74,0.00099
40,79.61,95.11,0.00099
50,84.97,95.94,0.00099
30,77.09,94.97,0.00099
20,80.44,95.36,0.00099
10,57.00,94.87,0.00099
50,79.97,95.19,0.00099
30,77.61,94.91,0.00099
40,85.46,96.09,0.00099
10,58.29,87.81,0.00099
20,71.71,92.12,0.00099
30,79.50,95.88,0.00099
10,59.73,93.18,0.00099
40,80.73,94.84,0.00099
50,87.73,96.31,0.00099
20,73.99,92.62,0.00099
50,82.51,94.14,0.00097
