Number of labels,Accuracy
30,59.79
20,38.81
20,25.29
10,18.98
50,69.38
40,40.12
30,48.21
50,52.09
20,16.32
40,53.80
10,11.18
50,77.60
10,11.80
20,59.80
40,52.47
30,18.56
50,81.83
40,53.85
30,70.20
10,10.84
50,59.85
20,14.79
10,11.90
30,52.01
10,17.82
30,41.90
40,35.71
10,14.39
20,27.75
10,11.10
50,42.63
20,32.69
40,48.81
50,51.67
30,60.90
20,14.49
50,69.30
40,68.03
10,20.59
40,81.20
20,27.82
30,62.28
40,47.77
10,16.39
50,50.61
30,38.23
50,83.98
30,24.51
10,9.94
10,10.66
20,12.26
40,60.20
10,10.48
20,38.52
50,74.06
40,48.57
30,32.33
20,48.70
50,75.47
40,60.03
30,41.95
40,38.42
20,12.68
50,62.91
10,10.10
50,83.90
40,40.65
20,20.77
30,56.58
10,10.76
30,24.67
30,67.39
40,53.79
10,14.24
20,20.38
50,57.96
20,13.88
40,72.76
10,10.33
10,9.90
30,40.78
30,38.09
50,61.85
20,53.87
30,27.18
40,91.95
20,30.62
50,65.33
30,26.51
40,68.68
50,83.04
20,21.34
10,9.62
40,48.36
10,10.15
10,14.45
50,74.20
30,35.07
50,64.03
20,12.02
40,58.07
10,16.78
30,50.13
20,44.84
20,12.15
30,32.57
40,73.25
10,11.39
50,45.02
20,21.13
50,53.28
30,50.54
50,77.31
20,37.50
40,55.07
30,37.29
40,60.78
10,13.59
40,39.08
20,10.24
50,74.79
10,11.11
10,17.52
30,61.88
40,65.33
30,64.35
20,22.67
40,52.55
50,89.08
40,36.21
20,21.27
10,10.02
10,11.08
10,38.93
40,49.64
50,73.72
30,56.88
50,54.14
20,37.32
30,43.13
50,67.33
30,47.12
40,47.33
50,61.89
30,40.81
20,22.96
10,10.86
50,77.09
40,79.44
20,32.53
30,22.32
40,37.89
50,48.28
10,18.01
20,61.68
50,56.89
10,20.83
30,32.80
20,16.68
10,11.64
40,57.66
40,50.73
20,32.02
30,38.35
30,42.41
10,16.17
10,11.47
50,78.14
40,59.97
40,55.20
20,22.58
20,20.43
20,20.46
50,88.09
30,47.26
40,46.46
50,83.76
30,29.21
10,17.26
10,13.17
50,73.88
10,13.00
30,62.76
50,53.29
20,24.34
20,39.10
50,79.85
10,23.75
40,71.27
40,73.70
30,22.61
20,39.43
20,29.54
10,20.45
50,67.18
10,20.34
30,24.73
40,47.25
