Number of labels,Accuracy,Accuracy with class priors,Class priors error
50,42.16,47.52,0.00097
50,48.50,53.47,0.00098
40,43.20,52.88,0.00097
40,45.60,51.05,0.00098
30,50.76,54.12,0.00098
40,49.80,56.79,0.00098
50,54.28,58.48,0.00098
30,46.26,52.79,0.00098
30,42.55,50.21,0.00097
10,31.73,43.67,0.00098
10,34.50,47.50,0.00093
40,46.85,50.81,0.00098
30,44.75,50.70,0.00098
20,49.13,50.08,0.00095
20,46.31,53.53,0.00098
50,49.09,51.34,0.00098
20,47.71,51.61,0.00097
20,43.90,50.16,0.00098
10,35.93,39.01,0.00095
10,24.10,35.85,0.00097
40,41.31,52.45,0.00097
30,52.66,53.94,0.00098
50,48.02,52.61,0.00095
20,42.93,51.68,0.00098
30,42.63,49.21,0.00098
10,33.58,43.89,0.00095
40,50.79,54.74,0.00098
30,39.16,50.18,0.00098
10,28.18,31.50,0.00093
40,45.74,51.64,0.00095
50,44.80,50.03,0.00098
10,29.15,35.42,0.00098
50,43.40,48.32,0.00098
50,46.33,53.71,0.00098
30,39.60,47.96,0.00095
40,52.12,55.93,0.00098
20,43.85,55.21,0.00098
20,30.91,37.90,0.00090
20,43.45,46.97,0.00098
10,29.92,41.85,0.00098
40,51.87,56.93,0.00098
20,36.47,36.97,0.00092
50,53.06,57.71,0.00098
30,35.57,48.89,0.00098
10,35.44,32.73,0.00092
40,43.58,55.03,0.00098
50,43.16,48.74,0.00098
30,38.37,50.67,0.00098
50,50.38,53.62,0.00098
30,48.69,50.64,0.00098
40,45.12,51.04,0.00098
10,47.18,49.37,0.00098
20,39.23,49.55,0.00097
20,37.63,46.40,0.00098
20,41.42,46.52,0.00095
10,30.98,27.72,0.00097
30,37.96,47.24,0.00098
10,28.50,37.00,0.00095
50,44.48,52.30,0.00098
40,39.05,45.24,0.00095
